index	text	answer	source_model
1	Nonobstant la clause de non-concurrence prévue à l'article 8, le Partenaire conserve le droit d'exploiter ses activités existantes dans le secteur de la distribution alimentaire, lesquelles sont expressément exclues du champ d'application de la restriction concurrentielle.	Oui	claude
2	La restriction concurrentielle prévue à l'article 12 ne s'applique pas aux investissements passifs dans des sociétés cotées en bourse dont le Consultant détient moins de deux pour cent (2 %) des actions, ni aux activités d'enseignement et de conférence non rémunérées.	Oui	claude
3	Malgré la clause d'exclusivité accordée au Distributeur, le Fournisseur conserve le droit de vendre directement aux clients gouvernementaux et aux marchés institutionnels, lesquels sont expressément exclus du territoire exclusif accordé.	Oui	claude
4	La clause de non-concurrence ne s'applique pas aux activités des sociétés affiliées du Consultant qui étaient déjà en concurrence avec le Client avant la date de signature du présent accord, sous réserve que ces activités ne soient pas développées pendant la durée de la restriction.	Oui	claude
5	L'obligation de non-sollicitation de clients prévue à l'article 15 comporte une exception pour les clients du Licencié avec lesquels le Concédant entretenait une relation commerciale préexistante, documentée et notifiée avant la date de conclusion du présent accord.	Oui	claude
6	Le Distributeur s'engage à ne distribuer dans son territoire exclusif aucun produit en concurrence directe avec la gamme couverte par le présent accord pendant toute sa durée et pour une période de vingt-quatre (24) mois suivant sa résiliation.	Non	claude
7	La clause de non-concurrence s'applique à l'ensemble des activités du Consultant dans le secteur des technologies de l'information, sans exception géographique ou sectorielle, pendant la durée du présent accord.	Non	claude
8	Pendant toute la durée de l'accord et pour une période de trente-six (36) mois après sa résiliation, le Franchisé s'engage à ne pas exercer d'activités concurrentielles dans le secteur de la restauration rapide dans le territoire exclusif défini à l'Annexe A.	Non	claude
9	La présente clause de non-sollicitation de clients s'applique à tous les clients du Donneur d'ordre avec lesquels le Prestataire a eu des contacts dans le cadre du présent accord, sans restriction d'aucune sorte.	Non	claude
10	L'engagement de non-concurrence est absolu et sans exception pendant les douze (12) premiers mois suivant la fin de la relation contractuelle. Après cette période initiale, certaines exceptions pourront être négociées de bonne foi entre les parties.	Non	claude
