index	text	answer	source_model
1	La licence accordée aux termes du présent accord est strictement personnelle et non transférable. Le Licencié ne peut en aucun cas la céder, la sous-licencier, la nantir ou la transférer à quelque tiers que ce soit, directement ou indirectement, sans le consentement écrit préalable du Concédant.	Oui	claude
2	La présente licence d'utilisation est accordée au Licencié nominativement et pour son usage exclusif. Elle ne peut faire l'objet d'aucune cession, ni d'aucune sous-licence. Toute tentative de transfert rend la licence caduque de plein droit.	Oui	claude
3	Les droits d'accès conférés par le présent abonnement sont réservés à l'entité signataire et ne peuvent être partagés, revendus ou transférés à d'autres entités, y compris les filiales et sociétés affiliées de l'abonné, sauf accord exprès du Prestataire.	Oui	claude
4	La licence de marque accordée aux termes des présentes est non transférable et non sous-licenciable. Le Licencié reconnaît qu'elle lui est consentie en raison de sa qualité particulière et de ses compétences reconnues dans le domaine d'activité concerné.	Oui	claude
5	Il est expressément interdit au Bénéficiaire de transférer la présente licence à un successeur, acquéreur ou société résultant d'une fusion, sans le consentement écrit préalable du Titulaire. Un tel transfert non autorisé constituerait une violation substantielle du présent accord.	Oui	claude
6	Le Licencié peut accorder des sous-licences à ses filiales et sociétés affiliées sans le consentement du Concédant, à condition de rester solidairement responsable du respect des conditions de la présente licence par ces entités.	Non	claude
7	En cas de fusion ou d'acquisition du Licencié, la présente licence sera automatiquement transférée à la société absorbante ou à l'entité acquéreuse, sans nécessité d'un consentement préalable du Concédant.	Non	claude
8	Le Licencié peut faire usage des droits accordés aux termes du présent accord pour le compte de ses clients finaux dans le cadre de ses activités de service, sans que cela ne constitue une sous-licence.	Non	claude
9	Les droits accordés au titre du présent accord sont cessibles à tout affilié du Licencié, défini comme toute entité dans laquelle le Licencié détient directement ou indirectement plus de 50 % des droits de vote.	Non	claude
10	Le présent accord et les droits qui en découlent peuvent être cédés par l'une ou l'autre des parties dans le cadre d'une cession de l'ensemble de son entreprise ou de la partie substantielle de ses actifs liés à cet accord.	Non	claude
