index	text	answer	source_model
1	Société Alpha inc. fusionne avec Société Bêta inc., laquelle devient la société absorbante. Au moment de la fusion, Bêta avait des créances impayées auprès de fournisseurs. Conformément à l'art. 295 de la Loi sur les sociétés par actions du Québec (LSAQ), la société résultante hérite de l'ensemble des droits et obligations des sociétés fusionnées.	Reprise d'obligations	claude
2	Une société acquiert tous les actifs et le fonds de commerce d'une autre entreprise, y compris ses listes de clients, ses contrats en cours et sa marque de commerce, dans le cadre d'une opération qualifiée comme transfert d'entreprise au sens de l'art. 1525 CCQ. Les anciens employés et les parties contractantes de l'entreprise vendeuse sont informés du transfert.	Reprise d'obligations	claude
3	Une entreprise de services est vendue sous la forme d'une cession globale d'actifs incluant les contrats de service en cours. Un contrat conclu avant la vente contient une clause de non-cession. L'acquéreur a néanmoins continué d'exécuter le contrat. Le créancier conteste l'exécution par le nouvel exploitant.	Reprise d'obligations	claude
4	Un investisseur achète les actions d'une société anonyme qui exploite un restaurant. Après l'acquisition, des dettes fournisseurs antérieures à l'achat sont réclamées à l'acquéreur personnellement. L'acquéreur n'a acheté que des actions et n'a pas personnellement assumé les dettes de la société.	Pas de reprise d'obligations	claude
5	Une société achète uniquement les actifs matériels (équipements, stocks) d'une entreprise en faillite, sans reprendre les contrats, les employés ni le passif. L'opération est formellement qualifiée de vente d'actifs et non de cession d'entreprise, et n'inclut aucune clause de reprise de passif.	Pas de reprise d'obligations	claude
6	Un entrepreneur individuel cède son fonds de commerce à une société nouvellement constituée dont il est l'unique actionnaire. La cession ne comprend aucune dette de l'entreprise individuelle, et les créanciers antérieurs ont été préalablement remboursés ou ont expressément consenti à la novation.	Pas de reprise d'obligations	claude
7	Une société acquiert les actifs d'une entreprise dont la valeur est inférieure à son passif. L'accord prévoit que l'acquéreur reprend les contrats de travail en cours mais pas les autres dettes. Des fournisseurs impayés poursuivent l'acquéreur, alléguant que les actifs acquis incluent des biens ayant servi à garantir leurs créances.	Reprise limitée	claude
8	Une société issue d'une scission partielle hérite de certains actifs et de certains contrats de la société mère, mais non de l'ensemble du passif. La société mère continue d'exister et demeure responsable des dettes qui ne lui ont pas été transférées selon le plan de scission approuvé.	Reprise limitée	claude
9	Une société achète les actifs d'une entreprise en insolvabilité lors d'une vente aux enchères judiciaire. Elle reprend quinze des vingt contrats de travail en cours. Les tribunaux devront déterminer si les obligations découlant des cinq contrats non repris incombent à l'acquéreur en tant que successeur partiel de l'employeur.	Reprise limitée	claude
10	Une personne physique liquide sa société de façon régulière selon les procédures de la LSAQ et reçoit les biens résiduels après paiement de tous les créanciers. Un créancier inconnu se manifeste après la liquidation complète. L'actionnaire unique ne peut être tenu personnellement responsable des dettes de la société liquidée.	Pas de reprise d'obligations	claude
