index	text	answer	source_model
1	Le Fabricant garantit que les équipements livrés seront exempts de défauts de matériaux et de fabrication pendant une période de vingt-quatre (24) mois à compter de la date de livraison au Client final. Les pièces réparées ou remplacées bénéficient d'une garantie résiduelle jusqu'à la fin de la période initiale.	Oui	claude
2	Le Prestataire garantit que les services de développement logiciel seront exempts de défauts de conception pendant quatre-vingt-dix (90) jours suivant l'acceptation finale. Passé ce délai, les défauts découverts seront traités dans le cadre du contrat de maintenance.	Oui	claude
3	La garantie sur les travaux de construction couvre les vices apparents pendant un (1) an et les vices cachés affectant la solidité de l'ouvrage pendant cinq (5) ans à compter de la réception des travaux, conformément à l'article 2118 CCQ.	Oui	claude
4	Les garanties stipulées aux présentes demeurent en vigueur pendant une durée de trente-six (36) mois pour les composants matériels et de douze (12) mois pour les composants logiciels, à compter de la date d'acceptation du Système par le Client.	Oui	claude
5	Le Vendeur garantit le bon fonctionnement du véhicule contre les défauts mécaniques non apparents pour une période de trois (3) ans ou cent vingt mille (120 000) kilomètres, selon la première éventualité, à compter de la date de livraison.	Oui	claude
6	Le Prestataire ne donne aucune garantie expresse ou implicite concernant l'adéquation des services à un usage particulier. Toutes les garanties implicites sont expressément exclues dans la mesure permise par la loi applicable.	Non	claude
7	Les équipements sont vendus « tels quels », sans garantie. L'Acheteur reconnaît avoir inspecté les équipements et renonce à tout recours en raison de défauts apparents ou cachés connus à la date de vente.	Non	claude
8	Le Fournisseur s'engage à fournir un support technique de niveau 2 incluant la résolution des bogues critiques dans les quatre (4) heures et la résolution des bogues non critiques dans les quarante-huit (48) heures, pendant la durée du contrat de support.	Non	claude
9	Toute réclamation au titre des garanties doit être notifiée par écrit au Vendeur dans les trente (30) jours suivant la découverte du défaut. L'absence de notification dans ce délai éteint le droit de réclamation.	Non	claude
10	Le Fournisseur s'engage à maintenir le Logiciel en état de fonctionnement pendant la durée du contrat d'abonnement et à publier les mises à jour correctives sans frais supplémentaires pour le Licencié.	Non	claude
