index	text	answer	source_model
1	Clause : « Les obligations de confidentialité prévues par le présent accord survivront à sa résiliation ou expiration pour une période de cinq (5) ans. » — Affirmation : Même si le contrat prend fin, le Bénéficiaire reste tenu au secret pendant cinq ans.	Vrai	claude
2	Clause : « Nonobstant la résiliation ou l'expiration du présent accord, les parties demeurent liées par les obligations de confidentialité établies aux présentes pour une durée indéterminée ou jusqu'à ce que les informations entrent dans le domaine public. » — Affirmation : La fin du contrat ne met pas fin aux obligations de confidentialité.	Vrai	claude
3	Clause : « Les sections 3 (Confidentialité), 7 (Non-divulgation) et 9 (Propriété intellectuelle) survivront à la résiliation ou à l'expiration du présent accord et demeureront en vigueur jusqu'à leur accomplissement complet. » — Affirmation : Les obligations de non-divulgation continuent après la fin de l'accord.	Vrai	claude
4	Clause : « La résiliation du présent accord n'affecte pas les obligations des parties qui, par leur nature, sont destinées à survivre, notamment les obligations de confidentialité, de non-sollicitation et d'indemnisation. » — Affirmation : La résiliation ne libère pas les parties de leurs obligations de confidentialité.	Vrai	claude
5	Clause : « Les obligations de protection des informations confidentielles sont perpétuelles et ne prennent pas fin à l'expiration ou à la résiliation du présent accord tant que les informations n'ont pas perdu leur caractère confidentiel par des moyens légaux. » — Affirmation : L'entrée des informations dans le domaine public est la seule façon de mettre fin aux obligations de confidentialité.	Vrai	claude
6	Clause : « Le présent accord entre en vigueur le 15 mars 2024 et se termine automatiquement le 15 mars 2026. » — Affirmation : Les obligations de confidentialité perdurent après la date de fin de l'accord.	Faux	claude
7	Clause : « Les parties s'engagent à respecter les obligations de confidentialité pendant toute la durée du présent accord. » — Affirmation : Les obligations de confidentialité survivent à la résiliation du contrat.	Faux	claude
8	Clause : « Le Bénéficiaire s'engage à ne pas divulguer les informations confidentielles à des tiers pendant la durée du présent accord. » — Affirmation : Les obligations de confidentialité demeurent en vigueur indéfiniment après la fin du contrat.	Faux	claude
9	Clause : « À la fin du présent accord, toutes les licences et autorisations accordées seront automatiquement résiliées. » — Affirmation : Les obligations de confidentialité des parties survivent à la résiliation du contrat.	Faux	claude
10	Clause : « Les parties s'engagent à respecter mutuellement leurs informations confidentielles pour les besoins du projet décrit en préambule. » — Affirmation : Les obligations de confidentialité continuent à s'appliquer pendant vingt-quatre mois après la fin du projet.	Faux	claude
