index	text	answer	source_model
1	Les parties s'engagent mutuellement à s'abstenir de faire, publier ou relayer, directement ou indirectement, toute déclaration négative, critique, dépréciative ou autrement préjudiciable concernant l'autre partie, ses produits, services, dirigeants ou employés, sur quelque support que ce soit, incluant les médias sociaux.	Oui	claude
2	Le Franchisé s'engage à ne pas ternir l'image ou la réputation du Franchiseur, de son réseau ou de ses partenaires par des déclarations publiques, des commentaires en ligne, ou des actions délibérément nuisibles pendant la durée du présent accord et pour une période de trente-six (36) mois suivant sa résiliation.	Oui	claude
3	Dans le cadre de la présente entente de fin de relation contractuelle, les parties conviennent de s'abstenir de toute communication dénigrante à l'égard de l'autre, notamment de commentaires négatifs auprès de clients communs, de médias ou de partenaires d'affaires.	Oui	claude
4	L'Ancien Employé s'engage à ne faire aucune déclaration publique ou privée qui serait de nature à nuire à la réputation ou aux affaires de la Société, de ses dirigeants, actionnaires ou employés, que ce soit oralement, par écrit ou via tout canal de communication numérique.	Oui	claude
5	Chacune des parties s'engage à s'abstenir de tout acte ou déclaration qui pourrait ternir l'image de l'autre partie dans l'industrie, notamment en évitant de critiquer publiquement les pratiques commerciales de l'autre partie auprès de leur clientèle commune ou de journalistes.	Oui	claude
6	La présente convention est régie par les lois de la province de Québec et des lois fédérales du Canada applicables. Les parties élisent domicile dans le district judiciaire de Montréal pour tout litige découlant des présentes.	Non	claude
7	Les parties déclarent que les informations échangées dans le cadre des présentes seront traitées à titre strictement confidentiel et ne seront pas divulguées à des tiers sans le consentement explicite de la partie qui les a communiquées.	Non	claude
8	Les services décrits à l'Annexe A seront fournis selon le calendrier de livraison figurant à l'Annexe B. Tout retard doit être signalé au moins quinze (15) jours à l'avance avec une explication motivée.	Non	claude
9	À la résiliation du présent accord, le Licencié s'engage à détruire ou à retourner au Concédant tous les exemplaires du Logiciel, de la documentation et des données propriétaires qui lui ont été remis dans le cadre du présent accord.	Non	claude
10	Le présent accord lie les parties et leurs successeurs et ayants droit respectifs, sous réserve des restrictions de cession prévues à l'article 14.	Non	claude
