index	text	answer	source_model
1	Extrait législatif : Art. 1457 CCQ : « Toute personne a le devoir de respecter les règles de conduite qui, suivant les circonstances, les usages ou la loi, s'imposent à elle, de manière à ne pas causer de préjudice à autrui. Elle est, lorsqu'elle est douée de raison et qu'elle manque à ce devoir, responsable du préjudice qu'elle cause par cette faute et tenue de réparer ce préjudice, qu'il soit corporel, moral ou matériel. » — Question : Quels sont les trois éléments que le demandeur doit prouver pour obtenir réparation en vertu de cet article ?	Le demandeur doit prouver : (1) une faute du défendeur (manquement aux règles de conduite imposées par les circonstances, les usages ou la loi) ; (2) un préjudice subi (corporel, moral ou matériel) ; et (3) un lien de causalité entre la faute et le préjudice. Ces trois éléments sont cumulatifs et doivent être établis par preuve prépondérante.	claude
2	Extrait législatif : Art. 82 LNT : « L'employeur qui met fin à un contrat à durée indéterminée doit donner à son salarié un avis d'une semaine si ce dernier lui a rendu moins d'un an de service ; deux semaines si ce dernier lui a rendu entre un an et cinq ans de service ; quatre semaines si ce dernier lui a rendu entre cinq ans et dix ans de service ; huit semaines si ce dernier lui a rendu dix ans ou plus de service. » — Question : Quel préavis doit recevoir un salarié ayant travaillé sept ans et demi pour son employeur ?	Un salarié ayant sept ans et demi de service se trouve dans la tranche "entre cinq ans et dix ans de service" ; il a donc droit à un préavis de quatre semaines en vertu de l'art. 82 LNT.	claude
3	Extrait législatif : Art. 1726 CCQ : « Le vendeur est tenu de garantir à l'acheteur que le bien est exempt de vices cachés qui en diminuent l'utilité à ce point que l'acheteur ne l'aurait pas acheté, ou n'aurait payé si haut prix, s'il les avait connus. Il n'est pas tenu, cependant, de garantir le vice qui était apparent ou connu de l'acheteur. » — Question : La garantie légale s'applique-t-elle si l'acheteur pouvait voir le défaut à l'œil nu lors de l'inspection ?	Non. La garantie légale contre les vices cachés ne couvre que les vices qui n'étaient pas apparents au moment de la vente. Un défaut visible à l'œil nu lors d'une inspection ordinaire est un vice apparent exclu de la garantie, même si l'acheteur n'a pas effectué d'inspection. L'acheteur est présumé avoir accepté les vices apparents.	claude
4	Extrait législatif : Art. 2925 CCQ : « L'action qui tend à faire valoir un droit personnel ou un droit réel mobilier et dont le délai de prescription n'est pas autrement fixé se prescrit par trois ans. » — Question : Une action en responsabilité civile découlant d'un accident automobile survenu en juillet 2020 est-elle prescrite si intentée en août 2023 ?	Potentiellement. La prescription de trois ans court à compter du jour où le droit d'action prend naissance (art. 2880 CCQ), soit généralement la date de l'accident (juillet 2020). Intentée en août 2023, l'action est intentée plus de trois ans après l'accident, ce qui la rend prima facie prescrite. Cependant, des causes de suspension ou d'interruption de la prescription (art. 2892-2930 CCQ) pourraient modifier ce calcul.	claude
5	Extrait législatif : Art. 1385 CCQ : « Le contrat se forme par le seul échange de consentement entre des personnes capables de contracter, à moins que la loi n'exige, en outre, le respect d'une formalité particulière comme condition nécessaire à sa formation, ou que les parties n'aient subordonné la formation du contrat à une telle formalité. » — Question : Un contrat verbal entre deux adultes pour la vente d'une voiture d'occasion est-il valide au Québec ?	Oui, en règle générale. Le contrat de vente d'un bien mobilier se forme par le seul échange de consentements entre personnes capables, sans formalité particulière. Aucune loi n'exige que la vente d'un véhicule d'occasion entre particuliers soit constatée par écrit pour être valide. L'écrit facilite toutefois la preuve en cas de litige (art. 2862 CCQ).	claude
6	Extrait législatif : Art. 139 LNT : « Toute action pénale se prescrit par un an à compter de la connaissance de l'infraction par le poursuivant, mais au plus tard cinq ans après la perpétration de l'infraction. » — Question : Un employeur a commis une infraction à la LNT en octobre 2018. La CNESST en prend connaissance en mars 2024. Une poursuite peut-elle encore être intentée ?	Non. Bien que la CNESST n'ait eu connaissance de l'infraction qu'en mars 2024, le délai absolu de cinq ans à compter de la perpétration de l'infraction (octobre 2018) est expiré depuis octobre 2023. L'action pénale est donc prescrite, même si le délai d'un an à compter de la connaissance n'est pas encore écoulé, car le délai absolu de cinq ans constitue une limite irréfragable.	claude
7	Extrait législatif : Art. 8 LPC : « Est abusive toute clause qui désavantage le consommateur de manière excessive et déraisonnable, allant ainsi à l'encontre des exigences de la bonne foi ; est abusive, notamment, la clause si éloignée des obligations essentielles qui découlent des règles gouvernant habituellement le contrat qu'elle dénature celui-ci. » — Question : Qui doit prouver qu'une clause est abusive selon cet article ?	Selon la jurisprudence et la doctrine dominante, c'est au consommateur de démontrer l'existence de la clause et son caractère abusif, mais le fardeau peut s'alléger en pratique si la clause semble prima facie déraisonnable. Le tribunal dispose d'un pouvoir d'office pour déclarer une clause abusive, même sans que le consommateur ne l'ait explicitement demandé, dans la mesure où les faits sont au dossier.	claude
8	Extrait législatif : Art. 49 de la Charte des droits et libertés de la personne, RLRQ c C-12 : « Une atteinte illicite à un droit ou à une liberté reconnu par la présente Charte confère à la victime le droit d'obtenir la cessation de cette atteinte et la réparation du préjudice moral ou matériel qui en résulte. En cas d'atteinte illicite et intentionnelle, le tribunal peut en outre condamner son auteur à des dommages-intérêts punitifs. » — Question : La preuve d'une atteinte intentionnelle est-elle nécessaire pour obtenir des dommages compensatoires en vertu de cet article ?	Non. Pour les dommages compensatoires (réparation du préjudice moral ou matériel), seule la preuve d'une atteinte illicite est requise, sans égard à l'intention. L'intention (atteinte intentionnelle) n'est requise que pour obtenir des dommages-intérêts punitifs, lesquels constituent une sanction dissuasive additionnelle prévue au second alinéa de cet article.	claude
9	Extrait législatif : Art. 1470 CCQ : « Toute personne peut se dégager de sa responsabilité pour le préjudice causé à autrui si elle prouve que le préjudice résulte d'une force majeure, à moins qu'elle ne se soit engagée à le réparer. La force majeure est un événement imprévisible et irrésistible ; y est assimilé la cause étrangère qui présente ces mêmes caractères. » — Question : Quelles sont les deux caractéristiques qu'un événement doit posséder pour être qualifié de force majeure selon cet article ?	Un événement de force majeure doit être à la fois (1) imprévisible (il ne pouvait pas être raisonnablement anticipé au moment de la conclusion du contrat ou de la naissance de l'obligation) et (2) irrésistible (il ne pouvait pas être évité même avec les moyens raisonnables disponibles). Les deux caractéristiques sont cumulatives ; un événement prévisible mais irrésistible, ou imprévisible mais évitable, ne constitue pas une force majeure.	claude
10	Extrait législatif : Art. 1621 CCQ : « Lorsque la loi prévoit l'attribution de dommages-intérêts punitifs, ceux-ci ne peuvent excéder, en valeur, ce qui est suffisant pour assurer leur fonction préventive. Ils s'apprécient en tenant compte de toutes les circonstances appropriées, notamment de la gravité de la faute du débiteur, de sa situation patrimoniale ou de l'avantage qu'il a retiré de son fait et, le cas échéant, du fait que la prise en charge du paiement des dommages-intérêts punitifs est, en tout ou en partie, assumée par un tiers. » — Question : Quel est le critère principal limitant le montant des dommages punitifs selon cet article ?	Le critère principal est la fonction préventive : les dommages punitifs ne peuvent excéder ce qui est suffisant pour prévenir la répétition du comportement fautif. Ils ne doivent pas être punitifs au sens d'une sanction exemplaire disproportionnée, mais s'apprécient selon des facteurs incluant la gravité de la faute, la situation patrimoniale du débiteur et le bénéfice qu'il a retiré de son comportement fautif.	claude
