index	text	answer	source_model
1	Je suis sans emploi depuis 3 mois et j'ai fait une demande d'assurance-emploi au fédéral, mais ma demande a été refusée parce que l'agent dit que j'ai quitté mon emploi volontairement. Pourtant, j'ai dû partir parce que mon employeur refusait de m'accommoder pour un problème de santé. Est-ce que je peux contester ce refus ?	Oui	claude
2	Mon dossier d'aide sociale a été fermé sans préavis parce que le ministère prétend que je reçois des revenus non déclarés. Ce n'est pas vrai. Je suis locataire et je ne travaille pas. Qu'est-ce que je peux faire pour rétablir mes prestations ?	Oui	claude
3	Je suis en situation de handicap permanent et je reçois une rente d'invalidité du RPC (Régime de pensions du Canada). Le gouvernement fédéral veut maintenant réduire mon montant parce qu'il prétend que mon état s'est amélioré, alors que mon médecin dit le contraire. Puis-je faire appel ?	Oui	claude
4	Ma demande de supplément de revenu garanti (SRG) pour les aînés a été rejetée parce que Service Canada dit que mes revenus dépassent le seuil, mais ils ont inclus par erreur le montant d'un REER que j'ai retiré une seule fois il y a deux ans. Comment corriger cette erreur ?	Oui	claude
5	Je reçois de l'aide sociale (Programme d'aide sociale du Québec) et je viens de me marier. L'agent m'a dit que le revenu de mon conjoint va être pris en compte et que mes prestations vont être coupées complètement, même s'il gagne le salaire minimum. Est-ce que c'est légal ?	Oui	claude
6	Mon employeur me doit trois semaines de salaire impayé. Cela fait deux mois que je l'ai quitté et je n'ai reçu aucune indemnité. J'ai travaillé là pendant 4 ans. Comment puis-je réclamer ce qui m'est dû ?	Non	claude
7	Ma propriétaire refuse de réparer la chaudière depuis deux semaines. Mon appartement est à 10 degrés en hiver. J'ai deux enfants en bas âge. Quelle est ma recours pour obtenir des réparations d'urgence ?	Non	claude
8	J'ai été dans un accident de voiture il y a six mois. L'autre conducteur est responsable, mais son assurance refuse de me rembourser mes frais médicaux et ma perte de revenus. Comment puis-je obtenir une indemnisation ?	Non	claude
9	Mon ex-conjoint refuse de payer la pension alimentaire pour nos enfants ordonnée par le tribunal il y a un an. Il prétend ne pas avoir les moyens mais il a récemment acheté un VUS neuf. Que faire pour faire exécuter le jugement ?	Non	claude
10	Je suis venu au Canada il y a deux ans avec un permis de travail. Mon permis expire dans 30 jours et ma demande de renouvellement est toujours en traitement. Puis-je continuer à travailler légalement pendant que j'attends la décision ?	Non	claude
