index	text	answer	source_model
1	Nous partageons vos renseignements personnels avec des tiers dans les situations suivantes : (i) avec nos prestataires de services qui nous aident à exploiter notre plateforme ; (ii) avec nos partenaires commerciaux si vous y avez consenti ; (iii) en cas d'obligation légale. Tous nos prestataires tiers sont soumis à des ententes contractuelles garantissant un niveau de protection équivalent aux exigences de la Loi 25.	Oui	claude
2	Nous pouvons partager certaines de vos données avec des partenaires publicitaires afin de vous proposer des publicités ciblées correspondant à vos intérêts. Ces partenaires peuvent collecter des informations sur votre navigation en ligne au moyen de témoins de connexion. Vous pouvez vous opposer à ce partage en utilisant les mécanismes d'opt-out décrits dans la section "Vos choix" de la présente politique.	Oui	claude
3	Dans le cadre de notre activité, nous faisons appel à des tiers prestataires de services, notamment pour l'hébergement de données, l'analyse d'audience, le service à la clientèle et le traitement des paiements. Ces prestataires ont accès à vos renseignements personnels uniquement dans la mesure nécessaire à l'exécution de leurs services et sont contractuellement tenus de ne pas les utiliser à d'autres fins.	Oui	claude
4	Nous ne vendons pas vos renseignements personnels à des tiers. Cependant, nous pouvons les partager avec des tiers dans les circonstances décrites ci-dessous : avec des filiales de notre groupe, dans le cadre de services communs ; avec des acquéreurs potentiels en cas de fusion ou acquisition, sous réserve d'un accord de confidentialité ; et avec les autorités compétentes si la loi l'exige.	Oui	claude
5	Certains de nos partenaires technologiques collectent directement des informations vous concernant via notre plateforme, notamment au moyen de pixels de suivi et d'interfaces de programmation d'applications (API). Ces collectes tierces sont régies par les politiques de confidentialité des tiers concernés. Nous vous invitons à en prendre connaissance afin de comprendre leurs pratiques de traitement.	Oui	claude
6	La sécurité de votre compte est assurée par le chiffrement de vos données d'identification. Nous vous recommandons d'utiliser un mot de passe unique pour notre service et d'activer l'authentification à deux facteurs disponible dans les paramètres de votre compte. En cas de compromission de votre compte, contactez immédiatement notre service de sécurité.	Non	claude
7	Vous avez la possibilité de vous opposer à la réception de communications commerciales à tout moment, sans frais, en cliquant sur le lien de désabonnement figurant dans nos courriels ou en modifiant vos préférences de communication dans votre profil. Votre demande sera traitée dans un délai de dix (10) jours ouvrables.	Non	claude
8	Nos serveurs sont situés dans des centres de données certifiés situés au Canada. Vos données ne quittent jamais le territoire canadien, sauf si vous choisissez d'utiliser nos services en dehors du Canada. Nous maintenons des politiques strictes de localisation des données pour nous conformer aux exigences de la Loi 25.	Non	claude
9	En vertu de la Loi 25, vous avez le droit de déposer une plainte auprès de la Commission d'accès à l'information du Québec si vous estimez que vos renseignements personnels ont été traités de manière non conforme à la législation applicable. Notre responsable de la protection des renseignements personnels peut également être contacté pour tenter de résoudre votre préoccupation à l'amiable avant tout recours.	Non	claude
10	Nous conservons vos renseignements personnels pendant la durée nécessaire à la réalisation des finalités pour lesquelles ils ont été collectés. Une fois les délais de conservation applicables expirés, nous procédons à la suppression sécurisée ou à l'anonymisation de vos données conformément à nos procédures internes validées par notre comité de gouvernance des données.	Non	claude
