index	text	answer	source_model
1	J'ai acheté un cellulaire à 800 $ dans un magasin et il est tombé en panne après trois mois d'utilisation normale. Le vendeur refuse de le réparer ou de me rembourser, disant que la garantie du fabricant est expirée. Ai-je des droits en vertu de la garantie légale de qualité ?	Oui	claude
2	Un vendeur de voitures usagées m'a dit que l'auto n'avait jamais été accidentée. J'ai découvert après l'achat qu'elle avait été déclarée perte totale. Il m'a induit en erreur. La Loi sur la protection du consommateur protège-t-elle dans ce cas ?	Oui	claude
3	J'ai signé un contrat d'abonnement à une salle de gym pour deux ans. Deux mois plus tard, la salle a fermé ses portes définitivement et refuse de me rembourser les mois restants. Comment puis-je récupérer mon argent ?	Oui	claude
4	Une entreprise de rénovation m'a fait signer un contrat sans me donner le délai de résiliation de 10 jours prévu par la loi. Les travaux n'ont pas été faits correctement. Puis-je annuler le contrat ?	Oui	claude
5	J'ai commandé un canapé avec une livraison promise en 6 semaines. Après 5 mois d'attente, il n'est toujours pas livré et le commerçant ne répond plus. Le paiement a été prélevé par carte de crédit. Quels sont mes recours ?	Oui	claude
6	Mon propriétaire a augmenté mon loyer de 20 % sans passer par le Tribunal administratif du logement. Je suis locataire depuis 4 ans et mon bail se renouvelle automatiquement. Est-ce légal ?	Non	claude
7	Mon employeur m'a demandé de travailler 60 heures par semaine sans me payer les heures supplémentaires depuis 6 mois. Je travaille dans un restaurant comme cuisinier. Quels sont mes droits selon la Loi sur les normes du travail ?	Non	claude
8	J'ai reçu une mise en demeure d'un huissier pour une dette de carte de crédit de 3 200 $. Je ne reconnais pas cette dette et je pense qu'elle est prescrite. La créance date d'il y a plus de 4 ans. Comment me défendre ?	Non	claude
9	Mon ex-conjoint et moi avons acheté une maison ensemble. Nous nous séparons et il refuse de vendre ou de me racheter ma part. La maison vaut 450 000 $ et nous avons chacun 50 % en copropriété. Comment forcer la vente ?	Non	claude
10	Mon fils a été suspendu de l'école secondaire publique pour 10 jours suite à une altercation. La direction refuse de nous rencontrer pour discuter de la situation. Quels sont nos droits en matière d'éducation ?	Non	claude
