index	text	answer	source_model
1	Nous mettons en place des mesures de sécurité techniques et organisationnelles rigoureuses pour protéger vos renseignements personnels contre tout accès non autorisé, toute divulgation accidentelle, toute perte ou toute destruction. Ces mesures incluent le chiffrement AES-256 de toutes les données sensibles, l'authentification à deux facteurs, des audits de sécurité annuels et la formation obligatoire de notre personnel.	Oui	claude
2	La sécurité de vos renseignements personnels est une priorité absolue. Nous avons recours à des protocoles de transmission sécurisée (TLS 1.3), des pare-feux, des systèmes de détection d'intrusion et des contrôles d'accès basés sur le principe du moindre privilège. En cas de violation de données susceptible de causer un préjudice sérieux, nous en informons la Commission d'accès à l'information du Québec et les personnes concernées dans les délais requis par la Loi 25.	Oui	claude
3	Vos données sont hébergées dans des centres de données canadiens certifiés ISO 27001, dotés de systèmes redondants et de protocoles de reprise après sinistre. L'accès physique aux serveurs est restreint et contrôlé par des dispositifs biométriques. Nos pratiques de sécurité sont revues annuellement par un auditeur indépendant accrédité.	Oui	claude
4	Nous appliquons des mesures de sécurité administratives, physiques et techniques proportionnées à la sensibilité des renseignements que nous détenons. Sur le plan administratif, cela comprend des politiques internes strictes et une formation régulière du personnel. Sur le plan technique, nous utilisons le chiffrement des données au repos et en transit, ainsi que des systèmes de surveillance continue de nos infrastructures informatiques.	Oui	claude
5	En cas d'incident de confidentialité — c'est-à-dire tout accès, utilisation, communication, modification ou perte de renseignements personnels non autorisé — nous procédons à une évaluation des risques et prenons les mesures correctives appropriées. Si l'incident présente un risque de préjudice sérieux, nous le déclarons sans délai à la CAI et notifions les personnes concernées conformément à l'article 3.5 de la Loi 25.	Oui	claude
6	Nous recueillons uniquement les renseignements personnels nécessaires aux fins précisées dans la présente politique. Lors de votre inscription, nous collectons votre nom, votre adresse courriel et vos préférences de communication. Ces renseignements nous permettent de vous offrir un service personnalisé et adapté à vos besoins.	Non	claude
7	Vous pouvez vous désabonner de nos communications marketing à tout moment en cliquant sur le lien de désabonnement figurant dans chaque courriel ou en nous contactant directement. La prise en compte de votre demande peut prendre jusqu'à dix (10) jours ouvrables. Veuillez noter que même après votre désabonnement, vous continuerez à recevoir les communications relatives à votre compte.	Non	claude
8	Nous ne vendons pas vos renseignements personnels à des tiers. Nous pouvons cependant partager certaines de vos données avec nos partenaires de confiance aux fins décrites dans la présente politique. Tout transfert de données à l'extérieur du Québec est encadré par une entente contractuelle respectant les exigences de la Loi 25 en matière de protection équivalente.	Non	claude
9	Vous avez le droit de demander l'accès à vos renseignements personnels, de les faire rectifier si inexacts, et d'en demander la suppression dans les cas prévus par la loi. Ces droits peuvent être exercés en communiquant par écrit avec notre responsable de la protection des renseignements personnels. Nous nous engageons à répondre à vos demandes dans un délai de trente (30) jours.	Non	claude
10	Vos renseignements personnels sont conservés au Canada, dans des installations appartenant à nos prestataires d'hébergement infonuagique. Dans certains cas, vos données peuvent être transmises à des sous-traitants situés dans d'autres provinces canadiennes ou à l'étranger pour les fins prévues à la présente politique.	Non	claude
