index	text	answer	source_model
1	Le Fournisseur garantit au Client qu'il ne vendra pas les Produits à des conditions plus favorables (prix, délais de paiement, remises) à d'autres acheteurs comparables sans offrir les mêmes conditions au Client dans les trente (30) jours suivant la signature de tout accord plus favorable.	Oui	claude
2	Dans l'éventualité où le Concédant accorderait à un tiers une licence à des conditions tarifaires plus avantageuses que celles prévues au présent accord, le Licencié bénéficiera automatiquement de ces mêmes conditions améliorées dès la prise d'effet de l'accord tiers.	Oui	claude
3	Le Distributeur bénéficiera du statut de « distributeur le plus favorisé » dans sa catégorie. Si le Fournisseur accorde à un autre distributeur de la même catégorie des remises ou avantages supérieurs à ceux prévus aux présentes, le Distributeur aura le droit d'exiger les mêmes conditions.	Oui	claude
4	Le Fournisseur s'engage à notifier le Client de tout arrangement conclu avec un concurrent direct qui comporte des conditions tarifaires ou des niveaux de service supérieurs à ceux accordés au Client. Le Client disposera alors de trente (30) jours pour réclamer les mêmes conditions.	Oui	claude
5	La tarification de référence du présent accord sera ajustée si le Prestataire offre des services identiques à d'autres clients comparables à un prix inférieur. Le Client a droit aux mêmes prix dans un délai de soixante (60) jours après notification ou découverte de l'écart.	Oui	claude
6	Les prix figurant à l'Annexe tarifaire sont fermes et non révisables pendant la première période de vingt-quatre (24) mois. Après cette période, les ajustements de prix seront plafonnés à l'augmentation de l'indice des prix à la consommation.	Non	claude
7	Le Fournisseur accordera des remises sur volume selon les paliers suivants : 5 % pour les commandes de 10 000 à 25 000 unités, 10 % pour les commandes de 25 001 à 50 000 unités, et 15 % pour les commandes dépassant 50 000 unités.	Non	claude
8	Le Client s'engage à aviser le Fournisseur au moins soixante (60) jours à l'avance avant de se procurer des produits similaires auprès d'un tiers fournisseur, afin de permettre au Fournisseur de présenter une offre concurrente.	Non	claude
9	Toute modification de prix doit être communiquée par écrit au moins quatre-vingt-dix (90) jours avant son entrée en vigueur. Le Client a le droit de résilier l'accord sans pénalité si l'augmentation dépasse 10 % en une année.	Non	claude
10	Le Fournisseur offrira un tarif préférentiel pour les commandes récurrentes effectuées selon le calendrier établi à l'Annexe de commandes. Ces tarifs préférentiels ne s'appliquent pas aux commandes ponctuelles.	Non	claude
