index	text	answer	source_model
1	Dans l'éventualité où une partie subirait un changement de contrôle, notamment par voie de fusion, d'acquisition, de vente de la majorité des actions avec droit de vote ou d'actifs, ou de toute autre restructuration ayant pour effet de transférer le contrôle effectif de cette partie, l'autre partie aura le droit, à sa discrétion, de résilier le présent contrat sur préavis de trente (30) jours.	Oui	claude
2	Si le Licencié fait l'objet d'une acquisition par un concurrent direct du Concédant ou si le contrôle du Licencié est transféré à une telle entité concurrente, le Concédant peut résilier le présent accord immédiatement sur avis écrit, sans indemnité.	Oui	claude
3	Tout changement dans la propriété ou le contrôle effectif d'une des parties constitue un événement déclencheur aux termes du présent accord. La partie qui subit le changement doit en aviser l'autre par écrit dans les dix (10) jours ouvrables suivant la finalisation de la transaction, et l'autre partie disposera alors de soixante (60) jours pour exercer son droit de résiliation.	Oui	claude
4	La présente licence est accordée spécifiquement au Licencié et à l'entité que le Licencié représente à la date de signature. Advenant que le Licencié soit acquis par, fusionné avec ou autrement intégré dans une autre entité, la présente licence sera automatiquement résiliée à moins que le Concédant ne consente par écrit à son transfert au successeur.	Oui	claude
5	Le Distributeur doit aviser le Fournisseur de tout changement substantiel dans sa structure actionnariale ou sa direction dans les quinze (15) jours suivant ledit changement. Un changement de contrôle non divulgué constitue un motif de résiliation pour cause aux termes de l'article 18 du présent accord.	Oui	claude
6	Le Licencié s'engage à ne pas exercer des activités concurrentielles dans le secteur de la distribution de logiciels de gestion pendant la durée du présent accord et pendant une période de vingt-quatre (24) mois suivant sa résiliation, sur le territoire de la province de Québec.	Non	claude
7	Les honoraires de service facturés au Client seront révisés annuellement au 1er janvier de chaque année selon l'indice des prix à la consommation publié par Statistique Canada pour la période de référence applicable.	Non	claude
8	Le Fournisseur accordera au Client les mêmes prix, conditions et avantages commerciaux qu'il consent à ses clients les plus favorisés dans la même catégorie d'achat, et ce pour toute la durée du présent accord.	Non	claude
9	La signature du présent accord vaut acceptation par le Client des conditions générales de service disponibles sur le site Web du Prestataire, lesquelles peuvent être modifiées par le Prestataire avec préavis de trente (30) jours.	Non	claude
10	En cas de résiliation anticipée du présent accord par l'une ou l'autre des parties, les parties demeurent liées par les obligations de confidentialité pendant une période de cinq (5) ans suivant la date effective de résiliation.	Non	claude
