index	text	answer	source_model
1	DEMANDE INTRODUCTIVE D'INSTANCE — Cour supérieure du Québec — District de Montréal — No : 500-17-000001-230 — La demanderesse, TECH SOLUTIONS INC., société par actions dûment constituée selon les lois du Québec, dont le siège social est au 1200, rue Sherbrooke Ouest, Montréal (Québec) H3A 1G2, demande : 1. Le paiement de 95 000 $ en dommages-intérêts ; 2. Les intérêts au taux légal depuis la mise en demeure du 15 janvier 2023 ; 3. Les dépens. [Suit la description des faits en paragraphes numérotés, l'exposé du droit applicable, la conclusion, la signature et la date.]	Conforme	claude
2	REQUÊTE EN INJONCTION PROVISOIRE — Présentée devant la soussignée, juge de la Cour supérieure — Le demandeur allègue : [faits numérotés, droit, conclusion] — Appuyée sur les affidavits de [nom] ci-joints — Signée par l'avocat, avec coordonnées complètes, date et district judiciaire — Preuve d'urgence détaillée exposée — Demande de dispense de signification pour cause d'urgence justifiée.	Conforme	claude
3	MÉMOIRE DE DEMANDEUR — Appel de la décision de la Cour supérieure du 10 mars 2023 — No de dossier Cour d'appel : 500-09-000123-230 — Table des matières, résumé de la décision contestée, points en appel numérotés, exposé des arguments juridiques avec citations jurisprudentielles, conclusions précises. Signé par l'avocat inscrit au dossier d'appel.	Conforme	claude
4	DEMANDE EN RÉSILIATION DE BAIL — La demanderesse : Sophie Leblanc, 45, rue des Érables, Montréal — La défenderesse : Constructions Métro inc. — Faits exposés sans numérotation — Absence de la formule d'identification de la demande (art. 146 CPC) — Pas de mention du district judiciaire — Signature de la demanderesse sans mention de l'avocat alors qu'elle est représentée.	Partiellement conforme	claude
5	REQUÊTE POUR PERMISSION D'APPELER — No de dossier : 500-09-00xxxx-230 (numéro incomplet) — Motifs : [développement des arguments] — Absence du résumé de la décision dont l'appel est demandé (art. 357-360 CPC) — Absence de l'exposé des questions en litige proposées — Les moyens d'appel sont développés mais insuffisamment reliés aux questions de droit soulevées.	Partiellement conforme	claude
6	DEMANDE EN DOMMAGES-INTÉRÊTS — Montant : 125 000 $ — Les parties ne sont pas identifiées selon les exigences de l'art. 146 CPC — Aucun exposé des faits numéroté — Absence de la cause d'action clairement identifiée — Pas de conclusions distinctes — Pas de signature — Pas de date — Le document se présente comme une lettre adressée "Au juge compétent" sans identification du tribunal.	Non conforme	claude
7	DÉCLARATION D'APPEL — Cour d'appel du Québec — No de dossier : manquant — Intimé non identifié par son adresse complète — Absence des conclusions recherchées en appel (art. 361 CPC) — Absence de l'avis d'inscription — La déclaration est signée par une personne non identifiée comme avocat ou partie.	Non conforme	claude
8	DEMANDE D'INJONCTION PERMANENTE — Tribunal : "la Cour" (non précisé) — Absence de l'exposé des faits — Absence de tout fondement légal invoqué — Les conclusions se résument à "que justice soit rendue" sans préciser la nature de l'injonction demandée — Absence de district judiciaire — Absence de signature et de date.	Non conforme	claude
9	REQUÊTE EN HOMOLOGATION D'UNE TRANSACTION — Parties identifiées, district précisé, numéro de dossier indiqué — La transaction est annexée et signée par les deux parties — Absence de l'exposé des raisons justifiant l'homologation (art. 378 CPC) — Absence de la mention que la transaction met fin au litige — L'avocat n'a pas précisé son numéro au Barreau.	Partiellement conforme	claude
10	DEMANDE EN RÉVISION JUDICIAIRE D'UNE DÉCISION ADMINISTRATIVE — Cour supérieure, district de Québec — Identification complète des parties — Exposé numéroté des faits — Décision administrative visée identifiée avec précision — Délai de présentation respecté (30 jours art. 529 CPC) — Conclusions précises — Signature de l'avocat avec coordonnées — Preuve du dépôt au greffe jointe.	Conforme	claude
