index	text	answer	source_model
1	Version A : « Le présent accord est régi par les lois du Québec. » — Version B : « Le présent accord est régi par les lois du Québec, et les parties se soumettent à la compétence exclusive des tribunaux du district judiciaire de Montréal. »	Différence 1 : La version B ajoute une clause d'élection de for désignant les tribunaux de Montréal. Portée juridique : sans cette clause, la compétence territoriale doit être déterminée selon les règles générales du C.p.c. (art. 41-47) ; avec la clause, les parties limitent contractuellement les fors disponibles, réduisant l'incertitude procédurale mais privant potentiellement une partie d'accès à un tribunal plus pratique.	claude
2	Version A : « En cas de retard dans la livraison, le vendeur paie une pénalité de 1 % du prix par jour ouvrable de retard. » — Version B : « En cas de retard dans la livraison, le vendeur paie une pénalité de 1 % du prix par jour ouvrable de retard, jusqu'à concurrence de 10 % du prix total. »	Différence 1 : La version B plafonne la pénalité à 10 % du prix total. Portée juridique : en droit québécois, une clause pénale (art. 1622-1625 CCQ) peut être réduite par le tribunal si excessive, mais un plafonnement contractuel prévu à l'avance est valide et prévisible. La version B limite le risque financier du vendeur, tandis que la version A expose le vendeur à une responsabilité potentiellement illimitée en cas de retard prolongé.	claude
3	Version A : « Le preneur utilise les locaux aux fins de bureau. » — Version B : « Le preneur utilise les locaux aux fins de bureau uniquement, à l'exclusion de toute activité commerciale de détail, d'entreposage ou de fabrication. »	Différence 1 : La version B précise et restreint les usages permis par une liste d'exclusions. Portée juridique : une clause d'usage général (version A) permet des interprétations extensives pouvant créer des litiges ; la version B crée des obligations contractuelles claires et peut être invoquée pour résilier le bail en cas d'usage non autorisé (art. 1860 CCQ). L'acheteur doit vérifier si ses besoins actuels et futurs sont compatibles avec les exclusions listées.	claude
4	Version A : « La présente garantie est d'une durée de un (1) an. » — Version B : « La présente garantie est d'une durée de un (1) an à compter de la date de livraison, et est conditionnelle à l'utilisation du produit conformément au manuel d'utilisation fourni. »	Différence 1 : Point de départ du délai de garantie. Portée juridique : la version A ne précise pas le point de départ, créant une ambiguïté (date de commande ? date de livraison ? date d'installation ?). La version B est plus précise et avantageuse pour le vendeur en cas de délai entre commande et livraison. Différence 2 : La version B ajoute une condition de conformité d'usage. Portée juridique : cette condition peut limiter significativement les droits de l'acheteur si l'usage non conforme est défini largement par le vendeur, et peut créer un fardeau de preuve pour l'acheteur.	claude
5	Version A : « Le vendeur peut céder ce contrat sans le consentement de l'acheteur. » — Version B : « Aucune des parties ne peut céder le présent contrat à un tiers sans le consentement écrit préalable de l'autre partie, lequel ne peut être refusé sans motif raisonnable. »	Différence 1 : La version A autorise la cession unilatérale par le vendeur ; la version B impose le consentement mutuel. Portée juridique majeure : sous la version A, l'acheteur peut se retrouver lié à un tiers inconnu (art. 1643 CCQ sur la cession de créance). La version B protège mieux l'acheteur et s'aligne sur le principe de la relativité contractuelle. La restriction "motif raisonnable" empêche toutefois l'abus de droit dans le refus de consentement.	claude
6	Version A : « Le salarié s'engage à ne pas faire concurrence à l'employeur pendant une période de 24 mois suivant la fin de l'emploi, sur l'ensemble du territoire canadien. » — Version B : « Le salarié s'engage, pendant 12 mois suivant la fin de l'emploi, à ne pas exercer d'activités de conseil en logiciels RH auprès des clients directs de l'employeur situés dans les régions administratives où le salarié a travaillé au cours des 24 derniers mois. »	Différence 1 : Durée — 24 mois (A) contre 12 mois (B). Portée juridique : selon l'art. 2089 CCQ, la clause de non-concurrence doit être limitée quant au temps, au lieu et au genre de travail à ce qui est nécessaire pour protéger les intérêts légitimes de l'employeur. Une durée de 24 mois sans limitation territoriale claire risque d'être déclarée invalide ; la version B est plus susceptible d'être maintenue par un tribunal.\nDifférence 2 : Étendue territoriale — Canada entier (A) contre territoire de travail effectif du salarié (B). Portée juridique : la version A couvre un territoire sans lien avec la zone d'influence réelle du salarié, critère fréquent d'invalidité en jurisprudence. La version B ancre la restriction au territoire où le salarié avait une clientèle réelle, satisfaisant mieux l'exigence de proportionnalité de l'art. 2089 al. 2 CCQ.	claude
7	Version A : « Le locataire peut sous-louer le local loué en tout ou en partie, à la condition d'obtenir le consentement préalable et écrit du locateur, lequel ne peut refuser sans motif raisonnable. » — Version B : « Toute sous-location du local est expressément prohibée. Toute contravention à cette interdiction constituera un manquement grave permettant la résiliation immédiate du bail sans préavis. »	Différence 1 : La version A autorise la sous-location sous réserve de consentement ; la version B l'interdit absolument. Portée juridique : pour les baux commerciaux, l'art. 1870 CCQ permet aux parties de convenir qu'une sous-location requiert le consentement, et une interdiction absolue est valide entre commerçants. Pour un bail résidentiel, cette interdiction serait inopposable : l'art. 1870 al. 2 CCQ garantit un droit de sous-louer avec consentement non refusable sans motif sérieux.\nDifférence 2 : La version B prévoit une résiliation immédiate sans préavis en cas de sous-location non autorisée. Portée juridique : en matière commerciale, une telle clause peut être valide si clairement stipulée (art. 1863 CCQ) ; cependant, la résiliation sans mise en demeure pourrait être contestée si le manquement est de peu d'importance selon l'art. 1604 CCQ.	claude
8	Version A : « Le bien est vendu sans garantie légale, aux risques et périls de l'acheteur, qui déclare en avoir pris connaissance et renoncer à tout recours pour vice apparent ou caché. » — Version B : « Le vendeur garantit l'acheteur contre tout vice caché qui n'était pas apparent lors de l'inspection professionnelle effectuée avant la signature, dont le rapport est annexé aux présentes. »	Différence 1 : La version A exclut totalement la garantie légale contre les vices cachés (art. 1733 CCQ) ; la version B la maintient avec une délimitation basée sur le rapport d'inspection. Portée juridique : l'exclusion de la version A n'est valide qu'envers un acheteur averti et ne protège pas contre la mauvaise foi du vendeur qui connaissait le vice (art. 1733 al. 2 CCQ).\nDifférence 2 : La version B intègre le rapport d'inspection comme délimitation contractuelle de la garantie. Portée juridique : les vices documentés dans le rapport sont présumés apparents et exclus de la garantie, ce qui est plus précis juridiquement que la version A et réduit le risque de litige sur ce qui était ou non « apparent » au moment de la vente (art. 1726-1739 CCQ).	claude
9	Version A : « La responsabilité de chaque partie envers l'autre est limitée aux dommages directs, à l'exclusion de tout dommage indirect, consécutif, perte de profit ou perte de données, quelle qu'en soit la cause. » — Version B : « La responsabilité totale du fournisseur ne peut excéder le montant total des honoraires payés au cours des 12 derniers mois précédant l'événement dommageable, pour toute cause d'action confondue, à l'exception des dommages résultant d'une faute intentionnelle ou d'une fraude. »	Différence 1 : La version A exclut des catégories de dommages (indirects, perte de profit) ; la version B plafonne le montant total. Portée juridique : les deux mécanismes sont valides en droit commercial québécois (art. 1474 CCQ). La version A peut mieux protéger contre des sinistres massifs ; la version B offre une prévisibilité mathématique quelle que soit la nature du préjudice.\nDifférence 2 : La version B prévoit une exception explicite pour faute intentionnelle et fraude ; la version A est silencieuse. Portée juridique : l'art. 1474 al. 1 CCQ interdit d'exclure la responsabilité pour faute intentionnelle ou lourde ; la version A est exposée à une contestation partielle sur ce point, tandis que la version B est explicitement conforme à l'ordre public.	claude
10	Version A : « Les sommes impayées à leur échéance portent intérêt au taux légal en vigueur à compter de la date d'exigibilité. » — Version B : « Toute somme non réglée dans les 15 jours de la date de facturation porte intérêt au taux de 1,5 % par mois (18 % par an), et le débiteur est réputé en demeure de plein droit à l'expiration de ce délai sans qu'il soit nécessaire de lui transmettre un avis de mise en demeure. »	Différence 1 : Taux d'intérêt — taux légal (~6 % par an) dans la version A contre taux conventionnel de 18 % par an dans la version B. Portée juridique : l'art. 1617 CCQ autorise les parties à convenir d'un taux supérieur au taux légal ; la version B active ce mécanisme. Le taux de 18 % doit être vérifié pour conformité avec la LPC si le débiteur est un consommateur.\nDifférence 2 : La version B institue une demeure de plein droit après 15 jours sans mise en demeure formelle (art. 1594 CCQ). Portée juridique : la version A exige une mise en demeure pour déclencher le cours des intérêts (art. 1617 al. 2 CCQ), ce qui peut retarder les recours ; la clause de demeure automatique de la version B accélère les recours mais doit être rédigée expressis verbis pour être opposable.	claude
