index	text	answer	source_model
1	Mon employeur m'a congédié après 9 ans de service en prétextant une réorganisation. Je n'ai reçu qu'un préavis de 2 semaines et aucune indemnité de départ. Mon dossier était excellent. Est-ce que ce congédiement est justifié et quels sont mes recours ?	Oui	claude
2	Je suis employée de bureau depuis 5 ans. Mon supérieur me fait des commentaires à connotation sexuelle et m'a proposé une promotion en échange de faveurs. J'ai refusé et il a modifié mes horaires en punition. Comment porter plainte pour harcèlement sexuel au travail ?	Oui	claude
3	Je travaille dans un restaurant 50 heures par semaine mais mon employeur me paie toujours exactement 40 heures. Il dit que les heures supplémentaires sont incluses dans mon salaire fixe. Est-ce légal selon la Loi sur les normes du travail du Québec ?	Oui	claude
4	J'ai subi un accident du travail il y a trois mois. La CNESST m'a indemnisé mais mon employeur refuse de me réintégrer à mon poste à la fin de ma convalescence en disant qu'il a « réorganisé » les tâches. Ai-je un droit de retour au travail ?	Oui	claude
5	Mon employeur m'a demandé de signer une clause de non-concurrence très large après 6 ans d'emploi, menaçant de me congédier si je refuse. Je veux savoir si cette clause est légale et si je suis obligé de la signer en cours d'emploi.	Oui	claude
6	Mon propriétaire m'a avisé de quitter mon appartement dans 30 jours sans donner de motif valable. Mon bail n'est pas encore terminé. Que puis-je faire pour rester dans mon logement ?	Non	claude
7	J'ai reçu une contravention de 500 $ pour excès de vitesse sur l'autoroute. J'étais à 135 km/h dans une zone de 100 km/h. Je veux contester. Comment le faire et quelles sont mes chances de succès ?	Non	claude
8	Mon ex-conjoint refuse de me payer sa part de l'hypothèque depuis notre séparation il y a 4 mois. Nous sommes tous les deux sur le titre de propriété. Comment protéger ma cote de crédit et forcer le paiement ?	Non	claude
9	Ma mère est décédée sans testament. Elle avait une maison, un REER et un compte bancaire. Je suis son seul enfant. Comment puis-je hériter légalement de ses biens et quelles démarches dois-je faire ?	Non	claude
10	Je suis travailleur autonome et un client me doit 8 000 $ pour un projet complété il y a 4 mois. Il ne répond plus à mes appels. Comment puis-je récupérer cet argent sans avoir à payer des frais d'avocat importants ?	Non	claude
