index	text	answer	source_model
1	L'utilisation du présent abonnement est plafonnée à dix millions (10 000 000) de requêtes API par mois. Tout dépassement de ce seuil sera facturé au tarif excédentaire de zéro virgule cinq cent centimes (0,0005 $) par requête additionnelle, sans préavis.	Oui	claude
2	La présente licence d'utilisation est limitée à cinq cents (500) utilisateurs actifs par mois. L'ajout d'utilisateurs au-delà de ce plafond nécessite la mise à niveau vers un palier supérieur. Le nombre d'utilisateurs actifs sera mesuré mensuellement et rapporté automatiquement au Concédant.	Oui	claude
3	Le Distributeur est autorisé à vendre un maximum de dix mille (10 000) unités des Produits par trimestre dans son territoire. Tout volume supplémentaire devra faire l'objet d'une autorisation écrite préalable du Fournisseur et sera sujet à un barème tarifaire différent.	Oui	claude
4	L'utilisation des Données est limitée à un maximum de cinq (5) Go de données interrogées par mois. En cas de dépassement, des frais supplémentaires de cinquante dollars (50 $) par Go additionnel seront automatiquement facturés au compte du Client.	Oui	claude
5	La production autorisée sous la présente licence de fabrication est plafonnée à cinquante mille (50 000) unités par année calendrier. La fabrication au-delà de ce plafond sans autorisation constitue une violation de la licence et donne lieu au paiement de redevances majorées de cinquante pour cent (50 %).	Oui	claude
6	Le Licencié peut utiliser le Logiciel sur un nombre illimité de postes de travail appartenant aux entités faisant partie du groupe du Licencié, sans restriction de volume ou d'utilisateurs, pour la durée de l'accord.	Non	claude
7	La licence accordée est illimitée en termes d'utilisateurs et de volume de données pendant la durée de l'abonnement annuel. Les frais forfaitaires couvrent toute utilisation raisonnable dans le cadre des activités normales du Licencié.	Non	claude
8	Les Services inclus dans le forfait de base couvrent jusqu'à vingt (20) heures de consultation par mois. Les heures supplémentaires au-delà de ce forfait seront facturées au taux horaire de deux cents dollars (200 $).	Non	claude
9	Le Fournisseur s'engage à répondre aux demandes de support dans les délais suivants : problèmes critiques (P1) — réponse en 1 heure, résolution en 4 heures; problèmes majeurs (P2) — réponse en 4 heures, résolution en 24 heures.	Non	claude
10	Le Distributeur s'engage à un engagement d'achat minimal de cent mille dollars (100 000 $) par trimestre. L'absence d'atteinte de cet objectif pendant deux trimestres consécutifs entraîne la résiliation automatique de l'exclusivité territoriale.	Non	claude
