index	text	answer	source_model
1	Le vice-président aux affaires gouvernementales d'une société pharmaceutique rencontre le sous-ministre de la Santé du Québec pour lui présenter des données scientifiques et demander l'inscription d'un nouveau médicament oncologique sur la liste des médicaments remboursés par la RAMQ. La rencontre est organisée dans le cadre des démarches officielles de l'entreprise.	Lobbying	claude
2	Un consultant en relations gouvernementales, inscrit au registre des lobbyistes du Québec, envoie une série de courriels au cabinet du ministre de l'Environnement pour demander un assouplissement des normes d'émissions industrielles au profit de son client, une aluminerie.	Lobbying	claude
3	La présidente d'une association professionnelle de comptables téléphone à un député provincial pour lui demander de modifier un projet de loi sur les qualifications professionnelles de manière à exclure certaines catégories de travailleurs autonomes de son champ d'application.	Lobbying	claude
4	Un directeur général d'une association de développeurs immobiliers rencontre le directeur de l'urbanisme d'une municipalité pour plaider en faveur d'un changement de zonage qui permettrait la construction résidentielle sur un terrain actuellement classé industriel. La rencontre a été sollicitée par l'association.	Lobbying	claude
5	Un avocat spécialisé en droit des affaires, mandaté par une entreprise technologique, prend rendez-vous avec le responsable des marchés publics d'un ministère fédéral pour influencer les critères d'un appel d'offres afin que son client y réponde avantageusement.	Lobbying	claude
6	Le président-directeur général d'une société rencontre le premier ministre lors d'un gala de bienfaisance. Ils échangent des politesses et discutent brièvement des résultats économiques du secteur sans aborder de dossier précis. Aucune demande n'est formulée.	Pas de lobbying	claude
7	Un fonctionnaire du gouvernement provincial contacte un représentant d'entreprise pour lui demander des informations techniques sur un produit dans le cadre d'une demande d'information publique. L'entreprise fournit les informations demandées.	Pas de lobbying	claude
8	Une entreprise dépose un mémoire dans le cadre d'une consultation publique annoncée par un comité parlementaire sur la révision de la Loi sur les valeurs mobilières. Le dépôt est fait selon la procédure publique officielle et le mémoire est rendu public.	Pas de lobbying	claude
9	Un avocat plaideur comparaît devant un tribunal administratif pour défendre les intérêts de son client dans une procédure quasi judiciaire. Il argue que les règlements applicables sont inapplicables dans ce cas précis.	Pas de lobbying	claude
10	Un employé d'une entreprise communique avec l'Agence du revenu du Canada pour obtenir une interprétation technique d'une disposition fiscale applicable à la situation de son employeur. La demande est purement informationnelle et vise à clarifier une obligation fiscale.	Pas de lobbying	claude
