index	text	answer	source_model
1	Politique : « Nous partageons vos renseignements personnels avec nos filiales et sociétés affiliées qui fournissent des services en notre nom. Ces entités sont contractuellement tenues de protéger vos données. » — Déclaration : La politique autorise le partage de données avec des sociétés du même groupe corporatif.	Impliquée	claude
2	Politique : « Nous conservons vos renseignements personnels pendant cinq (5) ans suivant la fin de votre relation avec nous, après quoi vos données sont supprimées ou anonymisées. » — Déclaration : Les données d'un utilisateur dont le compte est fermé depuis six ans ont été supprimées ou rendues anonymes.	Impliquée	claude
3	Politique : « Vous pouvez retirer votre consentement à la réception de communications commerciales à tout moment en cliquant sur le lien de désabonnement dans nos courriels ou en nous contactant directement. » — Déclaration : Un utilisateur peut arrêter de recevoir des courriels promotionnels en se désabonnant.	Impliquée	claude
4	Politique : « Nous utilisons des témoins de connexion analytiques pour comprendre comment vous naviguez sur notre site. Vous pouvez désactiver les témoins analytiques via notre outil de gestion des préférences. » — Déclaration : Le désabonnement des témoins analytiques entraîne automatiquement la suppression de toutes les données déjà collectées par ces témoins.	Non impliquée	claude
5	Politique : « Nous protégeons vos renseignements personnels grâce à des mesures de sécurité techniques et organisationnelles rigoureuses. » — Déclaration : L'organisation garantit qu'aucune violation de données ne surviendra jamais.	Non impliquée	claude
6	Politique : « Nous ne vendons pas vos renseignements personnels à des tiers. » — Déclaration : L'organisation ne partage jamais vos données avec des tiers dans aucune circonstance.	Non impliquée	claude
7	Politique : « Nous collectons vos renseignements personnels uniquement avec votre consentement. » — Déclaration : La collecte de données se produit toujours avec le consentement de l'utilisateur, même en cas d'exigence légale.	Contradictoire	claude
8	Politique : « La présente politique de confidentialité entre en vigueur immédiatement dès votre utilisation du service, sans nécessiter votre accord préalable. » — Déclaration : La politique exige le consentement explicite de l'utilisateur avant tout traitement de ses données.	Contradictoire	claude
9	Politique : « Vos données ne sont jamais transmises hors du Canada. » — Déclaration : La politique autorise le transfert de données vers des sous-traitants américains pour l'hébergement infonuagique.	Contradictoire	claude
10	Politique : « Vos données sont conservées aussi longtemps que nécessaire aux fins décrites. » — Déclaration : Les données des utilisateurs sont conservées indéfiniment puisqu'aucune limite temporelle n'est précisée.	Non impliquée	claude
