index	text	answer	source_model
1	Le présent accord expire automatiquement le 30 juin 2026 (la « Date d'expiration ») à moins qu'il ne soit renouvelé par accord écrit préalable des parties, ou résilié avant cette date conformément aux dispositions prévues aux présentes.	Oui	claude
2	La durée initiale du présent contrat est de vingt-quatre (24) mois à compter de la Date d'entrée en vigueur. À l'expiration de cette période, le contrat prendra fin sans qu'un préavis supplémentaire soit requis, sauf renouvellement explicite par les parties.	Oui	claude
3	Le présent contrat de distribution expirera le premier des événements suivants à survenir : (i) le 31 décembre 2025; (ii) la cessation des activités du Distributeur; ou (iii) la vente ou le transfert du droit de distribution par le Fournisseur à un tiers.	Oui	claude
4	À moins d'être résilié plus tôt, le présent accord prendra fin trois (3) ans après la Date de mise en service, soit la date à laquelle le Système a été déclaré opérationnel par les deux parties dans le bon de réception signé.	Oui	claude
5	La période de protection des informations confidentielles court à compter de la date de divulgation initiale et prend fin cinq (5) ans après la date d'expiration ou de résiliation du présent accord de confidentialité, selon la date la plus tardive.	Oui	claude
6	Le présent accord entrera en vigueur à la date de sa signature et demeurera en vigueur jusqu'à ce que l'une des parties y mette fin conformément aux conditions de résiliation prévues à l'article 15 des présentes.	Non	claude
7	Le Licencié doit aviser le Concédant au moins quatre-vingt-dix (90) jours à l'avance de son intention de ne pas renouveler le présent accord. À défaut d'un tel avis, le contrat se renouvellera automatiquement pour une période de douze (12) mois.	Non	claude
8	Le Fournisseur ne peut modifier les tarifs applicables qu'après avoir donné au Client un préavis écrit de soixante (60) jours. Les modifications tarifaires n'ont aucun effet rétroactif.	Non	claude
9	Les garanties accordées par le Fabricant sur les composants matériels couvrent les défauts de fabrication pour une période de deux (2) ans à compter de la date de livraison. Les logiciels sont couverts par une garantie de fonctionnement de quatre-vingt-dix (90) jours.	Non	claude
10	En cas d'insolvabilité, de mise sous séquestre, de liquidation ou de dépôt de bilan d'une des parties, l'autre partie pourra résilier le présent accord immédiatement sur avis écrit.	Non	claude
