index	text	answer	source_model
1	Un témoin dépose que son collègue lui a dit, la veille du sinistre : "J'ai vu le défendeur sortir de l'édifice en courant et l'édifice a pris feu quelques minutes après." Le collègue est décédé avant le procès. La poursuite invoque la nécessité d'utiliser cette déclaration et sa fiabilité inhérente compte tenu des circonstances.	Ouï-dire avec exception applicable	claude
2	Une travailleuse sociale témoigne qu'un enfant lui a rapporté, lors d'une entrevue filmée suivant le protocole d'investigation, avoir été victime de violence physique de la part de son père. L'enfant n'est pas convoqué à témoigner en raison de son jeune âge et de l'impact psychologique d'un tel témoignage.	Ouï-dire avec exception applicable	claude
3	Un expert en sinistres témoigne que, selon le rapport rédigé par un autre expert à la suite de l'incendie, la cause probable du feu était une installation électrique défectueuse. Cet autre expert est disponible mais n'est pas convoqué.	Ouï-dire sans exception	claude
4	Un témoin civile déclare que sa voisine lui a dit, dans un texto, que le défendeur lui avait confié avoir détruit les documents en cause. La voisine refuse de témoigner et l'accusé conteste la recevabilité de cette déclaration.	Ouï-dire sans exception	claude
5	Un directeur des ventes témoigne que, lors d'une réunion, l'employé en cause avait déclaré aux autres participants qu'il avait falsifié les états financiers. Ces autres participants sont disponibles pour témoigner mais n'ont pas été convoqués par les parties.	Ouï-dire sans exception	claude
6	Un policier témoigne des déclarations que l'accusé lui a faites spontanément au moment de son arrestation, sans avoir été interrogé, déclarations par lesquelles l'accusé reconnaissait sa présence sur les lieux du crime.	Pas de ouï-dire	claude
7	Une victime témoigne directement de la menace que lui a adressée le défendeur lors d'une confrontation : "Tu vas regretter d'avoir porté plainte." La déclaration est produite pour établir que cette menace a été prononcée, non pour prouver qu'elle se réaliserait.	Pas de ouï-dire	claude
8	Un comptable témoigne qu'après avoir examiné les livres comptables de l'entreprise, il a constaté des irrégularités dans les entrées comptables des mois de janvier à mars. Il a personnellement procédé à cet examen et témoigne de ses propres observations.	Pas de ouï-dire	claude
9	Un médecin témoigne de ses propres observations cliniques lors de l'examen de la victime : lacérations, contusions et fractures qu'il a lui-même constatées lors de la consultation aux urgences.	Pas de ouï-dire	claude
10	Un avocat plaideur témoigne avoir reçu un courriel de son client l'informant qu'il avait signé le contrat litigieux. La poursuite cherche à utiliser ce courriel pour prouver la signature du contrat, non pas le fait de la communication.	Ouï-dire sans exception	claude
