index	text	answer	source_model
1	Je veux poursuivre mon ancien employeur pour congédiement injustifié mais je ne sais pas si je dois aller à la Commission des normes du travail, au Tribunal des droits de la personne ou à la Cour du Québec. Le montant réclamé est de 25 000 $. Vers quel tribunal dois-je me tourner ?	Oui	claude
2	J'ai reçu un jugement de la Cour du Québec contre un débiteur il y a 8 mois mais il refuse de payer. Je veux faire saisir son compte bancaire. Comment procède-t-on à l'exécution forcée d'un jugement au Québec ?	Oui	claude
3	J'ai une cause en Cour supérieure prévue dans deux semaines. Mon avocat vient de me laisser tomber et je n'ai pas les moyens d'en engager un autre rapidement. Puis-je obtenir de l'aide juridique ou un délai de la cour ?	Oui	claude
4	L'autre partie dans mon dossier de petites créances ne s'est pas présentée à l'audience. Le juge a rendu un jugement par défaut en ma faveur. Comment puis-je obtenir une copie officielle du jugement pour le faire exécuter ?	Oui	claude
5	Je dois signifier une mise en demeure à une entreprise dont l'adresse a changé. L'huissier me dit qu'il ne peut pas signifier les documents. Quelles sont les autres façons légales de signifier en cas de difficultés de localisation ?	Oui	claude
6	Mon propriétaire a fait une infiltration d'eau qui a endommagé mes meubles pour environ 8 000 $. Il refuse toute responsabilité. Je veux le poursuivre. C'est quoi la procédure pour ce type de réclamation au Québec ?	Non	claude
7	J'ai subi une discrimination à l'embauche parce que je porte le voile islamique. L'employeur a clairement mentionné que mon habillement ne correspondait pas à leur image. Comment puis-je déposer une plainte pour discrimination ?	Non	claude
8	Mes voisins font des travaux bruyants tous les week-ends depuis trois mois. J'ai tenté de leur parler mais ils ignorent mes demandes. Puis-je obtenir une injonction pour les forcer à cesser les nuisances sonores ?	Non	claude
9	Mon ex-conjoint a retiré nos enfants du Québec sans mon consentement et est parti en Ontario. Je n'ai pas de jugement de garde en place. Comment faire pour obtenir le retour immédiat des enfants ?	Non	claude
10	Je suis poursuivi pour 15 000 $ par un ex-employé qui prétend que je ne lui ai pas payé ses commissions. Je conteste le montant. Je n'ai pas d'avocat. Comment dois-je me défendre devant la Cour du Québec ?	Non	claude
