index	text	answer	source_model
1	Clause : « Si le Bénéficiaire est contraint par une ordonnance judiciaire, une injonction réglementaire ou toute autre obligation légale de divulguer des informations confidentielles, il devra en informer le Divulgateur par écrit dans les meilleurs délais, et en tout état de cause avant toute divulgation, afin de permettre au Divulgateur de solliciter une ordonnance de protection appropriée. » — Affirmation : Le Bénéficiaire doit notifier le Divulgateur avant de divulguer des informations confidentielles en vertu d'une obligation légale.	Vrai	claude
2	Clause : « En cas de divulgation requise par la loi ou ordonnée par un tribunal compétent, le Bénéficiaire s'engage à : (i) aviser promptement le Divulgateur dès la réception de la demande ; (ii) coopérer raisonnablement avec le Divulgateur dans ses démarches pour limiter la divulgation ; (iii) ne divulguer que la portion strictement exigée. » — Affirmation : Le Bénéficiaire doit coopérer avec le Divulgateur pour limiter l'étendue d'une divulgation forcée.	Vrai	claude
3	Clause : « Avant de répondre à toute sommation, citation ou ordonnance judiciaire exigeant la divulgation d'informations confidentielles, le Bénéficiaire devra donner un préavis raisonnable au Divulgateur pour lui permettre de s'y opposer ou de demander une mesure de protection appropriée. » — Affirmation : Le Divulgateur doit avoir la possibilité de contester toute injonction de divulguer avant que le Bénéficiaire n'y réponde.	Vrai	claude
4	Clause : « Si la loi applicable, un règlement ou une décision judiciaire oblige le Bénéficiaire à divulguer des informations confidentielles, ce dernier devra : (a) notifier le Divulgateur par écrit sans délai ; (b) fournir une assistance raisonnable pour que le Divulgateur puisse obtenir un ordre de confidentialité ou autre protection similaire ; et (c) ne divulguer que les informations expressément requises. » — Affirmation : Le Bénéficiaire ne peut répondre à une ordonnance de divulgation sans d'abord en aviser le Divulgateur par écrit.	Vrai	claude
5	Clause : « Lorsque le Bénéficiaire reçoit une demande légale de divulgation, il devra immédiatement en informer le Divulgateur et lui donner la possibilité raisonnable de contester la demande avant de procéder à la divulgation. Si le Divulgateur ne conteste pas dans le délai imparti, le Bénéficiaire peut alors divulguer les informations requises. » — Affirmation : La divulgation forcée ne peut intervenir qu'après l'expiration d'un délai accordé au Divulgateur pour réagir.	Vrai	claude
6	Clause : « Le Bénéficiaire peut divulguer les informations confidentielles si cela est requis par la loi, une réglementation applicable ou une décision de justice rendue par un tribunal compétent. » — Affirmation : Le Bénéficiaire doit aviser le Divulgateur avant de divulguer des informations en réponse à une ordonnance judiciaire.	Faux	claude
7	Clause : « La divulgation des informations confidentielles à des tiers est interdite, sauf en cas de divulgation requise par une autorité réglementaire ou judiciaire, auquel cas le Bénéficiaire se conformera à l'exigence légale. » — Affirmation : Le Bénéficiaire est tenu de notifier préalablement le Divulgateur de toute divulgation légalement imposée.	Faux	claude
8	Clause : « Les obligations de confidentialité du présent accord ne s'appliquent pas aux informations dont la divulgation est exigée par la loi ou ordonnée par une juridiction compétente. » — Affirmation : Avant de divulguer des informations en vertu d'une obligation légale, le Bénéficiaire doit donner un préavis raisonnable au Divulgateur.	Faux	claude
9	Clause : « Le Bénéficiaire s'engage à maintenir le caractère confidentiel des informations reçues et à ne pas les divulguer à des tiers. Cette obligation ne s'applique pas lorsque la divulgation est requise par la loi. » — Affirmation : L'accord exige que le Bénéficiaire informe le Divulgateur et lui permette de solliciter une ordonnance de protection avant toute divulgation imposée par les autorités.	Faux	claude
10	Clause : « Les obligations de confidentialité sont absolues et ne souffrent aucune exception, sauf si une loi impérative ou une décision de justice contraignante exige la divulgation des informations. » — Affirmation : Le Bénéficiaire est obligé de prévenir le Divulgateur au préalable lorsque la loi l'oblige à divulguer des informations confidentielles.	Faux	claude
