index	text	answer	source_model
1	Police : « La police couvre tous les dommages matériels causés à l'immeuble assuré par l'eau, y compris les refoulements d'égout et les infiltrations latérales. » Sinistre : Un refoulement d'égout municipal a causé 35 000 $ de dommages aux sous-sol de l'immeuble assuré.	Couvert	claude
2	Police : « La garantie responsabilité civile couvre les dommages corporels ou matériels causés à des tiers résultant des activités professionnelles de l'assuré dans le cadre de son commerce de détail. » Sinistre : Un client a trébuché sur un présentoir mal positionné et s'est blessé au genou. Il réclame 18 000 $.	Couvert	claude
3	Police : « L'assurance vol couvre le vol avec effraction ou violence, à l'exclusion du vol commis par des employés ou des personnes autorisées à accéder aux lieux. » Sinistre : Un individu inconnu a brisé une fenêtre de l'arrière-boutique et a dérobé 22 000 $ en marchandises.	Couvert	claude
4	Police : « La présente garantie exclut expressément les dommages causés par les inondations provenant de sources extérieures à l'immeuble, notamment les débordements de cours d'eau, les crues et les précipitations exceptionnelles. » Sinistre : Des pluies diluviennes ont provoqué l'infiltration d'eau par le toit endommagé, causant 28 000 $ de dégâts à l'intérieur de l'immeuble.	Non couvert	claude
5	Police : « La garantie accidents de personnes couvre les blessures corporelles subies lors de la pratique d'activités sportives organisées. Elle exclut les blessures survenant lors d'activités extrêmes non sanctionnées par une fédération sportive reconnue. » Sinistre : L'assuré s'est blessé lors d'une descente non encadrée d'une falaise sans inscription à un groupe organisé reconnu.	Non couvert	claude
6	Police : « La garantie responsabilité professionnelle couvre les erreurs ou omissions commises dans l'exercice des fonctions professionnelles décrites à l'annexe A. Elle ne couvre pas les actes intentionnels ou frauduleux. » Sinistre : Un comptable assuré a commis une erreur de calcul entraînant un redressement fiscal de 50 000 $. Son client réclame l'écart entre le redressement et ce qu'il aurait dû payer.	Couvert	claude
7	Police : « L'assurance multirisques habitation couvre les dommages aux biens personnels de l'assuré causés par l'incendie. Elle exclut les biens professionnels, c'est-à-dire les biens utilisés à des fins commerciales. » Sinistre : L'assuré, qui travaille à domicile, réclame 12 000 $ pour un ordinateur portable et du matériel photographique professionnel détruits dans un incendie.	Couverture partielle	claude
8	Police : « La garantie dommages matériels couvre les dommages causés à l'immeuble. Les appareils électroménagers encastrés font partie de l'immeuble couvert. Les meubles et équipements mobiliers sont exclus de cette garantie mais couverts par la garantie contenu. » Sinistre : Un dégât d'eau a endommagé le réfrigérateur encastré (7 000 $) et la table de cuisine (3 500 $). L'assuré n'a pas souscrit la garantie contenu.	Couverture partielle	claude
9	Police : « La garantie maladie grave couvre les maladies listées à l'annexe C, dont le cancer, l'infarctus et l'AVC, diagnostiquées après quatre-vingt-dix (90) jours suivant la date d'entrée en vigueur de la police. » Sinistre : L'assuré a reçu un diagnostic de cancer du poumon soixante-deux (62) jours après la souscription de la police.	Non couvert	claude
10	Police : « La police couvre les dommages corporels subis par l'assuré lors d'un accident de la route. Elle prévoit une indemnisation réduite de moitié si l'assuré était en infraction aux règles du Code de la sécurité routière au moment de l'accident. » Sinistre : L'assuré, qui roulait à 30 km/h au-dessus de la limite permise, a subi des blessures graves dans une collision. Ses dommages corporels sont évalués à 100 000 $.	Couverture partielle	claude
