index	text	answer	source_model
1	En 2023, nous avons dispensé une formation obligatoire sur la Loi S-211 et la prévention du travail forcé à deux cent quarante-sept (247) employés dans nos fonctions d'approvisionnement, de conformité et de direction. Le taux de complétion s'établit à quatre-vingt-seize pour cent (96 %). La formation, d'une durée de six heures, était disponible en français et en anglais.	Oui	claude
2	Notre programme de formation 2023 distinguait trois niveaux : une sensibilisation générale de deux heures pour l'ensemble du personnel (mille deux cents (1 200) employés formés) ; une formation intermédiaire de six heures pour les équipes d'approvisionnement (cent quatre-vingt-dix (190) employés formés) ; et une formation avancée de deux jours pour les responsables de la conformité (vingt-deux (22) participants). Les taux de complétion respectifs sont de quatre-vingt-huit, quatre-vingt-quinze et cent pour cent.	Oui	claude
3	Au premier trimestre 2024, nous avons lancé un programme de formation destiné aux fournisseurs clés, en partenariat avec l'Université de Montréal. Ce programme de seize (16) heures, disponible en ligne, a été complété par soixante-trois (63) représentants de quarante-et-un (41) fournisseurs stratégiques. Il couvre la législation canadienne, les pratiques de recrutement éthique et les mécanismes de plainte.	Oui	claude
4	Notre module de formation sur la Loi S-211 a été intégré au programme d'accueil de tous les nouveaux employés rejoignant les fonctions d'approvisionnement depuis juin 2023. En outre, une formation de recyclage annuelle est obligatoire pour les employés en poste. En 2023, quatre-vingt-neuf pour cent (89 %) des quatre cents vingt-sept (427) employés ciblés ont complété la formation de recyclage.	Oui	claude
5	Les indicateurs de formation pour l'exercice 2023 sont présentés ci-dessous : nombre d'employés formés sur le travail forcé : 312 ; durée moyenne de la formation : 4,5 heures ; taux de complétion : 94 % ; score moyen aux évaluations post-formation : 82 % ; nombre de formateurs internes certifiés : 8 ; langues de formation disponibles : français, anglais, mandarin.	Oui	claude
6	Nous avons mis en place un système de gestion des fournisseurs permettant de suivre en temps réel le statut de conformité de chaque fournisseur. Ce système intègre les résultats d'audit, les informations de certification, les incidents signalés et les plans d'action correctifs. Les données sont accessibles à nos équipes d'approvisionnement mondiales via notre portail de gestion des fournisseurs.	Non	claude
7	Conformément aux recommandations des lignes directrices fédérales sur la Loi S-211, nous avons mandaté un tiers indépendant pour vérifier l'exactitude de notre déclaration annuelle. La vérification couvre les données de politique, de formation, d'audit et de certification. Elle est réalisée selon la norme d'assurance ISAE 3000 et les résultats sont publiés en annexe de notre déclaration.	Non	claude
8	En 2023, nous avons audité cinquante-cinq (55) fournisseurs représentant soixante-dix-huit pour cent (78 %) de nos achats dans les secteurs à risque élevé. Vingt-deux pour cent (22 %) des audits ont révélé des non-conformités, dont six pour cent (6 %) étaient majeures. Tous les cas de non-conformité majeure ont fait l'objet de plans d'action correctifs contraignants avec des échéances précises.	Non	claude
9	Notre mécanisme de signalement pour la chaîne d'approvisionnement est géré par un tiers indépendant et est accessible par téléphone, courriel et application mobile dans huit langues. En 2023, nous avons reçu vingt-quatre (24) signalements relatifs aux conditions de travail, dont dix-neuf (19) ont fait l'objet d'une enquête complète et cinq (5) ont été reclassifiés comme non pertinents après examen préliminaire.	Non	claude
10	Notre politique de lutte contre le travail forcé a été révisée en janvier 2023 pour intégrer les nouvelles exigences de la Loi S-211. La politique révisée a été approuvée par le conseil d'administration en février 2023 et communiquée à l'ensemble de nos fournisseurs de premier rang en mars 2023, accompagnée d'une lettre du chef de la direction soulignant l'importance de la conformité.	Non	claude
