index	text	answer	source_model
1	À la résiliation du présent accord pour quelque motif que ce soit, le Prestataire s'engage à fournir des services de transition pendant une période de six (6) mois, incluant le transfert de connaissances, la documentation des systèmes et l'assistance à la migration des données vers le système de remplacement du Client.	Oui	claude
2	En cas de résiliation, qu'elle soit imputable à l'une ou l'autre des parties, le Fournisseur continuera à assurer les services de maintenance et de support essentiels pendant une période de transition de quatre-vingt-dix (90) jours aux tarifs contractuels en vigueur, afin d'éviter toute interruption des opérations du Client.	Oui	claude
3	Nonobstant la résiliation du présent accord, le Prestataire devra fournir les services résiduels nécessaires à la complétion des projets en cours à la date effective de résiliation, selon les conditions du présent accord, pour une durée n'excédant pas cent vingt (120) jours.	Oui	claude
4	À la fin du contrat, le Concédant garantit au Licencié une période de décommissionnement assisté de trois (3) mois pendant laquelle il continuera à offrir un accès limité à la plateforme pour permettre l'exportation des données et la migration vers une solution alternative.	Oui	claude
5	La fin de la relation contractuelle n'exonère pas le Prestataire de son obligation de finaliser les livrables déjà en cours de développement et dont l'état d'avancement dépasse 75 %, dans un délai de soixante (60) jours suivant la date effective de résiliation.	Oui	claude
6	En cas de résiliation pour cause de manquement grave, toutes les licences accordées aux termes du présent accord seront automatiquement révoquées à la date effective de résiliation et le Licencié devra cesser immédiatement toute utilisation de la Technologie.	Non	claude
7	À la résiliation du présent accord, chaque partie restituera à l'autre l'ensemble des documents, données et équipements appartenant à cette dernière, dans un délai de quinze (15) jours suivant la date effective de résiliation.	Non	claude
8	Les obligations de confidentialité, de non-concurrence et de non-sollicitation survivent à la résiliation du présent accord pour les périodes stipulées dans les clauses correspondantes.	Non	claude
9	La résiliation du présent accord libère les parties de leurs obligations futures mais n'affecte pas les droits et recours acquis antérieurement à la date de résiliation.	Non	claude
10	À la résiliation, le Licencié devra désinstaller et détruire tous les exemplaires du Logiciel en sa possession et remettre au Concédant une attestation écrite de destruction dans les trente (30) jours suivant la date effective de résiliation.	Non	claude
