index	text	answer	source_model
1	En contrepartie du forfait annuel global prévu aux présentes, le Licencié bénéficie d'une licence d'utilisation illimitée du Logiciel, sans restriction quant au nombre d'utilisateurs, d'installations, de transactions ou de volumes de données traitées pendant la durée de l'accord.	Oui	claude
2	Le présent abonnement confère au Client un droit d'accès et d'utilisation illimité à l'ensemble des fonctionnalités de la Plateforme, pour un nombre d'utilisateurs illimité au sein de l'organisation du Client, sans frais supplémentaires liés à l'usage.	Oui	claude
3	La licence de type « site illimité » accordée aux présentes autorise le déploiement du Logiciel sur un nombre illimité de postes de travail et de serveurs appartenant au Client, dans toutes ses installations sur le territoire canadien, sans redevance additionnelle.	Oui	claude
4	En contrepartie de la redevance forfaitaire annuelle, le Distributeur obtient une licence de distribution sans plafond de volume, lui permettant de revendre autant d'exemplaires du Logiciel que sa clientèle le demande, dans son territoire exclusif.	Oui	claude
5	Le présent accord de licence « all-you-can-eat » permet au Bénéficiaire d'accéder à la totalité du catalogue de contenus du Concédant, pour un usage interne illimité, sans restriction quantitative sur le nombre de téléchargements, de lectures ou d'utilisateurs simultanés.	Oui	claude
6	La licence accordée est limitée à cent (100) utilisateurs nommés. Tout utilisateur supplémentaire requiert l'achat de licences additionnelles au tarif en vigueur. Le Licencié doit fournir une liste nominative des utilisateurs autorisés à la demande du Concédant.	Non	claude
7	L'utilisation du Logiciel est autorisée uniquement sur les équipements appartenant au Client et ne peut dépasser les volumes de transactions précisés à l'Annexe tarifaire. Tout dépassement de volume sera facturé au tarif excédentaire.	Non	claude
8	Le présent accord de service est limité aux installations du Client situées dans les régions de Montréal et Québec uniquement. Toute extension à d'autres sites devra faire l'objet d'un avenant distinct.	Non	claude
9	Les droits d'utilisation accordés sont limités aux fins mentionnées dans la demande de licence approuvée. Toute utilisation à d'autres fins requiert une approbation préalable et peut entraîner des frais supplémentaires.	Non	claude
10	La licence est accordée pour un usage sur cinq (5) serveurs de production au maximum. Le Client doit aviser le Concédant avant tout déploiement supplémentaire et payer les redevances applicables pour les serveurs additionnels.	Non	claude
