index	text	answer	source_model
1	Mon mari et moi sommes mariés depuis 12 ans et nous voulons divorcer à l'amiable. Nous avons deux enfants et une maison. Comment se déroule un divorce non contesté au Québec et combien de temps cela prend-il ?	Oui	claude
2	Mon conjoint a quitté le domicile familial il y a un an sans explication. Je veux demander le divorce mais il est introuvable. Est-ce que je peux divorcer en son absence et comment le signifier si je ne connais pas son adresse ?	Oui	claude
3	Nous divorçons et mon ex-conjoint veut que je renonce à la prestation compensatoire à laquelle j'aurais droit pour ma contribution non monétaire au mariage (j'ai arrêté de travailler pour m'occuper des enfants pendant 8 ans). Puis-je réclamer cette prestation même s'il s'y oppose ?	Oui	claude
4	Mon divorce a été prononcé il y a six mois. Nous avions convenu d'un partage du patrimoine familial dans l'entente de divorce. Mon ex-conjoint refuse maintenant d'exécuter cette partie de l'entente et de me transférer ma part de la valeur de la maison. Comment forcer l'exécution ?	Oui	claude
5	Mon conjoint et moi nous sommes séparés de corps il y a deux ans. Il ne veut pas divorcer pour des raisons religieuses. Je veux avoir accès à ma part du REER commun. Quelles sont mes options pour liquider le patrimoine familial sans divorce formel ?	Oui	claude
6	Mon ex-copain (nous n'étions pas mariés, mais en union de fait) a emmené notre fille chez sa mère dans une autre ville sans me le dire. Nous n'avons pas d'entente de garde officielle. Comment puis-je récupérer ma fille ?	Non	claude
7	Mon conjoint me frappe régulièrement depuis deux ans. J'ai peur de lui. J'ai besoin de partir avec mes enfants en sécurité. Quelles mesures d'urgence sont disponibles pour me protéger ?	Non	claude
8	Ma femme est décédée sans testament. Nous avions trois enfants. Je veux savoir comment se fait la succession et si j'hérite automatiquement de sa part dans notre maison copropriétée.	Non	claude
9	Mon père est décédé et m'a laissé la maison en héritage, mais ma belle-mère y vit encore et refuse de partir. Elle prétend avoir un droit d'usage viager. Comment puis-je accéder à ma propriété ?	Non	claude
10	Mon ex-employeur me doit 6 semaines d'indemnité de départ. Il me propose de me payer en versements sur 12 mois. J'aimerais tout recevoir immédiatement. Puis-je le forcer à payer d'un seul coup ?	Non	claude
