index	text	answer	source_model
1	En contrepartie de la mise à disposition de la Plateforme, le Fournisseur recevra une redevance égale à vingt-cinq pour cent (25 %) des revenus nets générés par le Client à partir des transactions effectuées via la Plateforme, payable trimestriellement dans les quarante-cinq (45) jours suivant la clôture de chaque trimestre.	Oui	claude
2	Les bénéfices nets issus des activités de la coentreprise seront partagés entre les parties dans les proportions suivantes : soixante pour cent (60 %) au Partenaire A et quarante pour cent (40 %) au Partenaire B, reflétant leurs apports respectifs en capital et en ressources humaines.	Oui	claude
3	En rémunération de la technologie apportée par l'Inventeur, celui-ci recevra une redevance de cinq pour cent (5 %) sur le chiffre d'affaires net réalisé par la Société sur les produits et services intégrant la Technologie, calculée et versée annuellement.	Oui	claude
4	Les revenus d'abonnement générés par la Plateforme seront répartis de la façon suivante : soixante-dix pour cent (70 %) iront au Créateur de contenu et trente pour cent (30 %) seront conservés par l'Opérateur de la Plateforme à titre de frais de service.	Oui	claude
5	À titre de compensation pour l'introduction des clients qui ont adopté les Services du Prestataire, le Courtier recevra une commission équivalente à quinze pour cent (15 %) des revenus récurrents générés par ces clients pendant une période de vingt-quatre (24) mois suivant leur inscription.	Oui	claude
6	Le Licencié paiera au Concédant des redevances fixes de cinq cents dollars (500 $) par mois, indépendamment de l'utilisation réelle ou du nombre d'utilisateurs actifs sur la plateforme.	Non	claude
7	Le Prestataire facturera ses services au taux horaire de deux cents dollars (200 $) par heure, majoré des débours réels engagés pour l'exécution de la mission, documentés et soumis avec chaque facture mensuelle.	Non	claude
8	L'Acheteur paiera au Vendeur le prix d'achat total de cinq cent mille dollars (500 000 $) selon l'échéancier suivant : cent mille dollars à la signature, deux cents mille dollars à la livraison, et le solde de deux cents mille dollars à l'acceptation finale.	Non	claude
9	Les honoraires de succès du Courtier immobilier s'élèveront à cinq pour cent (5 %) du prix de vente finalisé, payables à la clôture de la transaction, conformément aux pratiques de l'industrie immobilière au Québec.	Non	claude
10	Le Fournisseur émettra des factures mensuelles pour les services rendus. Le Client s'engage à payer chaque facture dans les trente (30) jours de sa réception, sous peine d'intérêts de retard au taux préférentiel plus deux pour cent.	Non	claude
