index	text	answer	source_model
1	Art. 82 LNT : « L'employeur qui met fin à un contrat à durée indéterminée doit donner à son salarié un avis d'une semaine si ce dernier lui a rendu moins d'un an de service ; deux semaines si ce dernier lui a rendu entre un an et cinq ans de service ; quatre semaines si ce dernier lui a rendu entre cinq ans et dix ans de service ; et huit semaines si ce dernier lui a rendu dix ans ou plus de service. »	1 semaine : délai de préavis pour moins d'un an de service\n2 semaines : délai de préavis pour 1 à 5 ans de service\n4 semaines : délai de préavis pour 5 à 10 ans de service\n8 semaines : délai de préavis pour 10 ans et plus de service\nSignification juridique : le non-respect de ces délais expose l'employeur à une indemnité compensatrice équivalente au salaire de la période de préavis.	claude
2	Art. 2925 et 2926 CCQ : « Le droit d'action qui n'est pas soumis à une autre prescription se prescrit par trois ans. Le droit d'action en réparation du préjudice corporel se prescrit par trois ans à compter du jour où la victime a eu connaissance de son préjudice, sans jamais pouvoir être intentée plus de dix ans après le fait dommageable. »	3 ans : prescription extinctive de droit commun (art. 2925 CCQ)\n3 ans : prescription spécifique pour le préjudice corporel, calculée à partir de la connaissance du préjudice\n10 ans : délai de prescription absolu (butoir) pour le préjudice corporel\nSignification juridique : le délai de 10 ans est un délai butoir qui court même si la victime ignore son préjudice, limitant les recours très tardifs.	claude
3	Clause contractuelle : « L'acheteur verse un acompte de 20 % à la signature. Le solde de 80 % est payable 30 jours après la livraison. En cas de retard de paiement, un intérêt de 1,5 % par mois sera appliqué sur le solde impayé après un délai de grâce de 5 jours ouvrables. »	20 % : acompte versé à la signature\n80 % : solde payable 30 jours après livraison\n30 jours : délai de paiement du solde après livraison\n1,5 % par mois : taux d'intérêt de retard (équivalant à 18 % annuellement)\n5 jours ouvrables : délai de grâce avant application des intérêts\nSignification juridique : le taux d'intérêt doit être examiné pour conformité avec les règles sur les contrats de consommation (LPC) si applicable ; pour les contrats commerciaux, il est en principe librement négocié.	claude
4	Art. 118.2 LIR (simplifié) : « Pour l'application du crédit d'impôt pour frais médicaux, sont déductibles les frais médicaux excédant le moins élevé des montants suivants : 2 479 $ ou 3 % du revenu net du particulier pour l'année. »	2 479 $ : seuil absolu de franchise (indexé annuellement par l'ARC)\n3 % : pourcentage du revenu net constituant l'autre seuil applicable\nSignification juridique : seul le moins élevé des deux seuils est utilisé ; pour un contribuable dont le revenu est inférieur à environ 82 633 $, le seuil de 3 % sera inférieur à 2 479 $ et constituera donc le seuil applicable.	claude
5	Bail commercial : « La durée du bail est de 5 ans commençant le 1er mars 2023. Le loyer mensuel est de 4 500 $ les deux premières années, puis de 4 950 $ pour les trois années suivantes. Le bailleur peut résilier le bail avec un préavis de 6 mois. L'option de renouvellement doit être exercée au moins 90 jours avant l'expiration du terme. »	5 ans : durée du bail (1er mars 2023 au 28 février 2028)\n4 500 $/mois : loyer pour les 24 premiers mois (2023-2025)\n4 950 $/mois : loyer pour les 36 mois suivants (2025-2028)\n6 mois : préavis de résiliation par le bailleur\n90 jours : délai minimal pour exercer l'option de renouvellement avant le 28 novembre 2027\nSignification juridique : le loyer total du bail est de (24 × 4 500) + (36 × 4 950) = 108 000 + 178 200 = 286 200 $. L'option de renouvellement non exercée dans les délais est irrémédiablement perdue.	claude
6	Art. 1741 CCQ : « Lorsque la vente d'un bien meuble a été faite sans terme, le vendeur peut, dans les 30 jours de la délivrance, considérer la vente comme résolue et revendiquer le bien, si l'acheteur, alors qu'il est en demeure, fait défaut de payer le prix et si le meuble est encore entier et dans le même état, sans être passé entre les mains d'un tiers qui en a payé le prix ou d'un créancier hypothécaire qui a obtenu le délaissement du bien. » — Art. 1742 CCQ : « Le vendeur d'un bien immeuble ne peut demander la résolution de la vente, faute par l'acheteur d'exécuter l'une de ses obligations, que si le contrat contient une stipulation particulière à cet effet. S'il est dans les conditions pour demander la résolution, il est tenu d'exercer son droit dans un délai de cinq ans à compter de la vente. »	30 jours : délai accordé au vendeur d'un meuble pour revendiquer le bien après délivrance lorsque l'acheteur est en demeure de payer (art. 1741 CCQ)\n5 ans : délai maximal d'exercice du droit de résolution pour la vente d'un immeuble (art. 1742 CCQ)\nSignification juridique : pour les meubles, le droit de résolution naît automatiquement dans les 30 jours et ne requiert pas de stipulation contractuelle ; pour les immeubles, une clause expresse est obligatoire et le délai d'exercice de 5 ans court dès la vente, faute de quoi le droit est éteint.	claude
7	Art. 1615 et 1616 CCQ — Dommages-intérêts pour préjudice corporel : « Le tribunal, quand il accorde des dommages-intérêts en réparation d'un préjudice corporel peut, pour une période d'au plus trois ans, réserver au créancier le droit de demander des dommages-intérêts additionnels, lorsqu'il n'est pas possible de déterminer avec une précision suffisante l'évolution de sa condition physique au moment du jugement. Lorsque le préjudice est corporel et que le créancier est mineur, le tribunal peut imposer, en tout ou en partie, le paiement sous forme de rente ou de versements périodiques. Dans les trois mois qui suivent sa majorité, le créancier peut exiger le paiement immédiat, actualisé, de tout ce qui lui reste à recevoir. »	3 ans : période maximale pendant laquelle le tribunal peut réserver le droit de demander des dommages additionnels lorsque l'évolution du préjudice corporel est incertaine (art. 1615 CCQ)\n3 mois : délai accordé au créancier mineur devenu majeur pour exiger le paiement immédiat et actualisé du solde de la rente (art. 1616 CCQ)\nSignification juridique : la réserve de 3 ans protège la victime dont l'état physique est imprévisible au moment du jugement ; le délai de 3 mois après la majorité est un droit de « sortie » de la rente permettant de capitaliser les versements futurs en un seul paiement forfaitaire.	claude
8	Contrat de services professionnels — clause pénale (art. 1622 CCQ) : « Si le prestataire ne remet pas le livrable final dans le délai de 90 jours suivant la signature, une pénalité de 2 % du prix total s'applique par semaine de retard, plafonnée à 20 % du prix total du contrat (85 000 $). En cas d'exécution partielle ayant profité au client, le montant de la pénalité pourra être réduit par le tribunal en vertu de l'art. 1623 CCQ. Le prestataire doit donner un préavis de 15 jours ouvrables si un retard est prévisible. »	90 jours : délai contractuel de remise du livrable final\n2 % du prix total par semaine : taux de la clause pénale pour retard de livraison\n20 % : plafond maximal de la pénalité (soit 17 000 $ sur un contrat de 85 000 $)\n85 000 $ : valeur totale du contrat\n15 jours ouvrables : préavis obligatoire du prestataire en cas de retard prévisible\nSignification juridique : la pénalité s'applique sans preuve de préjudice (art. 1622 CCQ) ; le tribunal peut la réduire si abusive ou si l'exécution partielle a profité au client (art. 1623 CCQ) ; le plafond de 20 % est un outil de prévisibilité mais ne lie pas le tribunal dans son appréciation de l'abus.	claude
9	Art. 2922, 2925, 2928 et 2929 CCQ — Tableau des délais de prescription extinctive : « La prescription extinctive de droit commun est de 10 ans (art. 2922 CCQ). L'action tendant à faire valoir un droit personnel ou un droit réel mobilier se prescrit par 3 ans (art. 2925 CCQ). La demande du conjoint survivant pour faire établir la prestation compensatoire se prescrit par 1 an à compter du décès de son conjoint (art. 2928 CCQ). L'action fondée sur une atteinte à la réputation se prescrit par 1 an à compter du jour où la personne diffamée en a eu connaissance (art. 2929 CCQ). »	10 ans : délai de prescription de droit commun (art. 2922 CCQ)\n3 ans : délai de prescription pour les droits personnels et droits réels mobiliers — le plus fréquemment applicable en pratique (art. 2925 CCQ)\n1 an : délai de prescription pour la prestation compensatoire du conjoint survivant, courant dès le décès (art. 2928 CCQ)\n1 an : délai de prescription pour l'action en diffamation / atteinte à la réputation, courant à partir de la connaissance (art. 2929 CCQ)\nSignification juridique : les délais d'un an sont des prescriptions courtes exigeant une réaction rapide ; le délai de 3 ans est la règle résiduelle la plus fréquente en matière contractuelle et délictuelle ; le délai de 10 ans est supplétif et rarement applicable en pratique courante.	claude
10	Avenant à un bail commercial — article 7 : « Le loyer de base est fixé à 3 800 $/mois pour les 24 premiers mois, puis indexé annuellement à 2,5 %. Le locataire verse un dépôt de garantie équivalant à 2 mois de loyer (7 600 $) à la signature. Le bailleur peut résilier le bail avec un préavis de 6 mois ; le locataire peut résilier avec un préavis de 3 mois moyennant une pénalité égale à 15 % du loyer restant à courir. L'option de renouvellement de 5 ans doit être exercée au moins 120 jours avant l'expiration. »	3 800 $/mois : loyer de base pour les 24 premiers mois\n24 mois : durée initiale au loyer fixe avant indexation\n2,5 % : taux d'indexation annuelle du loyer après les 24 premiers mois\n7 600 $ (2 mois de loyer) : dépôt de garantie exigible à la signature\n6 mois : préavis de résiliation du bailleur\n3 mois + 15 % du loyer restant : préavis et pénalité de résiliation anticipée par le locataire\n5 ans : durée de l'option de renouvellement\n120 jours : délai minimal pour exercer l'option de renouvellement\nSignification juridique : la pénalité de 15 % sur le loyer restant constitue une clause pénale (art. 1622 CCQ) pouvant être réduite par le tribunal si jugée abusive au moment de son application (art. 1623 CCQ).	claude
