index	text	answer	source_model
1	Pendant la durée du présent accord et pour une période de vingt-quatre (24) mois à compter de sa résiliation, chacune des parties s'interdit de recruter, d'embaucher ou de solliciter directement ou indirectement les employés de l'autre partie qui ont participé à l'exécution du présent accord.	Oui	claude
2	Le Client s'engage à ne pas approcher, recruter ou engager, directement ou indirectement, les ressources humaines du Prestataire qui lui ont été assignées dans le cadre du présent mandat, pendant la durée du contrat et pour une période de dix-huit (18) mois après son expiration.	Oui	claude
3	Les parties conviennent qu'aucune d'entre elles ne pourra, pendant la durée de la présente collaboration et pendant douze (12) mois suivant sa fin, solliciter à des fins d'emploi les employés ou consultants de l'autre partie avec qui elles ont eu des contacts dans le cadre de la collaboration.	Oui	claude
4	L'Acheteur reconnaît la valeur stratégique du capital humain du Vendeur et s'engage à ne pas recruter les employés clés identifiés à l'Annexe RH pendant la période de transition de vingt-quatre (24) mois suivant la clôture de la transaction.	Oui	claude
5	Afin de protéger les investissements consentis en matière de ressources humaines, chaque partie s'interdit formellement de soumettre des offres d'emploi ou de mandats de consultation aux employés ou consultants de l'autre partie identifiés à l'Annexe Personnel, pendant toute la durée du contrat et pour dix-huit (18) mois après sa cessation.	Oui	claude
6	Le Prestataire s'engage à ne pas divulguer à ses sous-traitants ou partenaires des informations confidentielles sur les employés du Client dont il prendrait connaissance dans le cadre du présent accord.	Non	claude
7	Les parties conviennent de ne pas créer de conflits d'intérêts avec leurs propres clients respectifs dans le cadre de leur collaboration et de divulguer promptement tout conflit potentiel.	Non	claude
8	Pendant la durée du présent accord, aucune des parties ne peut s'engager dans des activités commerciales en compétition directe avec l'activité principale de l'autre partie dans le territoire ciblé.	Non	claude
9	Le Sous-traitant s'engage à ne pas communiquer directement avec les clients finaux du Donneur d'ordre sans autorisation préalable et écrite de ce dernier.	Non	claude
10	Toute sollicitation ou approche des actionnaires minoritaires du Partenaire à des fins d'achat d'actions ou de restructuration capitalistique est interdite sans l'accord préalable du conseil d'administration.	Non	claude
