index	text	answer	source_model
1	Le Concédant déposera le code source complet du Logiciel, incluant les fichiers de compilation, la documentation technique et les procédures d'installation, auprès du séquestre désigné (Iron Mountain Canada), dans les trente (30) jours suivant la date d'entrée en vigueur du présent accord.	Oui	claude
2	Afin de protéger les intérêts du Licencié en cas de cessation d'activité du Concédant, les parties conviennent de conclure un accord de séquestre de code source avec un tiers indépendant. Le code déposé sera mis à jour trimestriellement et sera libéré au Licencié si les conditions de libération définies à l'Annexe E se réalisent.	Oui	claude
3	Le Code source sera déposé en séquestre et pourra être libéré au Client dans les cas suivants : (i) faillite ou insolvabilité du Prestataire; (ii) cessation de la maintenance du Logiciel pendant plus de quatre-vingt-dix (90) jours consécutifs; ou (iii) fermeture des opérations du Prestataire.	Oui	claude
4	Le Fournisseur s'engage à déposer le code source, les bibliothèques, les scripts de déploiement et la documentation d'architecture du Système en séquestre auprès de NCC Group, et à maintenir ce dépôt à jour à chaque version majeure du Système.	Oui	claude
5	Un accord de séquestre tripartite entre le Concédant, le Licencié et un agent de séquestre agréé encadrera le dépôt et la libération du code source. Le code sera libéré si le Concédant ne maintient plus le Logiciel conformément aux engagements de niveau de service (SLA) pendant une période de cent quatre-vingt (180) jours.	Oui	claude
6	Le Prestataire s'engage à maintenir une sauvegarde complète et chiffrée de toutes les données du Client sur des serveurs situés en territoire canadien, conformément à la Loi 25 du Québec.	Non	claude
7	Le Licencié devra faire approuver toute modification ou adaptation du Logiciel par le Concédant avant déploiement en production. Les modifications non approuvées entraîneront la résiliation automatique de la licence.	Non	claude
8	Le Concédant s'engage à fournir une garantie de fonctionnement du Logiciel pour une période de quatre-vingt-dix (90) jours à compter de la date de livraison et à corriger gratuitement tout défaut signalé pendant cette période.	Non	claude
9	Toute documentation technique relative au Logiciel, y compris les manuels d'utilisation et les guides d'administration, est la propriété exclusive du Concédant et ne peut être reproduite sans son autorisation.	Non	claude
10	Le Licencié s'engage à notifier immédiatement le Concédant de toute faille de sécurité découverte dans le Logiciel et à s'abstenir de divulguer publiquement l'information pendant une période de nonante (90) jours permettant au Concédant de développer et déployer un correctif.	Non	claude
