index	text	answer	source_model
1	Nonobstant tout plafond de responsabilité prévu aux présentes, la responsabilité du Prestataire sera illimitée en cas de fraude, de faute intentionnelle, de négligence grave ou de violation des obligations de confidentialité. Dans ces cas, la partie lésée pourra réclamer la totalité de ses dommages réels.	Oui	claude
2	Les limites de responsabilité prévues à l'article 12 ne s'appliquent pas aux réclamations découlant de la violation des droits de propriété intellectuelle du Client. Dans ce cas, la responsabilité du Prestataire est illimitée et la partie lésée peut réclamer l'intégralité de ses pertes.	Oui	claude
3	En matière de violation des obligations de confidentialité et de protection des données personnelles, la responsabilité des parties n'est soumise à aucun plafond et chaque partie répondra de la totalité des dommages causés, y compris les amendes réglementaires.	Oui	claude
4	La responsabilité des parties pour décès ou lésions corporelles causés par leur faute ou leur négligence n'est soumise à aucun plafond contractuel. Cette responsabilité illimitée constitue un droit d'ordre public auquel les parties ne peuvent déroger.	Oui	claude
5	Les plafonds de responsabilité stipulés au présent accord ne s'appliquent pas aux obligations d'indemnisation résultant d'une violation des droits de tiers (propriété intellectuelle, vie privée, diffamation), pour lesquelles la responsabilité demeure illimitée.	Oui	claude
6	La responsabilité totale du Prestataire au titre du présent accord est plafonnée au montant total des honoraires payés au cours des six (6) mois précédant l'événement générateur de responsabilité, quel que soit le fondement de la réclamation.	Non	claude
7	Aucune des parties ne peut être tenue responsable des dommages indirects, spéciaux, accessoires ou punitifs, y compris les pertes de profits ou de revenus, même si cette partie a été informée de la possibilité de tels dommages.	Non	claude
8	La responsabilité maximale du Fournisseur pour toute réclamation découlant du présent accord est expressément limitée à deux cent cinquante mille dollars canadiens (250 000 $ CAD), toutes réclamations confondues sur une période annuelle.	Non	claude
9	Chaque partie s'engage à prendre des mesures raisonnables pour minimiser ses dommages suite à tout manquement de l'autre partie. L'absence de mitigation pourra réduire le montant des dommages-intérêts auxquels la partie lésée aura droit.	Non	claude
10	La responsabilité du Prestataire pour les retards de livraison est limitée à un crédit de service représentant dix pour cent (10 %) des honoraires mensuels par jour de retard, jusqu'à concurrence de trente pour cent (30 %) du total mensuel.	Non	claude
