index	text	answer	source_model
1	Le Distributeur s'engage à acheter auprès du Fournisseur une quantité minimale de cinq cent mille (500 000) unités de Produits par année fiscale. Si le Distributeur n'atteint pas cet engagement minimal, le Fournisseur pourra convertir l'exclusivité en licence non exclusive pour la période suivante.	Oui	claude
2	En contrepartie de l'exclusivité territoriale accordée, l'Acheteur s'engage à passer des commandes pour un montant minimal de deux cent cinquante mille dollars (250 000 $) par trimestre pendant toute la durée de l'accord. Les commandes inférieures à ce seuil seront compensées par un paiement de la différence.	Oui	claude
3	Le Licencié s'engage à commercialiser activement les Produits sur son territoire et à réaliser un chiffre d'affaires minimal de cinq cent mille dollars (500 000 $) pour l'exercice financier 2025. Le non-respect de cet objectif constitue un manquement matériel pouvant entraîner la résiliation de l'exclusivité.	Oui	claude
4	L'Opérateur s'engage à louer au minimum vingt (20) unités des Équipements pendant chaque période de douze (12) mois. Pour chaque unité manquante par rapport à cet engagement, l'Opérateur paiera une redevance mensuelle forfaitaire de deux cents dollars (200 $) par unité.	Oui	claude
5	Le Client s'engage à acquérir des licences d'utilisation pour au moins cent (100) utilisateurs actifs par an pendant toute la durée du présent accord. En dessous de ce seuil, la structure tarifaire par tranche devient inapplicable et le tarif unitaire de base s'appliquera.	Oui	claude
6	Le Prestataire s'engage à maintenir un niveau de service (SLA) garantissant une disponibilité minimale de la plateforme de 99,9 % par mois, calculé sur une base mensuelle glissante. Les interruptions de service inférieures à cinq (5) minutes ne comptent pas dans le calcul.	Non	claude
7	Le Fournisseur livre les marchandises DDP (Delivery Duty Paid — Incoterms 2020) à l'adresse de livraison indiquée par le Client. Le risque de perte ou de dommage est transféré au Client dès la livraison à l'adresse désignée.	Non	claude
8	Le Client s'engage à désigner au minimum trois (3) représentants internes chargés de la coordination avec le Prestataire et à les maintenir en poste ou à former leurs remplaçants dans les dix (10) jours suivant tout changement.	Non	claude
9	Le paiement est exigible dans les trente (30) jours suivant la réception de la facture. Le Fournisseur se réserve le droit de suspendre les livraisons si le compte du Client affiche un arriéré de plus de deux (2) factures impayées.	Non	claude
10	Les modifications à la portée des services doivent être documentées par un avenant écrit signé par les deux parties avant d'être mises en œuvre. Les modifications verbales ne sont pas opposables.	Non	claude
