index	text	answer	source_model
1	Politique : « Nous conservons vos renseignements personnels pendant cinq (5) ans suivant la fin de notre relation commerciale. À l'expiration de ce délai, vos données sont supprimées ou anonymisées de manière sécuritaire. » — Question : Combien de temps après la clôture de son compte un utilisateur peut-il s'attendre à ce que ses données soient conservées ?	Selon cette politique, les données de l'utilisateur seront conservées pendant cinq ans suivant la fin de la relation commerciale (c'est-à-dire la clôture du compte). Après ce délai, elles seront supprimées ou anonymisées.	claude
2	Politique : « Nous partageons vos données avec les catégories de tiers suivantes : (a) prestataires de services d'hébergement infonuagique ; (b) agences d'analyse de données ; (c) partenaires publicitaires avec lesquels vous avez consenti au partage. » — Question : L'organisation partage-t-elle des données avec des partenaires publicitaires sans consentement ?	Non. Selon la politique, le partage avec des partenaires publicitaires est conditionnel à votre consentement préalable. Seul le partage avec les prestataires d'hébergement et les agences d'analyse s'effectue sans exiger un consentement distinct, car ces prestataires agissent à titre de sous-traitants dans le cadre de la relation commerciale principale.	claude
3	Politique : « Vous pouvez exercer vos droits d'accès et de rectification en soumettant une demande écrite à notre responsable de la protection des renseignements personnels à l'adresse suivante : [courriel]. Nous répondrons dans un délai de trente (30) jours. » — Question : Dans quel délai l'organisation doit-elle répondre à une demande d'accès ?	L'organisation s'engage à répondre dans un délai de trente (30) jours suivant la réception de la demande écrite. Ce délai est conforme au délai légal prévu par la Loi 25 (RLRQ c P-39.1) qui impose une réponse dans les trente jours calendaires.	claude
4	Politique : « Nos services sont destinés aux personnes âgées de 16 ans et plus. Nous ne collectons pas sciemment de renseignements auprès de personnes de moins de 16 ans. » — Question : Un enfant de 14 ans peut-il créer un compte sur cette plateforme selon cette politique ?	Non. La politique fixe explicitement l'âge minimal d'utilisation à 16 ans. Un enfant de 14 ans n'est pas autorisé à créer un compte, et si l'organisation découvre que des données ont été collectées auprès d'un mineur de moins de 16 ans, elle indique qu'elle procédera à leur suppression.	claude
5	Politique : « En cas d'incident de confidentialité présentant un risque de préjudice sérieux, nous aviserons la Commission d'accès à l'information du Québec et les personnes concernées dans les délais requis par la Loi 25. » — Question : L'organisation est-elle obligée de vous aviser de toutes les violations de données vous concernant ?	Non, seulement celles présentant un risque de préjudice sérieux. Selon cette politique (conforme à l'art. 3.5 de la Loi 25), seuls les incidents présentant un risque de préjudice sérieux pour les personnes concernées doivent faire l'objet d'une notification individuelle. Les incidents de moindre gravité font l'objet d'un rapport à la CAI mais pas nécessairement d'une notification aux individus affectés.	claude
6	Politique : « Nous utilisons des témoins de connexion analytiques (Google Analytics) pour mesurer le trafic sur notre site. Vous pouvez refuser ces témoins via notre outil de gestion des préférences. » — Question : Si un utilisateur refuse les témoins analytiques, l'organisation peut-elle quand même suivre sa navigation ?	Selon cette politique, le refus des témoins analytiques devrait empêcher Google Analytics de suivre la navigation de l'utilisateur. Cependant, la politique ne précise pas si d'autres méthodes de suivi (comme le fingerprinting ou les témoins de première partie) sont utilisées. L'utilisateur devrait vérifier si la politique couvre l'ensemble des technologies de suivi ou uniquement les témoins analytiques tiers.	claude
7	Politique : « Nous ne vendons pas vos renseignements personnels à des tiers. » — Question : Cela signifie-t-il que l'organisation ne partage jamais vos données ?	Non. La politique indique seulement que vos données ne sont pas vendues (c'est-à-dire cédées contre rémunération). Elle ne dit pas que les données ne sont jamais partagées. L'organisation peut partager vos données avec des sous-traitants, des partenaires ou dans d'autres circonstances (obligations légales, etc.) sans que cela constitue une "vente". Il faudrait lire la politique dans son ensemble pour connaître les circonstances de partage autorisées.	claude
8	Politique : « Nous pouvons mettre à jour cette politique à tout moment. En cas de modification importante, nous vous informerons par courriel avec un préavis de trente (30) jours. » — Question : L'organisation est-elle obligée d'obtenir votre consentement pour les modifications importantes ?	La politique prévoit un préavis de trente (30) jours pour les modifications importantes, mais ne mentionne pas explicitement l'obligation d'obtenir un consentement. En vertu de la Loi 25, si les modifications impliquent de nouvelles finalités de traitement nécessitant votre consentement, l'organisation devrait l'obtenir avant de procéder. La simple notification sans demande de consentement n'est pas suffisante lorsque la loi exige un consentement pour la nouvelle finalité.	claude
9	Politique : « Vos données sont hébergées sur des serveurs situés au Canada. » — Question : L'organisation garantit-elle que vos données ne quitteront jamais le Canada ?	Pas nécessairement. La politique indique que les serveurs d'hébergement principal sont au Canada, mais elle ne précise pas ce qui advient lorsque des sous-traitants ou partenaires accèdent aux données depuis d'autres pays. Il est possible que des employés ou systèmes à l'étranger puissent accéder aux données même hébergées au Canada. Pour une garantie complète, il faudrait une clause explicite d'interdiction de tout accès ou transfert hors du Canada.	claude
10	Politique : « Vous pouvez demander la suppression de vos données en nous contactant. Nous procéderons à la suppression dans les trente (30) jours, sous réserve de nos obligations légales de conservation. » — Question : L'organisation est-elle tenue de supprimer toutes les données si vous en faites la demande ?	Non, pas nécessairement toutes les données. L'organisation peut conserver les données nécessaires pour respecter ses obligations légales (ex. : données comptables, obligations fiscales de sept ans selon la Loi sur la gestion financière) même après votre demande de suppression. La politique prévoit cette exception explicitement. Seules les données non soumises à une obligation légale de conservation seront supprimées dans les trente jours.	claude
