index	text	answer	source_model
1	Terme : "tutelle" — Contexte : utilisé à l'art. 177 CCQ pour désigner la charge confiée à une personne d'assurer la protection d'un mineur ou d'un majeur inapte et d'administrer ses biens.	Statutaire	claude
2	Terme : "bonne foi" — Contexte : art. 1375 CCQ, qui dispose que les parties à un contrat doivent se conduire de bonne foi tant lors de sa conclusion que lors de son exécution.	Statutaire	claude
3	Terme : "atteinte à la vie privée" — Contexte : dégagé par la Cour suprême dans Aubry c Éditions Vice-Versa Inc 1998 CanLII 786 (CSC) pour désigner toute utilisation non consentie de l'image d'autrui portant atteinte à sa dignité ou à sa réputation.	Jurisprudentielle	claude
4	Terme : "préjudice corporel grave" — Contexte : défini par la Cour d'appel du Québec dans plusieurs arrêts de responsabilité civile comme désignant un préjudice ayant des conséquences permanentes ou durables sur l'intégrité physique de la victime.	Jurisprudentielle	claude
5	Terme : "théorie de l'imprévision" — Contexte : utilisé dans un article de doctrine de Pierre-Gabriel Jobin pour désigner la possibilité, discutée mais non consacrée en droit québécois, pour une partie d'obtenir la révision judiciaire d'un contrat lorsque des circonstances imprévisibles en bouleversent l'économie.	Doctrinale	claude
6	Terme : "obligation de moyens renforcée" — Contexte : concept utilisé par la professeure Brigitte Lefebvre dans un traité de droit des obligations pour décrire une forme intermédiaire entre l'obligation de moyens et l'obligation de résultat applicable en matière de responsabilité médicale.	Doctrinale	claude
7	Terme : "force majeure" — Contexte : défini à la clause 12.1 d'un contrat de services technologiques comme "tout événement imprévisible, irrésistible et extérieur à la volonté des parties qui rend impossible l'exécution de l'une ou l'autre des obligations contractuelles".	Contractuelle	claude
8	Terme : "date de clôture" — Contexte : défini à l'article 1 d'une convention d'achat d'actions comme "la date à laquelle la réalisation définitive de la transaction doit survenir, telle qu'établie à l'annexe B des présentes".	Contractuelle	claude
9	Terme : "résident permanent" — Contexte : défini à l'art. 2 de la Loi sur l'immigration et la protection des réfugiés, LC 2001 c 27, comme "la personne qui a acquis le statut de résident permanent".	Statutaire	claude
10	Terme : "solidarité parfaite" — Contexte : développé par des auteurs de doctrine civiliste pour désigner une forme de solidarité passive où chaque codébiteur est tenu pour le tout avec un recours en contribution complet entre codébiteurs, par opposition à la solidarité imparfaite née de la loi.	Doctrinale	claude
