index	text	answer	source_model
1	Un propriétaire d'immeuble refuse de louer un appartement à un couple en raison de leur origine ethnique. L'un des membres du couple est d'origine haïtienne. Le propriétaire leur dit explicitement qu'il ne loue pas aux "gens comme eux".	Oui	claude
2	Une entreprise congédie une employée enceinte trois jours après avoir appris sa grossesse. L'employeur invoque des "raisons économiques" mais n'a congédié aucun autre employé et a affiché un nouveau poste similaire une semaine plus tard.	Oui	claude
3	Un enseignant sikh demande à son employeur scolaire la permission de porter le kirpan (poignard rituel sikh) en classe, comme l'exige sa foi. L'employeur refuse catégoriquement sans évaluer de mesures d'accommodement.	Oui	claude
4	Un journaliste est contraint par une ordonnance judiciaire de révéler ses sources confidentielles dans une affaire criminelle, sans qu'aucune analyse proportionnelle n'ait été effectuée entre le secret de ses sources et les besoins de la justice.	Oui	claude
5	Des manifestants anti-gouvernementaux sont dispersés par la police en vertu d'un règlement municipal qui interdit tout rassemblement de plus de cinq personnes dans un espace public sans permis, applicable en tout temps et sans distinction.	Oui	claude
6	Un employeur impose une règle exigeant que tous les employés portent un uniforme standardisé pendant leurs heures de travail pour des raisons d'image professionnelle. La règle s'applique uniformément à tous sans distinction.	Non	claude
7	Un tribunal condamne un individu à une peine d'emprisonnement de six mois pour conduite en état d'ivresse ayant causé un accident avec blessures, après un procès équitable avec représentation légale. La peine est dans les limites prévues par la loi.	Non	claude
8	Une université exige que tous ses étudiants en médecine complètent un stage en milieu rural pour obtenir leur diplôme, dans l'objectif de remédier à la pénurie de médecins en région. La règle s'applique uniformément à tous les étudiants du programme.	Non	claude
9	Un locataire ne paie pas son loyer pendant trois mois. Le propriétaire obtient une ordonnance d'expulsion après une procédure régulière devant le Tribunal administratif du logement. Le locataire doit quitter les lieux dans le délai imparti par le tribunal.	Non	claude
10	Une entreprise ferme une de ses succursales pour des motifs économiques légitimes documentés, entraînant la mise à pied de vingt employés. Les employés reçoivent les indemnités légalement requises selon les normes du travail.	Non	claude
