index	text	answer	source_model
1	Les données présentées dans la présente déclaration ont fait l'objet d'une vérification indépendante par Deloitte s.e.n.c.r.l. selon la norme ISAE 3000 (niveau d'assurance limité). Le périmètre de vérification couvre les indicateurs relatifs au nombre de fournisseurs évalués, au nombre d'employés formés et à la couverture géographique de notre programme d'audit. La lettre de vérification est disponible en annexe.	Oui	claude
2	En 2023, nous avons mandaté PricewaterhouseCoopers pour vérifier l'exactitude et l'exhaustivité de notre déclaration sur la chaîne d'approvisionnement conformément aux exigences de la Loi S-211. La vérification a été réalisée selon les normes d'assurance canadiennes CPA Canada et portait sur quatre-vingt pour cent (80 %) des données quantitatives publiées dans la présente déclaration.	Oui	claude
3	Notre déclaration 2023 a fait l'objet d'une vérification par des pairs réalisée par trois membres de notre consortium sectoriel de durabilité, selon un protocole validé par un organisme de normalisation indépendant. Cette vérification croisée a confirmé l'exactitude de nos données de formation et d'audit. Le rapport de vérification des pairs est disponible sur demande.	Oui	claude
4	Nous avons soumis les données clés de notre déclaration à une vérification indépendante par SGS du Canada Inc. La vérification, menée entre février et mars 2024, a inclus des entretiens avec les parties prenantes internes, une revue documentaire et une visite sur site à notre siège social. Le vérificateur a conclu que les données présentées sont exactes et complètes dans le périmètre de vérification défini.	Oui	claude
5	Notre rapport sur les chaînes d'approvisionnement 2023 a été vérifié par un tiers accrédité selon la norme de vérification AA1000AS (AccountAbility). Le périmètre de vérification couvre l'exhaustivité, la matérialité et la réactivité de nos déclarations relatives au travail forcé et au travail des enfants. La conclusion de vérification est disponible à la section 5 du présent rapport.	Oui	claude
6	Nous nous engageons à améliorer continuellement nos pratiques d'approvisionnement responsable. En 2024, nous avons l'intention d'étendre notre programme de diligence raisonnable aux fournisseurs de second rang dans les secteurs à risque élevé et de développer de nouveaux outils de suivi de la conformité dans notre chaîne d'approvisionnement mondiale.	Non	claude
7	En 2023, nous avons formé deux cent vingt-six (226) employés dans les fonctions touchant la chaîne d'approvisionnement. La formation obligatoire couvrait la Loi S-211, les indicateurs de travail forcé et les procédures de signalement. Le taux de complétion global s'établit à quatre-vingt-dix pour cent (90 %), avec un objectif de cent pour cent (100 %) pour l'exercice 2024.	Non	claude
8	Notre programme d'audit 2023 a permis d'évaluer soixante-douze (72) fournisseurs dans sept pays. Parmi les audits réalisés, quarante-trois pour cent (43 %) étaient non annoncés. Le taux de non-conformité majeure s'établit à neuf pour cent (9 %), soit une amélioration de trois points par rapport à 2022. Des plans d'action correctifs ont été émis pour tous les fournisseurs non conformes.	Non	claude
9	Notre Code de conduite des fournisseurs, disponible en dix langues sur notre portail fournisseurs, a été signé par quatre-vingt-quatorze pour cent (94 %) de nos fournisseurs de premier rang au 31 décembre 2023. Les six pour cent (6 %) restants étaient en cours de processus de signature ou faisaient l'objet de discussions sur certaines clauses spécifiques. Les fournisseurs non signataires ne peuvent accéder à de nouveaux marchés jusqu'à la signature du code.	Non	claude
10	Nous exigeons de nos fournisseurs stratégiques qu'ils détiennent une certification reconnue en matière de responsabilité sociale, telle que SA8000, BSCI ou une équivalente sectorielle. Au 31 décembre 2023, soixante-et-onze pour cent (71 %) de nos fournisseurs de premier rang détenaient une telle certification, contre cinquante-neuf pour cent (59 %) en 2022.	Non	claude
