index	text	answer	source_model
1	Vous disposez d'un droit d'opposition à l'utilisation de vos renseignements personnels à des fins commerciales. Vous pouvez également retirer à tout moment votre consentement à la réception de communications marketing en cliquant sur le lien de désabonnement figurant dans nos courriels ou en ajustant vos préférences dans votre profil en ligne. Ce retrait n'affecte pas la licéité du traitement effectué avant celui-ci.	Oui	claude
2	Nous vous offrons plusieurs mécanismes pour contrôler l'utilisation de vos renseignements personnels : (i) un tableau de bord de gestion des préférences pour vos choix en matière de communications ; (ii) un outil de gestion des témoins de connexion ; (iii) un formulaire de demande de suppression de compte. Ces outils sont accessibles dans la section "Confidentialité" de votre espace personnel.	Oui	claude
3	Vous pouvez à tout moment vous opposer à ce que vos renseignements personnels soient utilisés pour de la publicité ciblée. Il vous suffit de modifier vos paramètres de confidentialité dans votre compte ou d'utiliser le lien d'opt-out fourni dans nos communications. Si vous vous désabonnez de la publicité ciblée, vous continuerez à recevoir de la publicité générique non personnalisée.	Oui	claude
4	Nous vous permettons de gérer granulalement vos préférences de collecte de données : vous pouvez accepter ou refuser les témoins analytiques, les témoins publicitaires et le partage de vos données avec des tiers partenaires. Vos choix sont enregistrés dans notre système de gestion des consentements et peuvent être modifiés à tout moment depuis notre centre de préférences accessible sans connexion.	Oui	claude
5	Si vous ne souhaitez pas que vos données de navigation soient utilisées pour personnaliser votre expérience ou pour des fins publicitaires, vous pouvez le signifier en utilisant notre outil de préférences de confidentialité disponible en bas de chaque page. Votre choix sera respecté pour une durée d'un an, après quoi nous vous demanderons de confirmer vos préférences.	Oui	claude
6	Vos renseignements personnels sont hébergés sur des serveurs sécurisés situés au Québec et en Ontario. Nous avons conclu des ententes avec nos prestataires d'hébergement infonuagique pour s'assurer que vos données demeurent en territoire canadien et sont protégées conformément aux lois provinciales et fédérales applicables.	Non	claude
7	Nous collectons les renseignements personnels suivants à votre sujet lors de votre inscription : votre nom d'utilisateur, votre adresse courriel, la date et l'heure de votre inscription et votre adresse IP. Ces informations sont utilisées pour créer et gérer votre compte, prévenir les fraudes et respecter nos obligations légales.	Non	claude
8	En cas d'incident de sécurité impliquant vos renseignements personnels et présentant un risque de préjudice sérieux, nous vous en informerons sans délai déraisonnable et prendrons toutes les mesures nécessaires pour limiter les conséquences de l'incident. Nous documenterons chaque incident dans notre registre interne conformément aux exigences de la Loi 25.	Non	claude
9	Les renseignements personnels que vous nous communiquez lors de l'utilisation de notre service sont conservés dans notre base de données sécurisée pendant cinq (5) ans à compter de votre dernière transaction. À l'expiration de ce délai, vos données sont supprimées ou anonymisées selon les procédures validées par notre comité de gouvernance.	Non	claude
10	Notre site est ouvert aux utilisateurs de toutes nationalités, mais les services payants ne sont disponibles qu'aux résidents canadiens. Si vous accédez à notre site depuis l'extérieur du Canada, vous êtes responsable du respect des lois locales applicables à votre utilisation de nos services.	Non	claude
