index	text	answer	source_model
1	Clause : « La présente entreprise se réserve le droit de modifier unilatéralement les présentes conditions d'utilisation à tout moment, sans préavis, et l'utilisation continue du service après toute modification constitue l'acceptation des nouvelles conditions, même si l'utilisateur n'en a pas été informé. » — Service : plateforme de gestion financière personnelle pour consommateurs québécois.	Abusive/illégale	claude
2	Clause : « L'utilisateur renonce irrévocablement à tout recours judiciaire ou quasi judiciaire pour tout litige découlant de l'utilisation du service et accepte que tout différend soit résolu exclusivement par une médiation privée dans la juridiction du siège social de l'entreprise (Delaware, États-Unis), à ses propres frais. » — Service : abonnement à un service de streaming musical vendu au Québec.	Abusive/illégale	claude
3	Clause : « L'entreprise exclut toute responsabilité pour les dommages directs, indirects, accessoires ou consécutifs résultant de l'utilisation ou de l'impossibilité d'utiliser le service, y compris la perte de données personnelles ou financières, même si l'entreprise a été avisée de la possibilité de tels dommages. » — Service : logiciel de comptabilité pour petites entreprises.	Abusive/illégale	claude
4	Clause : « En utilisant notre application, vous consentez à ce que nous collections et vendions vos données de navigation, vos achats et votre historique de localisation à des partenaires publicitaires sans restriction, même après la clôture de votre compte. » — Service : application mobile de bien-être vendue aux consommateurs.	Abusive/illégale	claude
5	Clause : « L'utilisateur accepte que l'entreprise puisse suspendre ou résilier son compte et supprimer l'ensemble de ses données sans préavis ni explication, sans obligation de rembourser la portion inutilisée de l'abonnement payé à l'avance. » — Service : abonnement annuel à une plateforme d'apprentissage en ligne.	Abusive/illégale	claude
6	Clause : « L'accès au service peut être interrompu pour maintenance planifiée. Nous nous efforcerons de vous en informer par courriel avec un préavis de quarante-huit (48) heures lorsque la maintenance est prévisible. Des interruptions non planifiées peuvent survenir et feront l'objet d'une communication dans les meilleurs délais. » — Service : plateforme SaaS pour entreprises.	Acceptable	claude
7	Clause : « Le présent contrat est régi par les lois de la province de Québec et les tribunaux du district judiciaire de Montréal sont seuls compétents pour tout litige. L'utilisateur accepte la compétence de ces tribunaux. » — Service : abonnement numérique pour utilisateurs québécois.	Acceptable	claude
8	Clause : « Pour les achats numériques, le remboursement est disponible dans les quatorze (14) jours suivant l'achat si le contenu numérique n'a pas encore été téléchargé ou utilisé. En cas de contenu déjà utilisé, un crédit équivalent au montant payé peut être accordé à la discrétion du service client. » — Service : librairie numérique en ligne.	Problématique	claude
9	Clause : « En cas de litige d'une valeur inférieure à 500 $, les parties s'engagent à tenter d'abord une résolution à l'amiable pendant trente (30) jours avant d'initier toute procédure. Ce délai ne s'applique pas aux demandes urgentes d'injonction. » — Service : application de commerce électronique.	Acceptable	claude
10	Clause : « L'entreprise se réserve le droit de communiquer vos renseignements personnels à des tiers partenaires aux fins de promotion et de marketing direct, à moins que vous n'indiquiez votre opposition via le lien de désinscription disponible dans les paramètres de votre compte, option qui peut prendre jusqu'à 90 jours pour prendre effet. » — Service : plateforme de commerce en ligne destinée aux consommateurs québécois.	Problématique	claude
