index	text	answer	source_model
1	Clause : « Le présent accord ne confère au Bénéficiaire aucun droit de licence, de propriété ou autre droit sur les informations confidentielles, les brevets, marques ou autres droits de propriété intellectuelle du Divulgateur. » — Affirmation : Le Bénéficiaire ne peut pas utiliser les brevets du Divulgateur après cet accord.	Vrai	claude
2	Clause : « Aucune disposition du présent accord ne doit être interprétée comme octroyant au Bénéficiaire un droit de licence exprès ou implicite sur les informations confidentielles ou sur tout droit de propriété intellectuelle connexe. » — Affirmation : La divulgation d'informations confidentielles n'emporte pas de concession de licence implicite.	Vrai	claude
3	Clause : « La divulgation d'informations confidentielles aux termes du présent accord ne transfère aucun droit de propriété intellectuelle au Bénéficiaire. Toute la propriété intellectuelle reste la propriété exclusive du Divulgateur. » — Affirmation : Le Bénéficiaire ne peut pas exploiter commercialement les informations reçues sans accord supplémentaire.	Vrai	claude
4	Clause : « Aucune licence ou cession de droits de propriété intellectuelle n'est accordée ou implicite par le présent accord. Les informations sont partagées uniquement à des fins d'évaluation. » — Affirmation : Si le Bénéficiaire crée une invention basée sur les informations reçues, il ne peut pas la revendiquer.	Vrai	claude
5	Clause : « Le présent accord n'accorde aucun droit au Bénéficiaire d'utiliser ou d'exploiter la propriété intellectuelle du Divulgateur au-delà de ce qui est strictement nécessaire pour atteindre les objectifs d'évaluation définis. » — Affirmation : Le Bénéficiaire ne peut pas intégrer les informations reçues dans ses propres produits commerciaux.	Vrai	claude
6	Clause : « Le Bénéficiaire s'engage à ne pas divulguer les informations confidentielles à des tiers. » — Affirmation : Aucune licence sur les informations confidentielles n'est accordée par cet accord.	Faux	claude
7	Clause : « Les informations confidentielles partagées dans le cadre de cet accord peuvent être utilisées aux fins expressément mentionnées. » — Affirmation : La clause exclut explicitement tout octroi de droits de propriété intellectuelle.	Faux	claude
8	Clause : « Le Bénéficiaire doit retourner ou détruire toutes les informations confidentielles à la fin de l'accord. » — Affirmation : Le présent accord n'accorde pas de licence implicite sur les informations transmises.	Faux	claude
9	Clause : « Les informations confidentielles doivent être protégées avec le même soin que les informations propres du Bénéficiaire. » — Affirmation : La protection des informations exclut tout octroi de droits de licence au Bénéficiaire.	Faux	claude
10	Clause : « L'accord de confidentialité s'applique à toutes les informations partagées entre les parties dans le cadre de leurs discussions commerciales. » — Affirmation : La clause de confidentialité interdit implicitement au Bénéficiaire d'obtenir des licences sur les informations.	Faux	claude
