index	text	answer	source_model
1	Un consommateur québécois achète un produit défectueux d'un commerçant en ligne canadien. La défectuosité cause des dommages à sa propriété. La Loi sur la protection du consommateur, RLRQ c P-40.1, art. 271-272, prévoit explicitement que le consommateur peut exercer directement un recours contre le fabricant ou le commerçant.	Oui	claude
2	Une personne physique se prétend victime de pratiques commerciales déloyales de la part d'une entreprise qui a coordonné des prix avec ses concurrents. L'art. 36 de la Loi sur la concurrence, LRC 1985 c C-34, prévoit un droit d'action privé au profit des personnes ayant subi un préjudice résultant d'une violation des dispositions civiles de la Loi.	Oui	claude
3	Un individu dont les renseignements personnels ont été utilisés sans son consentement par une entreprise privée souhaite poursuivre l'entreprise en dommages-intérêts. La Loi 25 (Loi modernisant des dispositions législatives en matière de protection des renseignements personnels) prévoit un droit d'action privé pour les violations portant préjudice aux personnes concernées.	Oui	claude
4	Un détaillant a vendu à crédit à un consommateur à un taux d'intérêt excédant le taux maximum autorisé. La LPC, art. 315 et suiv., prévoit un recours judiciaire pour le consommateur visant à faire réduire les obligations résultant d'un contrat lésionnaire ou abusif.	Oui	claude
5	Un travailleur victime de discrimination fondée sur le sexe dans le cadre de son emploi souhaite obtenir réparation. La Charte des droits et libertés de la personne du Québec, RLRQ c C-12, art. 49, prévoit expressément un droit à la réparation du préjudice causé par une atteinte illicite à un droit protégé.	Oui	claude
6	Un concurrent d'une entreprise prétend avoir subi des pertes en raison de la publicité mensongère de l'entreprise. La Loi sur la concurrence interdit la publicité trompeuse, mais ses dispositions pénales ne prévoient pas explicitement de droit d'action civil entre concurrents pour publicité mensongère.	Non	claude
7	Un investisseur prétend avoir subi des pertes en raison d'un manquement d'un organisme de réglementation des valeurs mobilières à ses obligations de surveillance. La jurisprudence de la Cour suprême (Cooper c Hobart 2001 CSC 79) a généralement refusé de reconnaître un devoir de diligence des organismes de réglementation envers les investisseurs individuels.	Non	claude
8	Un sous-traitant prétend que l'entrepreneur général a violé les dispositions de la Loi sur les relations de travail, LRC 1985 c L-2 (Code canadien du travail), en s'ingérant dans les activités syndicales du sous-traitant. Cette loi ne prévoit pas de recours civil direct entre parties privées pour ce type de violation.	Non	claude
9	Un citoyen affirme qu'une entreprise privée a contrevenu à une directive administrative fédérale non incorporée dans une loi créant un recours civil. La directive prévoit seulement des mécanismes internes de surveillance et de rapport ministériel, sans droit explicite d'intenter une action privée en dommages-intérêts.	Non	claude
10	Un citoyen souhaite poursuivre une entreprise en vertu de la Loi sur les pêches, LRC 1985 c F-14, pour avoir pollué un cours d'eau. Cette loi, bien qu'interdisant la pollution, prévoit un régime de sanctions administratives et criminelles géré par le gouvernement, sans prévoir de droit d'action privé explicite au profit des citoyens.	Non	claude
