index	text	answer	source_model
1	Clause : « La partie défaillante devra payer à l'autre partie une pénalité de 15 000 $ pour chaque semaine de retard dans la livraison du logiciel, à titre de dommages-intérêts liquidés. » — Question : Cette clause pénale est-elle automatiquement exécutoire au Québec ?	En droit québécois, une clause pénale est valide (art. 1622 CCQ) mais peut être réduite par le tribunal si elle est abusive et si le créancier n'a subi qu'un préjudice moindre (art. 1623 CCQ). Elle n'est donc pas automatiquement exécutoire à hauteur du montant stipulé : le tribunal peut la réduire au montant du préjudice réel si la pénalité est manifestement disproportionnée.	claude
2	Clause : « Toute modification au présent contrat doit être constatée par écrit et signée par les représentants autorisés des deux parties. » — Question : Un échange de courriels entre les directeurs des deux entreprises suffit-il pour modifier le contrat ?	Cela dépend. Un échange de courriels peut constituer un accord écrit si les courriels émanent des représentants autorisés (art. 1386 et 2839 CCQ) et que leur contenu manifeste clairement une volonté de modifier le contrat. Cependant, si la clause exige une signature formelle, un simple courriel non signé électroniquement pourrait ne pas satisfaire cette exigence. La validité sera appréciée selon les circonstances et l'intention des parties (art. 1425 CCQ).	claude
3	Clause : « La responsabilité totale du fournisseur ne peut en aucun cas excéder le montant des honoraires versés au cours des six (6) derniers mois. » — Question : Cette clause de limitation de responsabilité est-elle valide dans un contrat B2B au Québec ?	En principe oui, entre deux entreprises commerciales. L'art. 1474 CCQ interdit les clauses excluant la responsabilité pour faute intentionnelle ou faute lourde, mais une limitation (non exclusion) pour dommages indirects ou en montant est généralement valide dans les contrats commerciaux entre parties de force comparable (art. 1437 CCQ s'applique surtout aux contrats d'adhésion). Le tribunal vérifiera si la clause est abusive dans le contexte contractuel global.	claude
4	Clause : « Le présent contrat est conclu pour une durée d'un an et se renouvelle automatiquement pour des périodes successives d'un an, sauf si l'une des parties donne un préavis de résiliation d'au moins quatre-vingt-dix (90) jours avant la date d'expiration. » — Question : Que se passe-t-il si une partie envoie l'avis de résiliation 60 jours avant l'expiration ?	L'avis est insuffisant selon les termes du contrat. Si l'avis est transmis avec seulement 60 jours de préavis, le contrat se renouvelle automatiquement pour une nouvelle période d'un an. La partie ayant omis de respecter le délai de 90 jours est liée pour la période de renouvellement. L'art. 1605 CCQ et les principes généraux d'exécution de bonne foi s'appliquent, mais le délai contractuel clair prime l'équité.	claude
5	Clause : « En cas de litige découlant du présent contrat, les parties conviennent de recourir à la médiation avant d'entamer toute procédure judiciaire. » — Question : Une partie peut-elle saisir directement les tribunaux sans passer par la médiation ?	Une clause de médiation préalable est valide et les parties sont tenues de l'exécuter de bonne foi (art. 1375 CCQ). Cependant, en droit québécois, les clauses privant les parties de l'accès aux tribunaux ne sont généralement pas interprétées comme une déchéance absolue du droit d'action. Si une partie refuse catégoriquement la médiation, l'autre peut saisir le tribunal, lequel peut toutefois suspendre l'instance pour permettre le processus de médiation (art. 622 CPC).	claude
6	Clause : « Les informations confidentielles comprennent tous les renseignements commerciaux, techniques et financiers divulgués par une partie à l'autre dans le cadre des présentes. » — Question : Cette définition couvre-t-elle les informations que l'une des parties connaissait déjà avant de signer le contrat ?	En principe non, sans clause contraire. La définition vise les informations "divulguées par une partie à l'autre dans le cadre des présentes", ce qui peut exclure les informations préexistantes connues de la partie récipiendaire. Une rédaction rigoureuse inclurait une exception explicite pour les informations préalablement connues ou indépendamment développées (art. 1425 CCQ pour l'interprétation selon l'intention des parties).	claude
7	Clause : « Le sous-traitant cède à l'entreprise tous les droits de propriété intellectuelle découlant des travaux effectués en vertu du présent contrat. » — Question : Cette cession inclut-elle les droits moraux sur l'œuvre au Québec ?	Non. La Loi sur le droit d'auteur fédérale (LRC 1985 c C-42) protège les droits moraux (art. 14.1) qui sont inaliénables et ne peuvent être cédés, uniquement renoncés. La clause peut donc céder valablement les droits patrimoniaux (reproduction, distribution, etc.) mais ne peut pas transférer les droits moraux du créateur (droit à l'intégrité, droit à la paternité). Pour limiter les effets des droits moraux, il faudrait une clause de renonciation distincte.	claude
8	Clause : « Le contrat est régi par les lois de la province de l'Ontario. » — Question : Les parties sont toutes deux des sociétés québécoises. Cette clause est-elle valide ?	En principe oui, dans les contrats commerciaux. Les art. 3111-3113 CCQ permettent aux parties à un contrat commercial de choisir le droit applicable, y compris celui d'une autre province. Cependant, si les dispositions impératives du droit québécois sont plus protectrices et que le choix de loi vise à les contourner de manière frauduleuse, les tribunaux québécois pourraient refuser d'appliquer le droit ontarien en invoquant les règles d'ordre public international (art. 3155 CCQ).	claude
9	Clause : « Les parties reconnaissent avoir lu et compris le présent contrat et renoncer à tout vice du consentement. » — Question : Cette clause peut-elle empêcher une partie d'invoquer le dol ou la lésion pour annuler le contrat ?	Non, cette clause est inopérante. La renonciation anticipée à un recours pour vice du consentement (dol, erreur, crainte, lésion) est nulle de plein droit (art. 1399, 1407 CCQ). Les vices du consentement sont des protections d'ordre public qui ne peuvent être contractuellement écartées à l'avance. Une telle clause peut toutefois avoir une valeur probatoire limitée pour démontrer que la partie était consciente de ce qu'elle signait.	claude
10	Clause : « La présente entente constitue l'intégralité de l'accord entre les parties et remplace toute entente, représentation ou négociation antérieure relative à son objet. » — Question : Cette clause d'intégration empêche-t-elle d'invoquer des représentations verbales faites avant la signature ?	Généralement oui, en droit commercial. La clause d'intégration (merger clause) a pour effet de limiter les obligations des parties à ce qui est expressément prévu au contrat et de rendre non pertinentes les négociations précontractuelles non reflétées dans le texte final (art. 2863 CCQ et 1425 CCQ). Toutefois, elle n'empêche pas d'invoquer un dol ou des manœuvres dolosives précontractuelles ayant vicié le consentement, lesquels relèvent de l'ordre public de protection.	claude
