index	text	answer	source_model
1	Nous recommandons le recours à une vérification indépendante tierce comme meilleure pratique pour valider les informations publiées dans les rapports sur les chaînes d'approvisionnement. Cette vérification assure la crédibilité des déclarations auprès des parties prenantes et contribue à l'amélioration continue des données collectées. Nous faisons appel à un cabinet d'experts-comptables accrédité pour vérifier l'exactitude de nos indicateurs clés.	Oui	claude
2	La vérification par des pairs sectoriels est une pratique émergente que nous considérons comme prometteuse pour renforcer la transparence dans les chaînes d'approvisionnement. Dans le cadre d'un consortium industriel, nous participons à des évaluations croisées où des représentants de membres du consortium évaluent mutuellement leurs pratiques, sous la coordination d'un observateur indépendant.	Oui	claude
3	Notre politique de vérification préconise une approche en deux niveaux : une vérification interne trimestrielle assurée par notre équipe d'audit interne, et une vérification externe annuelle confiée à un organisme tiers accrédité. Cette double vérification garantit à la fois la rigueur opérationnelle et la crédibilité publique de nos déclarations sur la chaîne d'approvisionnement.	Oui	claude
4	Nous considérons que la meilleure pratique de vérification est celle qui s'étend au-delà des documents et des registres pour inclure des visites sur site et des entretiens avec des travailleurs. Une vérification purement documentaire ne peut pas détecter les violations qui ne laissent pas de traces écrites. Nos lignes directrices internes exigent que tout programme de vérification de nos fournisseurs inclut au minimum vingt pour cent (20 %) de visites physiques.	Oui	claude
5	Pour garantir l'intégrité de nos informations sur la chaîne d'approvisionnement, nous recommandons que les vérificateurs soient mandatés et rémunérés par une entité distincte du service des achats, afin d'éviter tout conflit d'intérêts. Cette pratique de gouvernance de la vérification renforce l'objectivité des évaluations et la fiabilité des résultats publiés.	Oui	claude
6	En 2023, nous avons dispensé une formation complète sur la prévention du travail forcé à cent quatre-vingt-neuf (189) membres de nos équipes d'approvisionnement. La formation, d'une durée de six heures, comprend une composante théorique sur la Loi S-211 et une simulation pratique d'évaluation des risques fournisseurs dans des secteurs à risque élevé.	Non	claude
7	Notre structure de gouvernance prévoit qu'un comité d'éthique de niveau conseil d'administration supervise notre programme de lutte contre le travail forcé. Ce comité reçoit des rapports trimestriels du directeur de la durabilité et a l'autorité de recommander des actions correctives ou la rupture de relations commerciales avec des fournisseurs non conformes.	Non	claude
8	Nous exigeons de nos cent vingt (120) fournisseurs stratégiques qu'ils maintiennent une certification Sedex ou équivalente comme condition de leur statut de fournisseur approuvé. Le suivi du taux de certification est intégré à nos tableaux de bord de performance des achats et constitue un indicateur clé de performance pour nos directeurs régionaux.	Non	claude
9	En matière d'audit, nous avons adopté en 2023 la norme d'audit SMETA quatre piliers pour l'ensemble de notre programme d'audit fournisseurs. Cette norme, développée par Sedex, est reconnue dans l'industrie mondiale du commerce de détail comme une référence en matière d'audit social. Nos auditeurs sont certifiés par Sedex et formés annuellement sur les évolutions de la méthodologie.	Non	claude
10	Notre code de conduite des fournisseurs, révisé en 2023 pour intégrer les exigences spécifiques de la Loi S-211, est disponible sur notre portail fournisseurs dans les deux langues officielles. Il est signé électroniquement par le représentant autorisé de chaque fournisseur avant la première commande et renouvelé annuellement. Tout manquement constaté donne lieu à une procédure de redressement formelle.	Non	claude
