index	text	answer	source_model
1	Scénario : Hind est consultante autonome en technologie de l'information. Elle consacre une pièce de son appartement exclusivement à son bureau à domicile, représentant 15 % de la superficie totale de son logement. Ses dépenses de loyer annuelles s'élèvent à 18 000 $. Elle travaille principalement de chez elle et n'a pas d'autre lieu fixe d'affaires. — Affirmation : Hind peut déduire 2 700 $ (15 % × 18 000 $) au titre des frais de bureau à domicile en vertu des art. 18(12) et 20(1) LIR.	Vrai	claude
2	Scénario : Antoine est employé d'une société de construction et est contractuellement tenu d'utiliser son propre camion pour se rendre sur différents chantiers. Son employeur a signé un formulaire T2200 attestant que ces conditions s'appliquent. Antoine a engagé 8 400 $ en frais de véhicule non remboursés liés à cet emploi au cours de 2023. — Affirmation : Antoine peut déduire ses frais de véhicule liés à l'emploi en vertu de l'art. 8(1)(h.1) LIR, sous réserve du calcul de la proportion professionnelle.	Vrai	claude
3	Scénario : Nadia a cotisé 14 000 $ à son REER au cours de l'année d'imposition 2023. Selon son avis de cotisation 2022, ses droits de cotisation inutilisés s'élèvent à 22 000 $. Elle n'a pas de cotisation excédentaire. Son revenu gagné pour 2022 était de 95 000 $. — Affirmation : Nadia peut déduire l'intégralité de sa cotisation de 14 000 $ à son REER en vertu des art. 146 et 60(i) LIR dans sa déclaration de revenus 2023.	Vrai	claude
4	Scénario : Benoît a déménagé de Québec à Vancouver en mars 2023 pour accepter un nouvel emploi. La distance entre son ancienne résidence et son nouveau lieu de travail est de 4 650 km. Il a engagé 6 200 $ de frais de déménagement admissibles documentés. Son revenu d'emploi gagné à Vancouver en 2023 s'élève à 75 000 $. — Affirmation : Benoît peut déduire ses frais de déménagement admissibles en vertu de l'art. 62 LIR jusqu'à concurrence de son revenu d'emploi gagné au nouveau lieu de travail.	Vrai	claude
5	Scénario : Société TechNord inc. a contracté un prêt de 500 000 $ auprès d'une institution financière pour financer l'acquisition d'équipements servant à la production de biens vendus à des clients. Les intérêts payés sur ce prêt au cours de 2023 s'élèvent à 27 500 $. Il existe un lien direct entre l'emprunt et la source de revenus. — Affirmation : TechNord inc. peut déduire les intérêts de 27 500 $ à titre de dépenses d'entreprise en vertu de l'art. 20(1)(c) LIR.	Vrai	claude
6	Scénario : Louis est employé d'une firme de comptables à titre de salarié. Il travaille parfois de chez lui le week-end par choix personnel, mais son contrat de travail ne l'exige pas et son employeur n'a pas signé de formulaire T2200. Il souhaite déduire une portion de ses frais de maison à titre de bureau à domicile. — Affirmation : Louis peut déduire ses frais de bureau à domicile en vertu de l'art. 8(13) LIR pour l'année d'imposition 2023.	Faux	claude
7	Scénario : Camille a effectué un voyage de deux semaines à Paris avec son conjoint en juillet 2023. Elle a organisé un déjeuner d'affaires d'une heure avec un client potentiel lors de ce séjour. Elle souhaite déduire la totalité des frais du voyage, soit 5 800 $, à titre de dépenses d'entreprise, en alléguant la vocation commerciale du déplacement. — Affirmation : Camille peut déduire la totalité des 5 800 $ de frais de voyage à Paris à titre de dépenses d'entreprise en vertu de l'art. 18 LIR.	Faux	claude
8	Scénario : Étienne a cotisé 28 000 $ à son REER en 2023. Cependant, selon son avis de cotisation 2022, ses droits de cotisation inutilisés s'élevaient uniquement à 20 000 $. Son employeur n'a effectué aucune cotisation à un régime d'entreprise. La cotisation excédentaire de 8 000 $ dépasse le montant cumulatif excédentaire autorisé. — Affirmation : Étienne peut déduire la totalité de ses 28 000 $ de cotisations REER dans sa déclaration de revenus 2023.	Faux	claude
9	Scénario : Isabelle a déménagé de Brossard à Longueuil en octobre 2023 pour prendre un nouvel emploi. La distance entre son ancienne résidence et son nouveau lieu de travail est de 8 km, ce qui est plus près que les 7 km qui séparaient son ancienne résidence de son ancien lieu de travail. L'augmentation nette de la proximité est inférieure à 40 km. — Affirmation : Isabelle peut déduire ses frais de déménagement en vertu de l'art. 62 LIR puisqu'elle a déménagé pour un nouvel emploi.	Faux	claude
10	Scénario : Rémi verse 1 500 $ par mois à son ex-conjoint depuis leur séparation informelle. Il n'existe ni ordonnance judiciaire ni convention écrite séparant les montants en soutien alimentaire et en allocation de logement. Rémi pense pouvoir déduire ces paiements à titre de pension alimentaire. — Affirmation : Rémi peut déduire les paiements mensuels de 1 500 $ versés à son ex-conjoint à titre de pension alimentaire en vertu de l'art. 60(b) LIR.	Faux	claude
