index	text	answer	source_model
1	Scénario : Marie, 67 ans, résidant en Ontario, a reçu un certificat pour le crédit d'impôt pour personnes handicapées (formulaire T2201) approuvé par l'ARC, attestant qu'elle souffre d'une déficience grave et prolongée de ses fonctions mentales. Elle n'a aucun revenu suffisant pour utiliser pleinement le crédit elle-même. Son fils adulte subvient à ses besoins. — Affirmation : Le fils de Marie peut demander le transfert du crédit d'impôt pour personnes handicapées de sa mère en vertu de l'art. 118.3(2) LIR.	Vrai	claude
2	Scénario : Patrick, travailleur autonome à Montréal, a versé 2 500 $ en dons à des organismes de bienfaisance enregistrés auprès de l'ARC au cours de l'année d'imposition 2023. Il dispose des reçus officiels de dons correspondants. Son revenu net s'élève à 85 000 $. — Affirmation : Patrick peut demander le crédit d'impôt fédéral pour dons de bienfaisance prévu à l'art. 118.1 LIR pour ses 2 500 $ de dons.	Vrai	claude
3	Scénario : Julien et Sophie ont acheté leur première résidence principale à Calgary en août 2023 pour 520 000 $. Ni l'un ni l'autre n'a été propriétaire d'une habitation au Canada au cours des cinq années précédentes. L'habitation est admissible selon les règles de l'ARC. — Affirmation : Julien et Sophie peuvent demander conjointement le crédit d'impôt pour l'achat d'une habitation prévu à l'art. 118.05 LIR, jusqu'au montant maximum autorisé.	Vrai	claude
4	Scénario : Fatima a engagé 4 800 $ en frais médicaux admissibles au cours de la période de 12 mois se terminant le 31 décembre 2023 (médicaments sur ordonnance, soins dentaires, examens spécialisés). Son revenu net est de 52 000 $. Le seuil de 3 % de son revenu net est de 1 560 $. — Affirmation : Fatima peut demander le crédit d'impôt pour frais médicaux prévu à l'art. 118.2 LIR sur la portion de ses frais médicaux excédant 1 560 $.	Vrai	claude
5	Scénario : Marc, 71 ans, retraité de la fonction publique fédérale, reçoit un revenu de pension admissible de 28 000 $ par année. Il satisfait à la définition d'âge de l'art. 118(2) LIR et son revenu le rend admissible au crédit en raison de l'âge. Il n'est pas marié. — Affirmation : Marc peut demander le montant en raison de l'âge prévu à l'art. 118(2) LIR lors de la production de sa déclaration de revenus 2023.	Vrai	claude
6	Scénario : Amina souffre de dépression sévère et a du mal à accomplir les activités de la vie quotidienne. Elle n'a jamais fait remplir le formulaire T2201 par un professionnel de la santé qualifié et l'ARC n'a jamais approuvé de certificat pour le crédit d'impôt pour personnes handicapées en sa faveur. — Affirmation : Amina peut demander le crédit d'impôt pour personnes handicapées prévu à l'art. 118.3 LIR pour l'année d'imposition 2023.	Faux	claude
7	Scénario : Thomas a versé 1 200 $ à son association de condominium pour des améliorations aux parties communes de son immeuble en 2023. Il croit que cette dépense est admissible à titre de frais médicaux car l'amélioration incluait l'installation d'une rampe d'accès dont bénéficient les résidents à mobilité réduite, dont il fait partie. — Affirmation : Thomas peut demander le montant de 1 200 $ à titre de frais médicaux admissibles en vertu de l'art. 118.2 LIR.	Faux	claude
8	Scénario : Clara a fait un don de 2 000 $ au Parti libéral du Canada au cours de l'année d'imposition 2023. Elle pense que ce don lui donne droit au crédit d'impôt fédéral pour dons de bienfaisance prévu à l'art. 118.1 LIR, puisque les partis politiques enregistrés sont des organismes reconnus par le gouvernement fédéral. — Affirmation : Clara peut réclamer un crédit d'impôt pour dons de bienfaisance en vertu de l'art. 118.1 LIR pour son don au Parti libéral du Canada.	Faux	claude
9	Scénario : David, 58 ans, bénéficie d'un revenu de pension de 12 000 $ provenant du Régime de pensions du Canada (RPC) seulement. Il n'a aucun autre revenu de pension admissible au sens de l'art. 118(7) LIR. Il pense satisfaire aux conditions du montant canadien pour emploi et revenus de retraite. — Affirmation : David peut demander le montant en raison de l'âge prévu à l'art. 118(2) LIR pour l'année d'imposition 2023, car il a 58 ans et reçoit du revenu de retraite.	Faux	claude
10	Scénario : Élise a acheté sa première maison en janvier 2023. Toutefois, sa conjointe de fait, avec qui elle vit depuis quatre ans, avait été propriétaire d'une résidence principale au Canada au cours de l'une des cinq années précédentes, qu'elle a vendue avant que le couple emménage ensemble. — Affirmation : Élise peut réclamer le crédit d'impôt pour l'achat d'une habitation (art. 118.05 LIR) car elle-même n'a jamais été propriétaire d'une habitation au Canada.	Faux	claude
