index	text	answer	source_model
1	Nous considérons que la formation est un pilier fondamental de toute stratégie efficace de lutte contre le travail forcé. Notre programme de formation couvre l'identification des indicateurs de vulnérabilité, les procédures de signalement internes, et les obligations légales découlant de la Loi S-211. Nous recommandons que cette formation soit obligatoire pour tous les employés impliqués dans les décisions d'approvisionnement, au minimum une fois par an.	Oui	claude
2	La meilleure pratique en matière de formation consiste à adapter le contenu selon le niveau de responsabilité : une sensibilisation générale pour tous les employés, et une formation approfondie spécialisée pour les acheteurs, les gestionnaires de fournisseurs et les équipes de conformité. Nous avons structuré notre programme de formation selon cette approche différenciée depuis 2022.	Oui	claude
3	Nous préconisons l'intégration de modules sur le travail forcé dans les programmes d'accueil des nouveaux employés, avant même leur première interaction avec les fournisseurs. Cette approche préventive, complétée par des formations de recyclage biannuelles, permet de maintenir un niveau de vigilance élevé dans nos équipes face aux formes émergentes de travail forcé.	Oui	claude
4	Notre politique de formation recommande de faire appel à des formateurs ayant une expérience de terrain dans les pays d'approvisionnement à risque élevé. Ces experts peuvent partager des études de cas réels qui renforcent la capacité des employés à identifier des situations concrètes de coercition ou d'exploitation dans les chaînes d'approvisionnement mondiales.	Oui	claude
5	Nous croyons que la formation doit s'étendre au-delà de notre propre organisation pour inclure les fournisseurs clés. À cet égard, nous organisons des ateliers annuels de renforcement des capacités destinés à nos fournisseurs stratégiques, couvrant la prévention du travail forcé, les pratiques de recrutement éthiques et les mécanismes de plainte conformes aux meilleures pratiques internationales.	Oui	claude
6	Notre programme d'audit des fournisseurs est certifié selon la méthodologie SMETA (Sedex Members Ethical Trade Audit). En 2023, nous avons conduit des audits auprès de soixante-cinq (65) fournisseurs dans douze pays. Les résultats révèlent que quatre-vingt-sept pour cent (87 %) des fournisseurs audités respectent nos exigences minimales en matière de travail.	Non	claude
7	Nous exigeons de nos fournisseurs de premier rang qu'ils obtiennent et maintiennent une certification SA8000 ou équivalente. Les fournisseurs qui ne satisfont pas à cette exigence dans le délai de dix-huit (18) mois suivant leur homologation sont retirés de notre liste de fournisseurs approuvés, sauf si des circonstances exceptionnelles justifient un délai supplémentaire.	Non	claude
8	Notre comité d'approvisionnement durable, composé de représentants des achats, de la conformité et de la direction générale, se réunit mensuellement pour examiner les incidents de non-conformité signalés et les risques émergents dans notre chaîne d'approvisionnement. Ce comité a l'autorité de suspendre ou de résilier des relations avec des fournisseurs en cas de violations graves.	Non	claude
9	Nous soumettons annuellement nos données de chaîne d'approvisionnement à une vérification indépendante afin d'assurer l'intégrité de l'information publiée dans notre rapport Loi S-211. En 2023, notre vérificateur a validé les données relatives à cent pour cent (100 %) des fournisseurs de premier rang, représentant quatre-vingt-deux pour cent (82 %) de nos dépenses totales d'approvisionnement.	Non	claude
10	Conformément à la Loi S-211, nous avons adopté une politique de lutte contre le travail forcé approuvée par notre conseil d'administration. Cette politique définit nos engagements, établit une procédure de diligence raisonnable et prévoit des mesures correctives en cas d'identification de situations de travail forcé ou de travail des enfants dans notre chaîne d'approvisionnement.	Non	claude
