index	text	answer	source_model
1	Notre entreprise a intégré la gouvernance de la chaîne d'approvisionnement au niveau du conseil d'administration, où un comité d'audit et d'éthique supervise les risques liés au travail forcé. Chaque fournisseur de premier rang est tenu de signer notre Code de conduite des fournisseurs, lequel prévoit des mécanismes de plainte confidentiels et des exigences de remontée d'information vers la direction.	Oui	claude
2	Nous avons désigné un directeur de la responsabilité de la chaîne d'approvisionnement relevant directement du chef de la direction. Ce poste est responsable de l'application de notre politique d'approvisionnement responsable, de la gestion des incidents de non-conformité et de la présentation de rapports annuels au conseil d'administration conformément aux exigences de la Loi S-211.	Oui	claude
3	Notre cadre d'imputabilité pour la chaîne d'approvisionnement comprend : (1) des objectifs annuels intégrés aux indicateurs de performance des cadres supérieurs ; (2) un comité interfonctionnel de surveillance du risque fournisseur ; (3) une ligne d'alerte éthique accessible aux employés et aux travailleurs de la chaîne d'approvisionnement. Ces mécanismes font l'objet d'un bilan annuel présenté au comité d'audit.	Oui	claude
4	Nous considérons que la meilleure pratique en matière de gouvernance des chaînes d'approvisionnement repose sur une imputabilité claire à chaque niveau hiérarchique. À cet effet, nous avons intégré des critères d'approvisionnement responsable dans les ententes de rémunération variable de nos directeurs des achats, et nous exigeons de nos fournisseurs stratégiques qu'ils désignent un interlocuteur dédié aux droits du travail.	Oui	claude
5	Pour renforcer notre responsabilité envers les travailleurs de notre chaîne d'approvisionnement, nous avons mis en place un mécanisme de plainte bilingue (français/anglais) accessible aux fournisseurs et à leurs employés. Les plaintes reçues sont traitées par notre bureau d'éthique indépendant et font l'objet d'un rapport trimestriel au comité d'éthique du conseil d'administration.	Oui	claude
6	Nous avons réalisé des audits de conformité auprès de quarante-deux (42) fournisseurs dans les secteurs à risque élevé au cours de l'exercice 2023-2024. Les audits ont été conduits par un cabinet spécialisé indépendant selon la méthodologie SMETA (Sedex Members Ethical Trade Audit). Douze fournisseurs ont reçu des plans d'action correctifs, dont neuf ont été clôturés dans les délais convenus.	Non	claude
7	En 2023, nous avons adopté une politique d'approvisionnement durable alignée sur les Principes directeurs des Nations Unies relatifs aux entreprises et aux droits de l'homme. Cette politique définit nos attentes envers les fournisseurs en matière d'environnement, de santé et sécurité, et de conditions de travail. Elle est disponible sur notre site Web dans les deux langues officielles.	Non	claude
8	Nous exigeons de nos fournisseurs de premier rang qu'ils obtiennent la certification SA8000 ou une certification équivalente reconnue au niveau international. En 2023, soixante-huit pour cent (68 %) de nos fournisseurs stratégiques détenaient une certification active, contre cinquante-deux pour cent (52 %) en 2022, reflétant les progrès accomplis dans notre programme de qualification des fournisseurs.	Non	claude
9	Nous avons dispensé une formation obligatoire sur les risques de travail forcé à l'ensemble de notre équipe achats (cent dix-sept employés) en septembre 2023. Cette formation de quatre heures, développée en partenariat avec une organisation non gouvernementale spécialisée, couvrait la reconnaissance des indicateurs de travail forcé, les procédures de signalement et les obligations légales découlant de la Loi S-211.	Non	claude
10	Nous faisons appel à un vérificateur indépendant pour confirmer l'exactitude des données publiées dans notre rapport annuel sur la chaîne d'approvisionnement, conformément aux meilleures pratiques de transparence recommandées dans les lignes directrices fédérales relatives à la Loi S-211. Le rapport de vérification est annexé à notre déclaration annuelle déposée auprès du gouvernement du Canada.	Non	claude
