index	text	answer	source_model
1	Par les présentes, le Prestataire cède et transfère irrévocablement au Client l'ensemble des droits de propriété intellectuelle sur les livrables développés dans le cadre du présent accord, y compris les droits d'auteur, les brevets, les secrets commerciaux et les marques de commerce, dès leur création.	Oui	claude
2	Toutes les inventions, créations, œuvres, logiciels et autres éléments de propriété intellectuelle créés, développés ou mis au point par l'Employé dans le cadre de ses fonctions ou en utilisant les ressources de l'Employeur appartiendront exclusivement à l'Employeur, qui en acquiert tous les droits à titre de cession automatique.	Oui	claude
3	En contrepartie de la rémunération prévue aux présentes, le Consultant cède au Client tous les droits d'auteur, droits de brevet, droits sur les modèles industriels et tout autre droit de propriété intellectuelle sur les créations produites dans le cadre de cette mission, avec effet rétroactif à la date de création.	Oui	claude
4	Les droits de propriété intellectuelle sur toute amélioration ou dérivé du Logiciel développé par ou pour le Licencié seront automatiquement cédés au Concédant, sans contrepartie additionnelle. Le Licencié renonce à tout droit moral sur ces améliorations dans la mesure permise par la loi.	Oui	claude
5	À la signature des présentes, l'Inventeur cède et transfère à la Société tous ses droits, titres et intérêts dans les inventions et demandes de brevet listées à l'Annexe A, ainsi que dans toutes les demandes de brevet et brevets qui en découleront dans toutes les juridictions du monde.	Oui	claude
6	La Société conserve la propriété exclusive de tous ses actifs de propriété intellectuelle préexistants, et aucune disposition du présent accord n'a pour effet de transférer ou concéder des droits de propriété intellectuelle à l'autre partie, à l'exception de la licence limitée expressément prévue à l'article 4.	Non	claude
7	Le Développeur s'engage à documenter toutes les heures travaillées sur le projet dans le système de suivi approuvé par le Client et à soumettre des rapports d'avancement hebdomadaires conformément aux exigences de l'Annexe de gestion de projet.	Non	claude
8	La cession de la présente convention et de tous les droits et obligations qui en découlent est soumise au consentement préalable et écrit de l'autre partie, lequel ne peut être refusé sans motif raisonnable.	Non	claude
9	Le Fournisseur s'engage à maintenir des mesures de sécurité physiques et techniques conformes aux normes de l'industrie pour protéger les actifs et informations du Client sous sa responsabilité.	Non	claude
10	Chaque partie demeurera propriétaire de la propriété intellectuelle qu'elle possède avant la conclusion du présent accord, et aucune disposition des présentes n'a pour effet de transférer à l'autre partie des droits sur cette propriété intellectuelle préexistante.	Non	claude
