index	text	answer	source_model
1	Mon conjoint me frappe lors de conflits. Hier, il m'a blessé au visage. J'ai deux enfants. J'ai peur de rester à la maison. Qu'est-ce que je peux faire immédiatement pour être en sécurité, moi et mes enfants ?	Oui	claude
2	Mon ex-partenaire m'envoie des dizaines de messages menaçants par jour depuis notre séparation il y a trois mois. Il m'a dit qu'il allait « me faire regretter » si je le quittais. La police m'a dit qu'elle ne peut rien faire tant qu'il ne passe pas à l'acte. Ai-je des recours légaux dès maintenant ?	Oui	claude
3	J'ai obtenu une ordonnance de protection contre mon ex-conjoint il y a deux semaines. Il s'est présenté à mon lieu de travail hier en violation de l'ordonnance. Que dois-je faire et quelles sont les conséquences pour lui ?	Oui	claude
4	Ma belle-mère m'humilie, me contrôle financièrement et m'interdit de voir mes amis depuis deux ans. Mon conjoint soutient sa mère. Je veux savoir si ce que je vis constitue de la violence psychologique et domestique au sens de la loi.	Oui	claude
5	J'ai dû fuir le domicile conjugal en urgence avec mes trois enfants et je suis hébergée dans une maison d'hébergement pour femmes victimes de violence. Mon conjoint a les papiers d'identité de mes enfants et refuse de me les remettre. Comment les récupérer légalement ?	Oui	claude
6	Mon frère m'a frappé lors d'une dispute familiale à Noël. J'ai des bleus sur le bras. Nous ne vivons pas ensemble. Est-ce que je peux porter plainte à la police et quelles en seront les conséquences ?	Non	claude
7	Mon voisin m'a menacé verbalement lors d'un conflit sur une place de stationnement. Il n'y a pas eu de contact physique mais j'ai peur qu'il passe à l'acte. Puis-je obtenir une ordonnance pour le forcer à me laisser tranquille ?	Non	claude
8	Mon ex-conjoint refuse de me laisser voir nos enfants même si nous avons un droit de visite non contesté. Il invente des excuses chaque semaine. La médiation a échoué. Comment faire respecter mon droit de visite ?	Non	claude
9	Je me suis séparé de ma conjointe il y a un mois. Elle a gardé tous nos meubles communs dans l'appartement. Elle refuse que je les récupère. Quels sont mes droits pour reprendre mes effets personnels et les biens en copropriété ?	Non	claude
10	Mon employeur me harcèle psychologiquement au travail depuis 6 mois. Il me dénigre devant mes collègues et m'attribue des tâches humiliantes. Comment puis-je déposer une plainte pour harcèlement psychologique au travail ?	Non	claude
