index	text	answer	source_model
1	Le présent accord est régi et interprété conformément aux lois de la province de Québec et aux lois fédérales du Canada applicables en Québec, à l'exclusion de ses règles de conflit de lois. Les parties conviennent de la compétence exclusive des tribunaux de Montréal.	Oui	claude
2	Ce contrat sera interprété exclusivement selon les lois de l'Ontario, sans égard à ses dispositions sur les conflits de lois. Tout différend sera soumis à la compétence des tribunaux de la province d'Ontario siégeant dans la ville de Toronto.	Oui	claude
3	Le présent accord et tout différend en découlant seront régis par les lois fédérales du Canada applicables, sans préjudice des droits de toute partie de solliciter une injonction devant tout tribunal compétent en cas de violation réelle ou appréhendée.	Oui	claude
4	Nonobstant le lieu de signature ou d'exécution du présent contrat, les parties conviennent que le droit de la province de Colombie-Britannique régira ce contrat et que les tribunaux compétents seront ceux de la ville de Vancouver.	Oui	claude
5	La Convention des Nations Unies sur les contrats de vente internationale de marchandises (CVIM) est expressément exclue. Le présent accord est régi par la Loi sur la vente de biens de l'Ontario (L.R.O. 1990, ch. S.1) et les lois générales de cette province.	Oui	claude
6	Le présent accord ne peut être cédé par le Preneur sans le consentement écrit et préalable du Concédant, lequel ne peut être refusé sans motif raisonnable. Toute cession non autorisée sera réputée nulle et sera considérée comme un manquement substantiel aux présentes.	Non	claude
7	Le Concédant garantit qu'il est titulaire de tous les droits de propriété intellectuelle sur la Technologie et que la licence accordée ne viole aucun droit de tiers. Le Concédant s'engage à défendre et indemniser le Licencié contre toute réclamation de tiers à cet égard.	Non	claude
8	L'accord entrera en vigueur dès sa signature et sera valide pour une durée de cinq (5) ans, après quoi il sera renouvelé automatiquement pour des périodes successives de deux (2) ans sauf avis contraire donné avec un préavis de quatre-vingt-dix (90) jours.	Non	claude
9	En cas de différend entre les parties, celles-ci conviennent de tenter d'abord de résoudre le litige par voie de négociation de bonne foi dans les trente (30) jours suivant l'avis du litige. À défaut, le différend sera soumis à l'arbitrage conformément aux règles d'arbitrage de l'ADR Institute du Canada.	Non	claude
10	Le Distributeur s'engage à maintenir des stocks minimaux des Produits equivalents à au moins deux (2) mois de ventes moyennes et à s'abstenir de vendre des produits concurrents sans l'accord écrit du Fournisseur.	Non	claude
