index	text	answer	source_model
1	Le contrat se forme par le seul échange de consentement entre des personnes capables de contracter, à moins que la loi n'exige une forme particulière.	Vrai	claude
2	La prescription extinctive de droit commun pour les droits personnels et les droits réels mobiliers est de trois ans, à défaut d'une disposition contraire.	Vrai	claude
3	Toute personne qui, par sa faute, cause un préjudice à autrui est tenue de réparer ce préjudice, qu'il soit corporel, moral ou matériel.	Vrai	claude
4	Le vendeur est tenu de garantir que le bien est exempt de vices cachés qui le rendent impropre à l'usage auquel il est destiné; les vices apparents ne bénéficient pas de cette garantie.	Vrai	claude
5	L'action en diffamation se prescrit par un an à compter du jour où la personne diffamée a eu connaissance de la diffamation.	Vrai	claude
6	En droit québécois, lorsqu'un contrat est inexécuté, le créancier peut choisir d'invoquer soit le régime contractuel, soit le régime extracontractuel, selon ce qui lui est le plus avantageux.	Faux	claude
7	Le délai de prescription extinctive de droit commun est de cinq ans pour les droits personnels, en l'absence de disposition contraire.	Faux	claude
8	Le contrat se forme au moment où le bien est remis ou le service exécuté, et non par simple échange de consentement entre les parties.	Faux	claude
9	La garantie contre les vices cachés s'applique également aux vices apparents que l'acheteur aurait pu constater lui-même lors d'un examen ordinaire du bien.	Faux	claude
10	Lorsque le vendeur est un professionnel, la présomption de connaissance du vice caché n'est renversée que si l'acheteur prouve que le défaut était imprévisible même pour un expert.	Faux	claude
