index	text	answer	source_model
1	Mon fils de 10 ans a un TDAH diagnostiqué. L'école refuse de lui fournir un plan d'intervention personnalisé et un accompagnement adapté. Il échoue ses cours. Quels sont nos droits en matière d'accommodement scolaire au Québec ?	Oui	claude
2	La commission scolaire veut placer mon enfant de 8 ans dans une classe spécialisée pour troubles de comportement. Nous refusons ce placement et pensons qu'il peut réussir en classe régulière avec du soutien. Pouvons-nous contester cette décision ?	Oui	claude
3	Mon fils de 16 ans a été expulsé de son école secondaire pour avoir publié un message irrespectueux sur les réseaux sociaux ciblant un enseignant. L'expulsion est permanente. Y a-t-il des protections légales pour contester une expulsion aussi sévère ?	Oui	claude
4	Je veux inscrire mes enfants dans une école française en Ontario mais la commission scolaire francophone dit qu'ils ne sont pas admissibles parce que j'ai fréquenté l'école en anglais au Québec. Ai-je un droit constitutionnel à l'éducation en français pour mes enfants ?	Oui	claude
5	Mon enfant est victime d'intimidation sévère à l'école depuis le début de l'année. La direction dit qu'elle n'a pas les ressources pour intervenir efficacement. Quel cadre légal protège mon enfant contre l'intimidation scolaire au Québec ?	Oui	claude
6	Mon ex-conjoint et moi partageons la garde de nos enfants. Il veut les inscrire dans une école privée anglophone sans mon accord. Ai-je mon mot à dire et comment régler ce désaccord sur l'école ?	Non	claude
7	Mon fils de 19 ans a une dette de prêt étudiant de 22 000 $ pour ses études collégiales. Il ne trouve pas d'emploi dans son domaine. Y a-t-il des programmes pour l'aider à rembourser ou à obtenir une remise de dette ?	Non	claude
8	Je travaille comme enseignant dans une école primaire. J'ai été suspendu sans salaire suite à une plainte d'un parent. Je conteste la décision. Quels sont mes droits syndicaux et comment contester cette suspension ?	Non	claude
9	Mon enfant de 6 ans a subi un accident dans la cour de l'école — il est tombé d'une structure de jeu délabrée et s'est cassé le bras. L'école nie toute responsabilité. Puis-je poursuivre pour négligence ?	Non	claude
10	J'ai immigré au Canada il y a deux ans et je veux obtenir la reconnaissance de mon diplôme d'ingénieur obtenu en Algérie. L'ordre professionnel exige que je reprenne des cours. Quelles sont mes options pour faire valoir ma formation ?	Non	claude
