index	text	answer	source_model
1	Nous nous réservons le droit de modifier la présente politique de confidentialité à tout moment. En cas de modification substantielle, nous vous en informerons par courriel à l'adresse enregistrée dans votre profil ou par un avis bien visible sur notre site Web, au moins trente (30) jours avant l'entrée en vigueur des changements. Votre utilisation continue de nos services après cette date vaudra acceptation de la politique révisée.	Oui	claude
2	La présente politique de confidentialité peut être mise à jour périodiquement afin de refléter les changements apportés à nos pratiques de traitement des données ou les modifications législatives. La date de la dernière révision est indiquée en haut de ce document. Nous vous encourageons à consulter régulièrement cette politique. Si les modifications sont importantes, nous vous en aviserons par courriel ou via une notification dans votre espace personnel.	Oui	claude
3	En cas de modification de notre politique de confidentialité susceptible d'avoir un impact significatif sur la façon dont nous traitons vos renseignements personnels, nous vous demanderons votre consentement avant de mettre en œuvre ces changements, conformément aux exigences de la Loi 25. Si vous refusez les nouvelles conditions, vous pourrez choisir de fermer votre compte sans frais supplémentaires.	Oui	claude
4	Nous pouvons, à notre discrétion, réviser la présente politique en tout temps. La version la plus récente sera toujours disponible sur notre site Web. Si les modifications apportées sont importantes, nous vous en informerons par un avis général sur notre site ou, dans certains cas, par courriel. La date de la dernière mise à jour figurant en tête de document fait foi de la version en vigueur.	Oui	claude
5	Toute modification de la présente politique de confidentialité sera annoncée sur notre site Web avec un préavis raisonnable. Si votre consentement est requis pour les nouvelles pratiques de traitement, nous vous contacterons directement pour obtenir votre accord. En l'absence de votre réponse dans le délai indiqué, nous considérerons que vous n'acceptez pas les modifications et nous cesserons le traitement concerné.	Oui	claude
6	Nous utilisons vos renseignements personnels pour vous envoyer nos infolettres et communications promotionnelles si vous y avez consenti. Vous pouvez retirer votre consentement à tout moment en cliquant sur le lien de désabonnement présent dans chaque communication ou en nous contactant directement. Le retrait de votre consentement n'affecte pas la licéité du traitement effectué antérieurement.	Non	claude
7	Pour des raisons de sécurité, nous vous recommandons de choisir un mot de passe robuste et de ne pas le divulguer à des tiers. Nous ne vous demanderons jamais votre mot de passe par courriel ou par téléphone. Si vous soupçonnez que votre compte a été compromis, veuillez nous contacter immédiatement et changer votre mot de passe.	Non	claude
8	Nos partenaires technologiques, dont les serveurs sont situés aux États-Unis, peuvent avoir accès à certains de vos renseignements dans le cadre de la fourniture de leurs services. Nous avons conclu avec eux des ententes de traitement des données assurant un niveau de protection équivalent à celui requis par la législation québécoise applicable.	Non	claude
9	Vous avez le droit à la portabilité de vos renseignements personnels, c'est-à-dire le droit de recevoir dans un format structuré, couramment utilisé et lisible les renseignements personnels que vous nous avez fournis. Ce droit s'applique aux données que vous nous avez activement communiquées et dont le traitement est fondé sur votre consentement ou sur un contrat.	Non	claude
10	Conformément à la Loi 25, nous avons mis en place un programme de gouvernance des données personnelles comprenant la nomination d'un responsable de la protection des renseignements personnels, l'adoption de politiques et procédures internes, la réalisation d'évaluations des facteurs relatifs à la vie privée et la tenue d'un registre des incidents de confidentialité.	Non	claude
