index	text	answer	source_model
1	Marc achète un immeuble résidentiel en octobre. En mars suivant, il découvre que la fondation souffre de fissures causées par des infiltrations d'eau souterraines, un problème qui existait avant la vente et qui n'était pas décelable lors d'une inspection visuelle normale. Le vendeur n'en avait pas avisé l'acheteur.	Oui	claude
2	Sophie achète une voiture d'occasion auprès d'un concessionnaire professionnel. Trois mois après l'achat, le moteur tombe en panne en raison d'un défaut de fabrication interne qui n'était pas apparent à l'achat et que le concessionnaire ignorait. La réparation coûte 8 000 $.	Oui	claude
3	Un restaurant achète un équipement de réfrigération commercial neuf. Après six semaines d'utilisation normale, un défaut interne du compresseur cause une panne totale de l'appareil, entraînant la perte de stocks alimentaires. Le défaut n'était pas apparent et existait à la fabrication.	Oui	claude
4	Lucie achète un condo. Avant la vente, l'inspecteur en bâtiment mandaté par l'acheteur avait noté dans son rapport la présence possible d'humidité dans le sous-sol. Lucie a signé l'acte de vente en tenant compte de cette information. Des problèmes d'humidité surviennent six mois plus tard.	Non	claude
5	Un acheteur achète un terrain agricole à prix réduit en sachant que la contamination des sols de la région est un risque connu. Il découvre ensuite une contamination aux hydrocarbures sous la surface. La clause "à titre d'essai" figurait dans l'acte de vente.	Non	claude
6	Pierre achète un appartement avec des fenêtres dont le joint d'étanchéité présente des traces d'humidité visibles à l'œil nu. L'agent immobilier lui avait signalé cet état avant l'achat. Six mois plus tard, des infiltrations d'eau se produisent par ces mêmes fenêtres.	Non	claude
7	Un acheteur de maison découvre un an après l'achat que le toit présente de légères craquelures de surface qui n'ont causé aucun dommage structurel ni aucune infiltration. L'expert mandaté conclut que ces craquelures sont minimes et n'affectent pas la valeur ni l'usage du bien.	Non	claude
8	Un constructeur vend une maison neuve. L'acheteur découvre deux ans après l'emménagement des fissures dans les murs dus au tassement naturel du sol, phénomène normal et prévisible dans ce type de construction selon les experts. Aucun dommage structurel n'en résulte.	Non	claude
9	Nadia achète un équipement de gym usagé d'un particulier non professionnel. Deux semaines après, un roulement tombe en panne. La vente était accompagnée d'une clause excluant expressément toute garantie légale, et l'acheteur avait eu l'occasion d'inspecter l'appareil avant l'achat.	Non	claude
10	Fabrice découvre que son chauffe-eau acheté neuf il y a huit ans présente de la rouille interne. Aucun défaut n'était apparent à l'achat. La durée de vie utile d'un chauffe-eau est généralement de huit à douze ans. L'expert conclut que l'état du chauffe-eau correspond à une usure normale pour son âge.	Non	claude
