index	text	answer	source_model
1	Conformément à la Loi S-211, nous avons nommé M. Jean-François Tremblay, vice-président aux opérations, à titre de responsable de la lutte contre le travail forcé au sein de notre organisation. Ce poste est chargé de superviser l'application de notre Code de conduite des fournisseurs et de présenter un rapport annuel au comité d'audit du conseil d'administration.	Oui	claude
2	En 2023, notre conseil d'administration a adopté une politique formelle de lutte contre le travail forcé et le travail des enfants dans nos chaînes d'approvisionnement. Un comité de surveillance de la chaîne d'approvisionnement, composé de trois administrateurs indépendants, est chargé d'en assurer l'application et de rendre compte à l'assemblée générale annuelle.	Oui	claude
3	Nous avons intégré des indicateurs de performance liés à la conformité de la chaîne d'approvisionnement dans la rémunération variable de notre équipe de direction. En 2023, vingt pour cent (20 %) du boni annuel des directeurs des achats était conditionnel à l'atteinte d'objectifs mesurables en matière de diligence raisonnable sur le travail forcé.	Oui	claude
4	Notre ligne d'alerte éthique, accessible vingt-quatre heures sur vingt-quatre en français et en anglais, a reçu dix-sept (17) signalements relatifs à des conditions de travail dans notre chaîne d'approvisionnement au cours de l'exercice 2023. Chaque signalement a fait l'objet d'une enquête interne documentée. Trois (3) signalements ont abouti à des audits de suivi et deux (2) à des mesures correctives formelles.	Oui	claude
5	Nous avons modifié nos contrats-cadres fournisseurs en 2023 pour inclure une clause de conformité sociale contraignante, assortie d'un droit d'audit et d'une clause résolutoire en cas de manquement grave. Quarante-huit (48) fournisseurs stratégiques ont signé les contrats révisés avant le 31 décembre 2023 ; les dix (10) fournisseurs restants ont jusqu'au 30 juin 2024 pour les signer.	Oui	claude
6	Nous sommes pleinement engagés à éliminer le travail forcé de notre chaîne d'approvisionnement. Nous croyons fermement que les entreprises ont la responsabilité de s'assurer que leurs opérations et celles de leurs fournisseurs respectent les droits fondamentaux des travailleurs, conformément aux principes directeurs des Nations Unies relatifs aux entreprises et aux droits de l'homme.	Non	claude
7	En 2023, nous avons audité trente-neuf (39) fournisseurs dans six pays présentant des risques élevés de travail forcé selon les indices internationaux de référence. Ces audits ont été réalisés par Bureau Veritas selon la méthodologie SMETA deux piliers. Le taux de conformité global s'établit à soixante-treize pour cent (73 %), en hausse de neuf points de pourcentage par rapport à 2022.	Non	claude
8	Nos équipes d'approvisionnement ont reçu une formation de sensibilisation aux risques de travail forcé en novembre 2023. Cette formation de trois heures, dispensée en ligne, a été complétée par quatre-vingt-seize pour cent (96 %) des quatre-vingt-cinq (85) employés ciblés. Les résultats des tests de connaissance révèlent une amélioration moyenne de vingt-sept points de pourcentage par rapport aux connaissances initiales.	Non	claude
9	Nous exigeons de nos fournisseurs de premier rang dans les secteurs du textile et de l'agroalimentaire qu'ils détiennent une certification SA8000 ou BSCI Active. Au 31 décembre 2023, soixante-deux pour cent (62 %) de ces fournisseurs détenaient une certification active, contre quarante-huit pour cent (48 %) au 31 décembre 2022.	Non	claude
10	Un cabinet d'experts-comptables indépendant a vérifié les données quantitatives contenues dans la présente déclaration. Le périmètre de vérification couvre l'ensemble des fournisseurs de premier rang représentant plus de cinq pour cent (5 %) de nos dépenses d'approvisionnement totales. Le rapport de vérification est disponible en annexe de la présente déclaration.	Non	claude
