index	text	answer	source_model
1	Pendant la durée du présent accord et pour une période de vingt-quatre (24) mois suivant sa résiliation, le Distributeur s'interdit de solliciter directement ou indirectement, pour son propre compte ou pour le compte de tiers, les clients de la liste de comptes protégés fournie par le Fournisseur à l'Annexe D.	Oui	claude
2	Le Consultant s'engage à ne pas approcher, contacter ou solliciter les clients du Client existants à la date de fin du mandat, à des fins commerciales concurrentielles, pendant une période de douze (12) mois suivant la fin de la relation contractuelle.	Oui	claude
3	Chacune des parties s'interdit de solliciter activement les clients de l'autre partie identifiés comme tels dans le registre partagé, pendant la durée du partenariat et pour deux (2) ans après son terme, sans le consentement préalable de l'autre partie.	Oui	claude
4	À la suite de la résiliation du présent accord, le Prestataire ne contactera pas directement les clients du Client auxquels il a rendu des services dans le cadre du présent accord, pour leur offrir des services similaires pendant une durée de dix-huit (18) mois.	Oui	claude
5	Le sous-traitant s'engage à ne pas développer une relation commerciale directe avec les clients finaux qui lui ont été présentés par le donneur d'ordre dans le cadre du présent accord, pendant toute la durée du contrat et pour une période de trente-six (36) mois après sa cessation.	Oui	claude
6	Pendant la durée du présent accord et pour une période de douze (12) mois suivant sa résiliation, aucune des parties ne pourra embaucher les employés clés de l'autre partie, ni les inciter à quitter leur employeur actuel.	Non	claude
7	Le Partenaire s'engage à ne pas exercer d'activités commerciales concurrentes sur le territoire exclusif accordé au Partenaire A pendant la durée du présent accord. Cette restriction ne s'applique pas aux activités préexistantes du Partenaire.	Non	claude
8	Le Franchisé reconnaît que toutes les listes de clients, bases de données et informations commerciales transmises par le Franchiseur constituent des renseignements confidentiels appartenant au Franchiseur et s'engage à ne pas les utiliser après la résiliation du contrat.	Non	claude
9	Le Distributeur s'engage à ne pas établir de canaux de vente directe auprès des utilisateurs finaux des Produits sans l'accord préalable et écrit du Fournisseur. La vente directe non autorisée constitue un motif de résiliation immédiate.	Non	claude
10	Le Prestataire s'engage à ne pas accepter de mandats de clients dont les activités sont en conflit direct avec celles du Client, sans divulgation préalable et approbation expresse du Client.	Non	claude
