index	text	answer	source_model
1	Notre service est destiné aux utilisateurs résidant au Canada et n'est pas spécifiquement conçu pour les utilisateurs d'autres pays. Toutefois, si vous accédez à notre service depuis l'extérieur du Canada, sachez que vos renseignements personnels peuvent être transférés, stockés et traités dans un pays dont les lois de protection des données diffèrent de celles de votre pays de résidence.	Oui	claude
2	Nos serveurs sont situés au Canada. Cependant, certains de nos prestataires de services peuvent stocker ou traiter vos données dans d'autres pays, notamment aux États-Unis. Dans ce cas, vos données sont soumises aux lois de ces pays, lesquelles peuvent prévoir des droits et protections différents de ceux offerts par la Loi 25 ou la LPRPDE. Nous nous assurons néanmoins que tout transfert est encadré par des protections contractuelles adéquates.	Oui	claude
3	Notre plateforme n'est pas destinée aux enfants de moins de quatorze (14) ans. Si vous avez moins de quatorze ans, vous ne devez pas utiliser ce service ni nous communiquer vos renseignements personnels. Si nous constatons que des renseignements ont été collectés auprès d'un mineur, nous procédons à leur suppression immédiate et notifions les parents ou tuteurs si nécessaire.	Oui	claude
4	Les services proposés sur notre site sont disponibles exclusivement pour les résidents du Québec et des autres provinces canadiennes. Si vous accédez à notre site depuis un autre pays, veuillez noter que cette politique de confidentialité est régie par les lois canadiennes, notamment la Loi 25 (RLRQ, c. P-39.1) et la LPRPDE, et que les standards de protection qui y sont prévus s'appliquent.	Oui	claude
5	Lorsque des données personnelles sont transférées vers des pays situés en dehors du Canada, nous veillons à ce que ces pays offrent un niveau de protection équivalent à celui prévu par la législation québécoise ou canadienne applicable, ou nous encadrons ces transferts par des clauses contractuelles types approuvées. Conformément à la Loi 25, nous évaluons les risques de tout transfert transfrontalier de données avant qu'il ne soit effectué.	Oui	claude
6	Nous utilisons des témoins de connexion de session qui sont automatiquement supprimés à la fermeture de votre navigateur, et des témoins persistants qui restent sur votre appareil pour une durée limitée. Vous pouvez à tout moment gérer vos préférences en matière de témoins via les paramètres de votre navigateur ou via notre outil de gestion des consentements disponible en bas de page.	Non	claude
7	Nous collectons automatiquement certaines données techniques lorsque vous visitez notre site, notamment votre adresse IP, le type et la version de votre navigateur, les pages que vous consultez et la durée de votre visite. Ces données nous aident à diagnostiquer les problèmes techniques, à analyser les tendances d'utilisation et à améliorer la performance de notre plateforme.	Non	claude
8	Vous pouvez à tout moment demander à accéder aux renseignements personnels que nous détenons à votre sujet, à en obtenir une copie dans un format structuré, à les faire rectifier si inexacts, ou à en demander la suppression dans les cas prévus par la loi. Pour exercer vos droits, veuillez soumettre votre demande via notre portail en ligne ou par courriel à notre responsable de la protection des renseignements personnels.	Non	claude
9	La sécurité de vos renseignements personnels est notre priorité. Nous avons mis en place des protocoles de sécurité robustes, comprenant le chiffrement des données sensibles, des audits de sécurité réguliers et une politique de gestion des incidents de confidentialité. En cas de violation de données présentant un risque de préjudice sérieux, nous vous en informerons sans délai.	Non	claude
10	Nous pouvons mettre à jour cette politique de confidentialité de temps à autre pour refléter des changements dans nos pratiques de traitement des données ou des modifications législatives. Nous afficherons la date de la dernière mise à jour en tête de la politique. En continuant à utiliser nos services après toute modification, vous reconnaissez avoir pris connaissance de la politique mise à jour.	Non	claude
