index	text	answer	source_model
1	Au 31 décembre 2023, soixante-dix-neuf (79) de nos cent vingt (120) fournisseurs stratégiques détenaient une certification SA8000, BSCI ou équivalente reconnue, soit un taux de certification de soixante-six pour cent (66 %), en hausse de quatorze points par rapport à l'exercice précédent. Nous visons un taux de cent pour cent (100 %) pour les fournisseurs de premier rang d'ici 2026.	Oui	claude
2	Nos fournisseurs de matières textiles situés en Asie du Sud-Est sont tenus de détenir une certification Oeko-Tex MADE IN GREEN ou équivalente. En 2023, cent pour cent (100 %) de nos volumes d'achat de tissus et fils provenaient de fournisseurs certifiés, ce qui représente une augmentation par rapport aux quatre-vingt-deux pour cent (82 %) enregistrés en 2022.	Oui	claude
3	Notre programme de qualification des fournisseurs exige la certification ISO 45001 (santé et sécurité au travail) ou SA8000 comme condition de référencement pour les fournisseurs de plus de cinq cents (500) employés. Sur les quarante-trois (43) fournisseurs entrant dans cette catégorie, trente-huit (38) étaient certifiés au 31 mars 2024 ; les cinq (5) fournisseurs restants ont obtenu une dérogation conditionnelle à l'obtention de leur certification avant le 1er octobre 2024.	Oui	claude
4	En 2023, nous avons aidé dix-huit (18) fournisseurs à petite et moyenne taille à obtenir la certification BSCI en leur offrant un accès subventionné à notre programme de renforcement des capacités. Ces fournisseurs ont bénéficié de formations préparatoires, d'accompagnement lors des audits de certification et d'un appui financier partiel pour couvrir les frais de certification.	Oui	claude
5	Le tableau de certification de nos fournisseurs pour 2023 est le suivant : SA8000 : 34 fournisseurs (28 %) ; BSCI Active : 22 fournisseurs (18 %) ; Rainforest Alliance : 15 fournisseurs (12 %) ; Fair Trade : 8 fournisseurs (7 %) ; aucune certification reconnue : 42 fournisseurs (35 %). Les fournisseurs non certifiés sont soumis à des audits renforcés jusqu'à l'obtention d'une certification.	Oui	claude
6	Nous avons réalisé quatre-vingt-sept (87) audits sociaux auprès de nos fournisseurs en 2023, en nous concentrant sur les régions présentant des risques élevés de travail forcé identifiées dans le Rapport mondial sur l'esclavage moderne 2023. Les résultats ont été partagés avec les fournisseurs concernés, et des plans d'action correctifs ont été convenus dans tous les cas de non-conformité.	Non	claude
7	Notre comité de durabilité, présidé par le directeur général, s'est réuni six (6) fois au cours de l'exercice 2023 pour examiner les progrès de notre programme de lutte contre le travail forcé. Ce comité est composé du directeur des achats, du directeur des ressources humaines, du directeur juridique et de deux représentants du conseil d'administration.	Non	claude
8	Nous avons dispensé une formation obligatoire sur la Loi S-211 et ses implications pratiques à l'ensemble de nos cent soixante-deux (162) acheteurs et gestionnaires de fournisseurs en février 2023. Cette formation de cinq heures incluait des simulations d'évaluation des risques et des études de cas tirés de notre propre chaîne d'approvisionnement.	Non	claude
9	La vérification de notre déclaration 2023 a été réalisée par KPMG s.r.l./S.E.N.C.R.L. selon la norme ISAE 3000. Le périmètre de vérification couvre les données relatives aux indicateurs de politiques, de formation et de diligence raisonnable publiés dans la présente déclaration. La lettre de vérification de KPMG est disponible en annexe du présent rapport.	Non	claude
10	Notre politique de lutte contre le travail forcé, adoptée par le conseil d'administration en mars 2023, s'applique à l'ensemble de nos activités, y compris les filiales que nous contrôlons. Cette politique définit nos engagements, les responsabilités de chaque département et les procédures à suivre en cas d'identification de situations de travail forcé ou de travail des enfants dans notre chaîne d'approvisionnement.	Non	claude
