index	text	answer	source_model
1	Le Concédant accorde au Licencié une licence irrévocable et perpétuelle pour utiliser, modifier et distribuer le Logiciel open source conformément aux termes de la Licence Apache 2.0. Cette licence ne peut être révoquée même en cas de manquement du Licencié, sous réserve des recours en dommages.	Oui	claude
2	En contrepartie du paiement unique de la redevance forfaitaire prévue à l'Annexe B, le Titulaire accorde au Bénéficiaire une licence perpétuelle et irrévocable pour utiliser la Technologie aux fins définies dans le présent accord, sans que la résiliation du présent accord puisse affecter cette licence.	Oui	claude
3	La licence accordée aux termes du présent accord est perpétuelle et ne prend pas fin à l'expiration ou à la résiliation du contrat de service, à condition que le Licencié ait acquitté la totalité des redevances dues jusqu'à la date de résiliation.	Oui	claude
4	Nonobstant toute résiliation du présent accord, la licence sur les œuvres préexistantes intégrées dans les livrables est accordée à titre irrévocable au Client, qui pourra continuer à les utiliser sans restriction après la fin du contrat.	Oui	claude
5	Le Créateur accorde à la Plateforme une licence perpétuelle, mondiale, irrévocable et libre de redevances pour utiliser, reproduire, adapter, distribuer et afficher publiquement le contenu créateur, y compris pour les sous-licences accordées aux utilisateurs finaux de la Plateforme.	Oui	claude
6	La licence accordée au titre du présent accord est valide pour une durée de cinq (5) ans à compter de la date d'entrée en vigueur. À l'expiration de cette durée, la licence cesse automatiquement et le Licencié doit cesser toute utilisation du Logiciel.	Non	claude
7	Le Concédant se réserve le droit de révoquer la présente licence en cas de violation matérielle par le Licencié des conditions d'utilisation, sur préavis de trente (30) jours permettant au Licencié de remédier à la violation.	Non	claude
8	Le Licencié dispose d'une licence révocable et limitée pour accéder à la plateforme SaaS pendant la durée de son abonnement mensuel actif. La licence prend fin automatiquement en cas de non-paiement.	Non	claude
9	Le Client ne peut utiliser le Logiciel que dans les limites du nombre de licences acquises, telles qu'indiquées dans le bon de commande. Toute utilisation au-delà de ces limites sera facturée au tarif en vigueur.	Non	claude
10	Les droits de licence accordés aux termes du présent accord sont strictement limités à l'usage interne et professionnel du Licencié et ne comprennent aucun droit de commercialisation, de distribution ou de sous-licenciation à des tiers.	Non	claude
