index	text	answer	source_model
1	Conformément à la Loi 25 (RLRQ, c. P-39.1), vous disposez du droit d'accéder aux renseignements personnels que nous détenons à votre sujet, d'en demander la rectification si ceux-ci sont inexacts, incomplets ou équivoques, et d'en demander la suppression dans les cas prévus par la loi. Pour exercer ces droits, veuillez soumettre une demande écrite à notre responsable de la protection des renseignements personnels.	Oui	claude
2	Vous pouvez, à tout moment, consulter et modifier les renseignements personnels que vous nous avez fournis en vous connectant à votre espace personnel. Vous pouvez également demander la fermeture définitive de votre compte et la suppression des renseignements vous concernant en nous contactant par courriel. La suppression sera effectuée dans un délai de trente (30) jours, sous réserve de nos obligations légales de conservation.	Oui	claude
3	Nous vous donnons accès à vos renseignements personnels via votre tableau de bord. Vous pouvez y corriger vos coordonnées, mettre à jour vos préférences et télécharger une copie de vos données dans un format structuré (droit à la portabilité). Pour demander la suppression de vos données, veuillez utiliser le formulaire de demande disponible dans la section "Confidentialité" de votre profil.	Oui	claude
4	En vertu de la LPRPDE et de la Loi 25, vous avez le droit : (1) d'accéder à vos renseignements personnels et d'en obtenir une copie ; (2) de faire corriger tout renseignement inexact ; (3) de demander la désindexation ou la suppression d'informations rendues publiques ; (4) d'être informé de l'utilisation qui en est faite. Les demandes doivent être adressées à notre responsable de la protection des renseignements personnels et seront traitées dans les délais légaux.	Oui	claude
5	Si vous souhaitez exercer votre droit de rectification et que nous refusons d'apporter la modification demandée, vous avez le droit de déposer une note de désaccord qui sera annexée à votre dossier. Vous pouvez également déposer une plainte auprès de la Commission d'accès à l'information du Québec si vous estimez que votre demande n'a pas été traitée de manière appropriée.	Oui	claude
6	Nous utilisons des témoins de connexion persistants pour mémoriser vos préférences de navigation et personnaliser votre expérience sur notre site. Ces témoins ont une durée de vie maximale de deux ans. Vous pouvez les désactiver à tout moment via les paramètres de votre navigateur, mais cela pourrait affecter certaines fonctionnalités de notre service.	Non	claude
7	Vos renseignements personnels peuvent être transférés à des sous-traitants situés dans d'autres pays dans le cadre de la fourniture de nos services. Avant tout transfert international, nous évaluons le niveau de protection offert par le pays destinataire et encadrons le transfert par des clauses contractuelles appropriées, conformément aux exigences de la Loi 25.	Non	claude
8	Nous sécurisons vos données financières en utilisant des technologies de chiffrement de niveau bancaire. Les numéros de carte de crédit sont tokenisés et ne sont jamais stockés en clair sur nos serveurs. Nos processus de paiement sont conformes aux normes PCI-DSS (Payment Card Industry Data Security Standard).	Non	claude
9	Notre politique de confidentialité est susceptible d'être mise à jour pour tenir compte des changements législatifs ou de l'évolution de nos pratiques commerciales. Si nous apportons des modifications substantielles à la façon dont nous traitons vos données, nous vous en informerons par courriel avec un préavis de trente (30) jours.	Non	claude
10	Nous partageons certaines données analytiques anonymisées avec nos partenaires de recherche afin d'améliorer nos services et de contribuer à des études sectorielles. Ces données ne permettent en aucun cas d'identifier des individus et sont traitées conformément aux normes éthiques de la recherche appliquée en vigueur au Canada.	Non	claude
