index	text	answer	source_model
1	Mon médecin a effectué une chirurgie sans m'informer adéquatement des risques. J'ai subi une complication grave qui m'a partiellement paralysé. Quels sont mes recours pour une faute médicale par manquement au devoir d'information ?	Oui	claude
2	Je suis hospitalisé et les médecins veulent me faire une transfusion sanguine que je refuse pour des raisons religieuses. L'hôpital veut obtenir une ordonnance judiciaire pour passer outre mon refus. Ai-je le droit de refuser ce traitement ?	Oui	claude
3	Mon fils de 14 ans veut arrêter sa chimiothérapie. Les médecins pensent que c'est trop risqué. Il est jugé assez mature pour comprendre les conséquences. Qui décide : lui, ses parents ou le tribunal ?	Oui	claude
4	Je suis en attente d'une chirurgie depuis 18 mois au Québec. Mon médecin dit que le délai est trop long et met ma santé en danger. Ai-je un recours légal contre le système de santé pour des délais excessifs d'accès aux soins ?	Oui	claude
5	Mon dossier médical a été partagé avec mon employeur par l'hôpital sans mon consentement explicite. Cette divulgation m'a causé des problèmes au travail. Quels sont mes droits en matière de confidentialité médicale et mes recours ?	Oui	claude
6	J'ai perdu mon emploi parce que mon employeur dit que je suis incapable d'accomplir mes tâches en raison d'une blessure au dos. J'ai un certificat médical qui dit le contraire. Comment contester ce congédiement lié à mon état de santé ?	Non	claude
7	Mon assurance collective ne couvre pas mes médicaments pour une maladie chronique. Je dois débourser 400 $ par mois. Est-ce que le régime d'assurance médicaments du Québec (RAMQ) pourrait me couvrir à la place ?	Non	claude
8	Mon père souffre d'Alzheimer et il a besoin de soins 24h/24. Les ressources d'hébergement publiques ont des listes d'attente de 3 ans. Quelles sont nos options légales pour forcer le gouvernement à lui trouver une place rapidement ?	Non	claude
9	J'ai commandé des suppléments de santé en ligne et je suis tombé très malade après les avoir consommés. Le produit était mal étiqueté. Puis-je poursuivre le vendeur pour mes frais médicaux et ma perte de revenus ?	Non	claude
10	Mon conjoint souffre d'une maladie mentale grave et refuse tout traitement. Il devient parfois dangereux pour lui-même et pour notre famille. Y a-t-il une procédure légale pour l'obliger à recevoir des soins psychiatriques ?	Non	claude
