index	text	answer	source_model
1	Chaque partie peut résilier le présent accord en donnant un préavis écrit de quatre-vingt-dix (90) jours à l'autre partie. En cas de non-renouvellement, ce même préavis de quatre-vingt-dix (90) jours doit être donné avant la date d'expiration du terme en cours.	Oui	claude
2	Pour s'opposer au renouvellement automatique du présent accord, l'une ou l'autre des parties doit transmettre un avis de non-renouvellement par écrit au moins cent vingt (120) jours avant la date anniversaire. À défaut d'un tel avis, l'accord sera reconduit pour une nouvelle période de douze (12) mois.	Oui	claude
3	La résiliation pour convenance requiert un préavis écrit de soixante (60) jours. La résiliation pour cause de manquement matériel requiert un préavis de trente (30) jours pour permettre la correction du manquement, après quoi la résiliation prend effet immédiatement si le manquement n'est pas corrigé.	Oui	claude
4	Toute partie souhaitant résilier le présent contrat de franchise à son expiration doit notifier son intention par lettre recommandée avec accusé de réception au moins cent quatre-vingts (180) jours avant la date d'expiration. L'absence d'un tel avis entraîne le renouvellement automatique pour cinq (5) ans.	Oui	claude
5	Le présent contrat peut être résilié par l'une ou l'autre des parties avec un préavis de quarante-cinq (45) jours par écrit. Pour le non-renouvellement à la fin du terme initial, un préavis de soixante (60) jours est requis avant la date d'expiration prévue.	Oui	claude
6	Le présent accord entre en vigueur à la date de signature et demeurera en vigueur jusqu'à l'accomplissement complet des livrables et l'acceptation finale par le Client, ou jusqu'à résiliation par l'une des parties pour cause de manquement non corrigé.	Non	claude
7	Les obligations de confidentialité des parties survivent à la résiliation du présent accord pour une période de cinq (5) ans et continueront à s'appliquer nonobstant la fin de la relation contractuelle.	Non	claude
8	Le présent accord peut être résilié immédiatement, sans préavis et sans indemnité, en cas de faillite, d'insolvabilité, de mise sous séquestre ou de liquidation de l'une des parties.	Non	claude
9	Les parties peuvent résilier d'un commun accord le présent contrat à tout moment, par voie d'un avenant signé par leurs représentants dûment autorisés, sans autre formalité.	Non	claude
10	La résiliation du présent accord pour faute grave de l'une des parties prend effet immédiatement sur notification écrite, sans préavis ni indemnité, si la faute grave n'a pas fait l'objet d'une cure dans les 10 jours suivant l'avis préalable.	Non	claude
