index	text	answer	source_model
1	Mon propriétaire veut me mettre dehors dans 15 jours parce qu'il dit vouloir reprendre le logement pour y habiter lui-même, mais il loue depuis 8 ans à un autre locataire dans l'immeuble voisin. Est-ce qu'il peut me forcer à partir si c'est une fausse reprise ?	Oui	claude
2	Je suis locataire d'un appartement où les coquerelles infestent toutes les pièces depuis 6 mois. Le propriétaire refuse de faire la dératisation. Le loyer est payé. Quels sont mes recours pour forcer les réparations ou obtenir une réduction de loyer ?	Oui	claude
3	Mon propriétaire a voulu augmenter mon loyer de 15 % pour le renouvellement de mon bail. J'ai refusé. Il dit qu'il va me mettre dehors si je n'accepte pas. Peut-il résilier mon bail uniquement parce que je refuse une hausse excessive ?	Oui	claude
4	J'ai quitté mon appartement en respectant le préavis de 3 mois. Mon propriétaire refuse de me rembourser le dépôt de garantie de 800 $ en invoquant des dommages que je conteste. Comment récupérer mon dépôt ?	Oui	claude
5	Mon colocataire a quitté l'appartement sans préavis et sans payer sa part du loyer. Le bail est à mon seul nom. Le propriétaire me tient responsable de tout le loyer. Quels sont mes recours contre mon ex-colocataire ?	Oui	claude
6	Mon voisin a subi un dégât d'eau causé par une fuite de ma salle de bain. Il réclame 5 000 $ pour ses dommages. Je n'avais aucune connaissance du problème. Suis-je responsable et comment gérer la réclamation avec mon assurance ?	Non	claude
7	J'ai acheté une maison et découvert après l'achat que le terrain est contaminé aux hydrocarbures. Le vendeur ne m'en avait pas informé. Puis-je annuler la transaction ou réclamer des dommages ?	Non	claude
8	Mon hypothèque arrivera à terme dans 6 mois. Mon institution financière veut modifier les conditions (taux plus élevé). Je veux refinancer avec une autre banque mais je dois payer une pénalité de remboursement anticipé. Comment calculer si c'est avantageux ?	Non	claude
9	Je veux acheter un condo dans un immeuble en copropriété divise. Je veux savoir quelles sont les règles du syndicat de copropriété, notamment sur les animaux et la location à court terme (Airbnb). Comment obtenir ces informations ?	Non	claude
10	Mon fils de 8 ans est tombé dans une piscine non clôturée chez nos voisins lors d'une fête de quartier. Il a failli se noyer. Y a-t-il une responsabilité légale du propriétaire pour ne pas avoir sécurisé la piscine ?	Non	claude
